年月,銀行,銀行類別,項目,數值
9604,總計,全體總和,發行金融卡,140384160
9604,總計,全體總和,流通金融卡,73468317
9604,總計,全體總和,ATM裝設數,25315
9604,總計,全體總和,交易次數,60989694
9604,總計,全體總和,交易金額,748658000000
9604,小計,本國銀行,發行金融卡,101305143
9604,小計,本國銀行,流通金融卡,57824373
9604,小計,本國銀行,ATM裝設數,20514
9604,小計,本國銀行,交易次數,47802521
9604,小計,本國銀行,交易金額,612761000000
9604,中央信託局,本國銀行,發行金融卡,278784
9604,中央信託局,本國銀行,流通金融卡,198607
9604,中央信託局,本國銀行,ATM裝設數,46
9604,中央信託局,本國銀行,交易次數,87674
9604,中央信託局,本國銀行,交易金額,1641000000
9604,臺灣銀行,本國銀行,發行金融卡,4286168
9604,臺灣銀行,本國銀行,流通金融卡,2325960
9604,臺灣銀行,本國銀行,ATM裝設數,627
9604,臺灣銀行,本國銀行,交易次數,1897277
9604,臺灣銀行,本國銀行,交易金額,31314000000
9604,臺灣土地銀行,本國銀行,發行金融卡,4607341
9604,臺灣土地銀行,本國銀行,流通金融卡,1579963
9604,臺灣土地銀行,本國銀行,ATM裝設數,717
9604,臺灣土地銀行,本國銀行,交易次數,1943164
9604,臺灣土地銀行,本國銀行,交易金額,29748000000
9604,合作金庫商業銀行,本國銀行,發行金融卡,7676742
9604,合作金庫商業銀行,本國銀行,流通金融卡,4348096
9604,合作金庫商業銀行,本國銀行,ATM裝設數,1085
9604,合作金庫商業銀行,本國銀行,交易次數,2804858
9604,合作金庫商業銀行,本國銀行,交易金額,44424000000
9604,第一商業銀行,本國銀行,發行金融卡,7094093
9604,第一商業銀行,本國銀行,流通金融卡,3569513
9604,第一商業銀行,本國銀行,ATM裝設數,836
9604,第一商業銀行,本國銀行,交易次數,2311365
9604,第一商業銀行,本國銀行,交易金額,23299000000
9604,華南商業銀行,本國銀行,發行金融卡,7983746
9604,華南商業銀行,本國銀行,流通金融卡,4084707
9604,華南商業銀行,本國銀行,ATM裝設數,862
9604,華南商業銀行,本國銀行,交易次數,2012423
9604,華南商業銀行,本國銀行,交易金額,22380000000
9604,彰化商業銀行,本國銀行,發行金融卡,7199474
9604,彰化商業銀行,本國銀行,流通金融卡,4086820
9604,彰化商業銀行,本國銀行,ATM裝設數,593
9604,彰化商業銀行,本國銀行,交易次數,2319477
9604,彰化商業銀行,本國銀行,交易金額,39822000000
9604,華僑商業銀行,本國銀行,發行金融卡,1287548
9604,華僑商業銀行,本國銀行,流通金融卡,742931
9604,華僑商業銀行,本國銀行,ATM裝設數,128
9604,華僑商業銀行,本國銀行,交易次數,438294
9604,華僑商業銀行,本國銀行,交易金額,5802000000
9604,上海商業儲蓄銀行,本國銀行,發行金融卡,1812241
9604,上海商業儲蓄銀行,本國銀行,流通金融卡,1408971
9604,上海商業儲蓄銀行,本國銀行,ATM裝設數,300
9604,上海商業儲蓄銀行,本國銀行,交易次數,758857
9604,上海商業儲蓄銀行,本國銀行,交易金額,13070000000
9604,台北富邦銀行,本國銀行,發行金融卡,3895828
9604,台北富邦銀行,本國銀行,流通金融卡,2828603
9604,台北富邦銀行,本國銀行,ATM裝設數,1171
9604,台北富邦銀行,本國銀行,交易次數,2287920
9604,台北富邦銀行,本國銀行,交易金額,29714000000
9604,國泰世華商業銀行,本國銀行,發行金融卡,4521240
9604,國泰世華商業銀行,本國銀行,流通金融卡,4142770
9604,國泰世華商業銀行,本國銀行,ATM裝設數,1741
9604,國泰世華商業銀行,本國銀行,交易次數,3236863
9604,國泰世華商業銀行,本國銀行,交易金額,34953000000
9604,高雄銀行,本國銀行,發行金融卡,702663
9604,高雄銀行,本國銀行,流通金融卡,473531
9604,高雄銀行,本國銀行,ATM裝設數,108
9604,高雄銀行,本國銀行,交易次數,249279
9604,高雄銀行,本國銀行,交易金額,2727000000
9604,兆豐國際商業銀行,本國銀行,發行金融卡,3109156
9604,兆豐國際商業銀行,本國銀行,流通金融卡,1734052
9604,兆豐國際商業銀行,本國銀行,ATM裝設數,486
9604,兆豐國際商業銀行,本國銀行,交易次數,1678054
9604,兆豐國際商業銀行,本國銀行,交易金額,51156000000
9604,華泰商業銀行,本國銀行,發行金融卡,291802
9604,華泰商業銀行,本國銀行,流通金融卡,127581
9604,華泰商業銀行,本國銀行,ATM裝設數,92
9604,華泰商業銀行,本國銀行,交易次數,142082
9604,華泰商業銀行,本國銀行,交易金額,6822000000
9604,臺灣新光商業銀行,本國銀行,發行金融卡,2015012
9604,臺灣新光商業銀行,本國銀行,流通金融卡,1665706
9604,臺灣新光商業銀行,本國銀行,ATM裝設數,621
9604,臺灣新光商業銀行,本國銀行,交易次數,1235919
9604,臺灣新光商業銀行,本國銀行,交易金額,18869000000
9604,陽信商業銀行,本國銀行,發行金融卡,554330
9604,陽信商業銀行,本國銀行,流通金融卡,430187
9604,陽信商業銀行,本國銀行,ATM裝設數,164
9604,陽信商業銀行,本國銀行,交易次數,228906
9604,陽信商業銀行,本國銀行,交易金額,2928000000
