年月,銀行,銀行類別,項目,數值,英文欄位
9608,總計,全體總和,發行金融卡,142733865,Issue_Card_Cnt
9608,總計,全體總和,流通金融卡,73546981,F_Card_Cnt
9608,總計,全體總和,ATM裝設數,25218,ATM_Cnt
9608,總計,全體總和,交易次數,63652742,Txn_Cnt
9608,總計,全體總和,交易金額,825792000000,Txn_Bal
9608,小計,本國銀行,發行金融卡,103137100,Issue_Card_Cnt
9608,小計,本國銀行,流通金融卡,57832104,F_Card_Cnt
9608,小計,本國銀行,ATM裝設數,20454,ATM_Cnt
9608,小計,本國銀行,交易次數,50552919,Txn_Cnt
9608,小計,本國銀行,交易金額,680474000000,Txn_Bal
9608,中央信託局,本國銀行,發行金融卡,0,Issue_Card_Cnt
9608,中央信託局,本國銀行,流通金融卡,0,F_Card_Cnt
9608,中央信託局,本國銀行,ATM裝設數,0,ATM_Cnt
9608,中央信託局,本國銀行,交易次數,0,Txn_Cnt
9608,中央信託局,本國銀行,交易金額,0,Txn_Bal
9608,臺灣銀行,本國銀行,發行金融卡,4399465,Issue_Card_Cnt
9608,臺灣銀行,本國銀行,流通金融卡,2401492,F_Card_Cnt
9608,臺灣銀行,本國銀行,ATM裝設數,674,ATM_Cnt
9608,臺灣銀行,本國銀行,交易次數,2079943,Txn_Cnt
9608,臺灣銀行,本國銀行,交易金額,36732000000,Txn_Bal
9608,臺灣土地銀行,本國銀行,發行金融卡,4685851,Issue_Card_Cnt
9608,臺灣土地銀行,本國銀行,流通金融卡,1433754,F_Card_Cnt
9608,臺灣土地銀行,本國銀行,ATM裝設數,737,ATM_Cnt
9608,臺灣土地銀行,本國銀行,交易次數,1985646,Txn_Cnt
9608,臺灣土地銀行,本國銀行,交易金額,32557000000,Txn_Bal
9608,合作金庫商業銀行,本國銀行,發行金融卡,7763831,Issue_Card_Cnt
9608,合作金庫商業銀行,本國銀行,流通金融卡,4427857,F_Card_Cnt
9608,合作金庫商業銀行,本國銀行,ATM裝設數,1110,ATM_Cnt
9608,合作金庫商業銀行,本國銀行,交易次數,3045021,Txn_Cnt
9608,合作金庫商業銀行,本國銀行,交易金額,50188000000,Txn_Bal
9608,第一商業銀行,本國銀行,發行金融卡,7203735,Issue_Card_Cnt
9608,第一商業銀行,本國銀行,流通金融卡,3590461,F_Card_Cnt
9608,第一商業銀行,本國銀行,ATM裝設數,817,ATM_Cnt
9608,第一商業銀行,本國銀行,交易次數,2307221,Txn_Cnt
9608,第一商業銀行,本國銀行,交易金額,25451000000,Txn_Bal
9608,華南商業銀行,本國銀行,發行金融卡,8131215,Issue_Card_Cnt
9608,華南商業銀行,本國銀行,流通金融卡,4172804,F_Card_Cnt
9608,華南商業銀行,本國銀行,ATM裝設數,823,ATM_Cnt
9608,華南商業銀行,本國銀行,交易次數,2057930,Txn_Cnt
9608,華南商業銀行,本國銀行,交易金額,23899000000,Txn_Bal
9608,彰化商業銀行,本國銀行,發行金融卡,7296575,Issue_Card_Cnt
9608,彰化商業銀行,本國銀行,流通金融卡,4128727,F_Card_Cnt
9608,彰化商業銀行,本國銀行,ATM裝設數,606,ATM_Cnt
9608,彰化商業銀行,本國銀行,交易次數,2414909,Txn_Cnt
9608,彰化商業銀行,本國銀行,交易金額,45219000000,Txn_Bal
9608,華僑商業銀行,本國銀行,發行金融卡,1295878,Issue_Card_Cnt
9608,華僑商業銀行,本國銀行,流通金融卡,744087,F_Card_Cnt
9608,華僑商業銀行,本國銀行,ATM裝設數,127,ATM_Cnt
9608,華僑商業銀行,本國銀行,交易次數,425948,Txn_Cnt
9608,華僑商業銀行,本國銀行,交易金額,4825000000,Txn_Bal
9608,上海商業儲蓄銀行,本國銀行,發行金融卡,1840840,Issue_Card_Cnt
9608,上海商業儲蓄銀行,本國銀行,流通金融卡,1429447,F_Card_Cnt
9608,上海商業儲蓄銀行,本國銀行,ATM裝設數,294,ATM_Cnt
9608,上海商業儲蓄銀行,本國銀行,交易次數,781640,Txn_Cnt
9608,上海商業儲蓄銀行,本國銀行,交易金額,14460000000,Txn_Bal
9608,台北富邦銀行,本國銀行,發行金融卡,3999499,Issue_Card_Cnt
9608,台北富邦銀行,本國銀行,流通金融卡,2883505,F_Card_Cnt
9608,台北富邦銀行,本國銀行,ATM裝設數,1231,ATM_Cnt
9608,台北富邦銀行,本國銀行,交易次數,2567027,Txn_Cnt
9608,台北富邦銀行,本國銀行,交易金額,32716000000,Txn_Bal
9608,國泰世華商業銀行,本國銀行,發行金融卡,4651444,Issue_Card_Cnt
9608,國泰世華商業銀行,本國銀行,流通金融卡,4249385,F_Card_Cnt
9608,國泰世華商業銀行,本國銀行,ATM裝設數,1707,ATM_Cnt
9608,國泰世華商業銀行,本國銀行,交易次數,3554369,Txn_Cnt
9608,國泰世華商業銀行,本國銀行,交易金額,41428000000,Txn_Bal
9608,高雄銀行,本國銀行,發行金融卡,716584,Issue_Card_Cnt
9608,高雄銀行,本國銀行,流通金融卡,485271,F_Card_Cnt
9608,高雄銀行,本國銀行,ATM裝設數,108,ATM_Cnt
9608,高雄銀行,本國銀行,交易次數,251819,Txn_Cnt
9608,高雄銀行,本國銀行,交易金額,2788000000,Txn_Bal
9608,兆豐國際商業銀行,本國銀行,發行金融卡,3183253,Issue_Card_Cnt
9608,兆豐國際商業銀行,本國銀行,流通金融卡,1776143,F_Card_Cnt
9608,兆豐國際商業銀行,本國銀行,ATM裝設數,487,ATM_Cnt
9608,兆豐國際商業銀行,本國銀行,交易次數,1780812,Txn_Cnt
9608,兆豐國際商業銀行,本國銀行,交易金額,57181000000,Txn_Bal
9608,稻江商業銀行,本國銀行,發行金融卡,37069,Issue_Card_Cnt
9608,稻江商業銀行,本國銀行,流通金融卡,29130,F_Card_Cnt
9608,稻江商業銀行,本國銀行,ATM裝設數,40,ATM_Cnt
9608,稻江商業銀行,本國銀行,交易次數,37212,Txn_Cnt
9608,稻江商業銀行,本國銀行,交易金額,766000000,Txn_Bal
9608,華泰商業銀行,本國銀行,發行金融卡,298338,Issue_Card_Cnt
9608,華泰商業銀行,本國銀行,流通金融卡,131389,F_Card_Cnt
9608,華泰商業銀行,本國銀行,ATM裝設數,98,ATM_Cnt
9608,華泰商業銀行,本國銀行,交易次數,153261,Txn_Cnt
9608,華泰商業銀行,本國銀行,交易金額,7006000000,Txn_Bal
9608,臺灣新光商業銀行,本國銀行,發行金融卡,2056159,Issue_Card_Cnt
9608,臺灣新光商業銀行,本國銀行,流通金融卡,1700401,F_Card_Cnt
9608,臺灣新光商業銀行,本國銀行,ATM裝設數,620,ATM_Cnt
9608,臺灣新光商業銀行,本國銀行,交易次數,1325512,Txn_Cnt
9608,臺灣新光商業銀行,本國銀行,交易金額,21526000000,Txn_Bal
9608,陽信商業銀行,本國銀行,發行金融卡,571906,Issue_Card_Cnt
9608,陽信商業銀行,本國銀行,流通金融卡,442826,F_Card_Cnt
9608,陽信商業銀行,本國銀行,ATM裝設數,164,ATM_Cnt
9608,陽信商業銀行,本國銀行,交易次數,249128,Txn_Cnt
9608,陽信商業銀行,本國銀行,交易金額,3194000000,Txn_Bal
9608,板信商業銀行,本國銀行,發行金融卡,599893,Issue_Card_Cnt
9608,板信商業銀行,本國銀行,流通金融卡,392263,F_Card_Cnt
9608,板信商業銀行,本國銀行,ATM裝設數,131,ATM_Cnt
9608,板信商業銀行,本國銀行,交易次數,130882,Txn_Cnt
9608,板信商業銀行,本國銀行,交易金額,2550000000,Txn_Bal
9608,三信商業銀行,本國銀行,發行金融卡,243307,Issue_Card_Cnt
9608,三信商業銀行,本國銀行,流通金融卡,148161,F_Card_Cnt
9608,三信商業銀行,本國銀行,ATM裝設數,74,ATM_Cnt
9608,三信商業銀行,本國銀行,交易次數,110433,Txn_Cnt
9608,三信商業銀行,本國銀行,交易金額,1332000000,Txn_Bal
9608,聯邦商業銀行,本國銀行,發行金融卡,2105719,Issue_Card_Cnt
9608,聯邦商業銀行,本國銀行,流通金融卡,674186,F_Card_Cnt
9608,聯邦商業銀行,本國銀行,ATM裝設數,239,ATM_Cnt
9608,聯邦商業銀行,本國銀行,交易次數,888101,Txn_Cnt
9608,聯邦商業銀行,本國銀行,交易金額,26835000000,Txn_Bal
9608,中華商業銀行,本國銀行,發行金融卡,1660382,Issue_Card_Cnt
9608,中華商業銀行,本國銀行,流通金融卡,655587,F_Card_Cnt
9608,中華商業銀行,本國銀行,ATM裝設數,89,ATM_Cnt
9608,中華商業銀行,本國銀行,交易次數,157295,Txn_Cnt
9608,中華商業銀行,本國銀行,交易金額,2384000000,Txn_Bal
9608,遠東國際商業銀行,本國銀行,發行金融卡,962285,Issue_Card_Cnt
9608,遠東國際商業銀行,本國銀行,流通金融卡,371176,F_Card_Cnt
9608,遠東國際商業銀行,本國銀行,ATM裝設數,133,ATM_Cnt
9608,遠東國際商業銀行,本國銀行,交易次數,353637,Txn_Cnt
9608,遠東國際商業銀行,本國銀行,交易金額,3959000000,Txn_Bal
9608,復華商業銀行,本國銀行,發行金融卡,1057739,Issue_Card_Cnt
9608,復華商業銀行,本國銀行,流通金融卡,670056,F_Card_Cnt
9608,復華商業銀行,本國銀行,ATM裝設數,310,ATM_Cnt
9608,復華商業銀行,本國銀行,交易次數,279445,Txn_Cnt
9608,復華商業銀行,本國銀行,交易金額,3898000000,Txn_Bal
9608,永豐商業銀行,本國銀行,發行金融卡,3299588,Issue_Card_Cnt
9608,永豐商業銀行,本國銀行,流通金融卡,1581819,F_Card_Cnt
9608,永豐商業銀行,本國銀行,ATM裝設數,494,ATM_Cnt
9608,永豐商業銀行,本國銀行,交易次數,938581,Txn_Cnt
9608,永豐商業銀行,本國銀行,交易金額,8403000000,Txn_Bal
9608,玉山商業銀行,本國銀行,發行金融卡,2248520,Issue_Card_Cnt
9608,玉山商業銀行,本國銀行,流通金融卡,1707253,F_Card_Cnt
9608,玉山商業銀行,本國銀行,ATM裝設數,403,ATM_Cnt
9608,玉山商業銀行,本國銀行,交易次數,1524989,Txn_Cnt
9608,玉山商業銀行,本國銀行,交易金額,23092000000,Txn_Bal
9608,萬泰商業銀行,本國銀行,發行金融卡,3581446,Issue_Card_Cnt
9608,萬泰商業銀行,本國銀行,流通金融卡,1886813,F_Card_Cnt
9608,萬泰商業銀行,本國銀行,ATM裝設數,400,ATM_Cnt
9608,萬泰商業銀行,本國銀行,交易次數,420933,Txn_Cnt
9608,萬泰商業銀行,本國銀行,交易金額,4925000000,Txn_Bal
9608,寶華商業銀行,本國銀行,發行金融卡,970380,Issue_Card_Cnt
9608,寶華商業銀行,本國銀行,流通金融卡,600578,F_Card_Cnt
9608,寶華商業銀行,本國銀行,ATM裝設數,0,ATM_Cnt
9608,寶華商業銀行,本國銀行,交易次數,167203,Txn_Cnt
9608,寶華商業銀行,本國銀行,交易金額,2208000000,Txn_Bal
9608,台新國際商業銀行,本國銀行,發行金融卡,5832696,Issue_Card_Cnt
9608,台新國際商業銀行,本國銀行,流通金融卡,3452624,F_Card_Cnt
9608,台新國際商業銀行,本國銀行,ATM裝設數,2611,ATM_Cnt
9608,台新國際商業銀行,本國銀行,交易次數,8450253,Txn_Cnt
9608,台新國際商業銀行,本國銀行,交易金額,67921000000,Txn_Bal
9608,大眾商業銀行,本國銀行,發行金融卡,2095942,Issue_Card_Cnt
9608,大眾商業銀行,本國銀行,流通金融卡,400123,F_Card_Cnt
