Bank_Code,Bank_Nm,Comment,Bank_En_Name,Start_Ym,SWIFT_BIC,Type,Bank_Area,Bank_Status_Code,Current_Bank_Code,,
001,中央銀行,,Central Bank of the Republic of China (Taiwan),1912年,CBCTTWTP,1,0,A,,,
004,臺灣銀行,,"Bank of Taiwan Co., Ltd.",1899年9月,BKTWTWTP,1,0,A,,,
005,臺灣土地銀行,,"Land Bank of Taiwan Co., Ltd.",1946年,LBOTTWTP,1,0,A,,,
006,合作金庫商業銀行,原名臺灣省合作金庫,"Taiwan Cooperative Bank Co., Ltd.",1944年,TACBTWTP,1,0,A,,,
006,臺灣省合作金庫,,,,,1,0,A,,,
007,第一商業銀行,原名臺灣第一商業銀行,"First Commercial Bank Co., Ltd.",1899年11月,FCBKTWTP,1,0,A,,,
007,臺灣第一商業銀行,,,,,1,0,A,,,
008,華南商業銀行,,"Hua Nan Commercial Bank, Ltd.",1947年2月,HNBKTWTP,1,0,A,,,
009,彰化商業銀行,,Chang Hwa Commercial Bank Ltd.,1950年7月,CCBCTWTP,1,0,A,,,
011,上海商業儲蓄銀行,,"The Shanghai Commercial & Savings Bank, Ltd.",1954年9月,SCSBTWTP,1,0,A,,,
012,台北富邦商業銀行,原名台北銀行,"Taipei Fubon Commercial Bank Co., Ltd.",2005年1月,TPBKTWTP,1,0,A,,,
012,台北富邦銀行,,"Taipei Fubon Commercial Bank Co., Ltd.",2005年1月,TPBKTWTP,1,0,A,,,
012,台北銀行,,,,,1,0,A,,,
013,國泰世華商業銀行,原名世華聯合商業銀行,"Cathay United Commercial Bank Co., Ltd.",2003年10月,UWCBTWTP,1,0,A,,,
013,世華聯合商業銀行,,,,,1,0,A,,,
015,中國輸出入銀行,政策性專業銀行,The Export-Import Bank of ROC,1979年1月,EROCTWTP,1,0,A,,,
016,中華開發工業銀行,原名中華開發信託,China Development Industrial Bank,1959年5月,CDIBTWTP,1,0,A,,,
016,中華開發信託,,,,,1,0,A,,,
017,兆豐國際商業銀行,原名中國國際商業銀行,"Mega International Commercial Bank Co., Ltd.",2006年8月,ICBCTWTP,1,0,A,,,
017,國國際商業銀行,,,,,1,0,A,,,
018,全國農業金庫,政策性專業銀行,Agriculture Bank of Taiwan Corporation,2005年5月13日,無,1,0,A,,,
021,花旗（台灣）商業銀行,兼辦中華郵政儲匯業務,"Citibank Taiwan, Ltd.",2007年9月,CITITWTP,1,0,A,,,
040,高雄銀行,原名高雄市銀行,"Bank of Kaohsiung Co., Ltd",1981年10月,BKAOTWTK,1,0,A,,,
040,高雄市銀行,,,,,1,0,A,,,
048,臺灣工業銀行,,Industrial Bank of Taiwan,1953年8月,IBOTTWTP,1,0,A,,,
050,臺灣中小企業銀行,,Taiwan Business Bank,1915年6月,MBBTTWTP,1,0,A,,,
052,渣打國際商業銀行,原名新竹國際商業銀行,Standard Chartered Bank,1948年,SCBLTWTP,1,0,A,,,
052,新竹國際商業銀行,,,,,1,0,A,,,
053,台中商業銀行,原名台中區中小企業銀行,"Taichung Commercial Bank Co., Ltd.",1953年8月,TCBBTWTH,1,0,A,,,
053,台中區中小企業銀行,,,,,1,0,A,,,
054,京城商業銀行,原名台南區中小企業銀行,"King's Town Bank Co., Ltd.",1951年7月,TNBBTWTN,1,0,A,,,
054,台南區中小企業銀行,,,,,1,0,A,,,
101,瑞興商業銀行,原名台北市第一信用合作社,"Bank of Taipei Co., Ltd.",1917年10月,BOTPTWTP,1,0,A,,,
101,台北市第一信用合作社,,,,,1,0,A,,,
102,華泰商業銀行,原名台北市第二信用合作社,Hwatai Bank,1999年1月,HTBKTWTP,1,0,A,,,
102,台北市第二信用合作社,,,,,1,0,A,,,
103,臺灣新光商業銀行,原名誠泰商業銀行,"Shin Kong Commercial Bank Co., Ltd.",1918年4月,MKTBTWTP,1,0,A,,,
103,誠泰商業銀行,,,,,1,0,A,,,
108,陽信商業銀行,原名陽明山信用合作社,Sunny Bank Ltd.,1957年10月,SUNYTWTP,1,0,A,,,
108,陽明山信用合作社,,,,,1,0,A,,,
118,板信商業銀行,原名板橋信用合作社,Bank Of Panshin,1957年4月,BBBKTWTP,1,0,A,,,
118,板橋信用合作社,,,,,1,0,A,,,
147,三信商業銀行,原名台中市第三信用合作社,COTA Commercial Bank,1916年12月,CHEBTWTP,1,0,A,,,
147,台中市第三信用合作社,,,,,1,0,A,,,
803,聯邦商業銀行,,"Union Bank of Taiwan Co., Ltd.",1991年12月,UBOTTWTP,1,0,A,,,
805,遠東國際商業銀行,,"Far Eastern International Bank Co., Ltd.",1992年1月,FEINTWTP,1,0,A,,,
806,元大商業銀行,原名復華商業銀行,Yuanta Commercial Bank,1992年1月,APBKTWTP,1,0,A,,,
,復華商業銀行,,,,,1,0,A,,,
807,永豐商業銀行,原名建華商業銀行,"Bank SinoPac Co., Ltd.",2006年11月,SINOTWTP,1,0,A,,,
807,建華商業銀行,,,,,1,0,A,,,
808,玉山商業銀行,,E.SUN Commercial Bank,1992年2月,ESUNTWTP,1,0,A,,,
809,萬泰商業銀行,,"Cosmos Bank Co., Ltd.",1992年1月,CSMBTWYP,1,0,A,,,
812,台新國際商業銀行,,"Taishin International Bank Co., Ltd.",1992年2月,TSIBTWTP,1,0,A,,,
814,大眾商業銀行,,Ta Chong Bank,1992年3月,OURBTWTP,1,0,A,,,
815,日盛國際商業銀行,原名寶島商業銀行,"JihSun International Commercial Bank Co., Ltd.",1992年3月,JSIBTWTP,1,0,A,,,
815,寶島商業銀行,,,,,1,0,A,,,
816,安泰商業銀行,,"Entie Commercial Bank, Ltd",1993年1月,ENTITWTP,1,0,A,,,
822,中國信託商業銀行,原名中國信託投資,Chinatrust Commercial Bank,1966年12月,CTCBTWTP,1,0,A,,,
822,中國信託投資,,,,,1,0,A,,,
022,美商美國銀行,-,Bank of America Corporation,1987年7月,BOFATW2X,1,1,A,,,
023,泰國盤谷銀行,,ธนาคารกรุงเทพ,1985年6月,BKKBTWTP,1,1,A,,,
024,美商美國運通銀行,,AMERICAN EXPRESS BANK LTD.,1985年11月,,1,1,A,,,
025,菲商菲律賓首都銀行,,Metropolitan Bank and Trust Company,1970年7月,MBTCTWTP,1,1,A,,,
026,美商大通銀行,,"THE CHASE MANHATTAN BANK, NATIONAL ASSOCIATION",1984年5月,,1,1,A,,,
028,美商美國紐約梅隆銀行,另名美國紐約銀行,The Bank of New York Mellon Corporation,1984年4月,,1,1,A,,,
028,美國紐約銀行,,The Bank of New York Mellon Corporation,1984年4月,,1,1,A,,,
029,新加坡商大華銀行有限公司,,United Overseas Bank,1991年9月,UOVBTWTP,1,1,A,,,
030,美商道富銀行,,State Street Bank and Trust Company,1992年7月,SBOSTWTP,1,1,A,,,
031,加拿大商多倫多道明銀行,,Toronto-Dominion Bank,1974年10月,TDOMTWT1,1,1,A,,,
032,新加坡商華聯銀行,,Overseas Union Bank Limited,1978年8月,,1,1,A,,,
034,美商波士頓銀行,另名美商波士頓第一銀行,"BankBoston, National Association",1980年4月,,1,1,A,,,
034,美商波士頓第一銀行,,"BankBoston, National Association",1980年4月,,1,1,A,,,
035,美商夏威夷銀行,,Bank of Hawaii Corporation,1992年10月,BOHITWTP,1,1,A,,,
036,英商澳紐建利銀行,,ANZ Grindlays Bank,1980年7月,,1,1,A,,,
037,法商法國興業銀行,,Société Générale,1980年8月,SOGETWTP,1,1,A,,,
038,百利銀行,,BANQUE PARIBAS,,,1,1,A,,,
039,澳商澳盛銀行集團,原名荷蘭商荷蘭銀行,Australia And New Zealand Banking Group Limited,1970年9月,ANZBTWTP,1,1,A,,,
039,荷蘭商荷蘭銀行,,,1970年9月,,1,1,A,,,
072,德商德意志銀行,,Deutsche Bank AG,1988年3月,DEUTTWTP,1,1,A,,,
074,美商信孚銀行,,BANKERS TRUST COMPANY,1981年9月,,1,1,A,,,
075,香港商東亞銀行有限公司,,The Bank of East Asia Limited,1993年9月,BEASTWTP,1,1,A,,,
076,美商摩根大通銀行,,"JPMorgan Chase Bank, N.A.",1992年6月,CHASTWTX,1,1,A,,,
077,加拿大商加拿大皇家銀行,,ROYAL BANK OF CANADA,1983年3月,,1,1,A,,,
078,新加坡商星展銀行,,DBS Bank Ltd,1983年3月,DBSSTWTP,1,1,A,,,
082,法商法國巴黎銀行,,BNP Paribas S.A.,1984年5月,BNPATWTP,1,1,A,,,
085,新加坡商新加坡華僑銀行,,Oversea-Chinese Banking Corporation,1997年12月,OCBCTWTP,1,1,A,,,
086,法商東方匯理銀行,,Banque de l'Indochine,1987年11月,CRLYTWTP,1,1,A,,,
087,斐商標準銀行,,THE STANDARD BANK OF SOUTH AFRICA LIMITED,1989年9月,SBZATWTP,1,1,A,,,
088,澳商澳洲國民銀行,,National Australia Bank Ltd.,1986年12月,,1,1,A,,,
090,加拿大商豐業銀行,另名楓葉銀行,THE BANK OF NOVA SCOTIA,1990年3月,NOSCTWTP,1,1,A,,,
090,楓葉銀行,,,,,1,1,A,,,
091,美商加州聯合銀行,,"UNION BANK OF CALIFORNIA, N.A.",1990年12月,,1,1,A,,,
092,瑞士商瑞士銀行,,SWISS BANK CORPORATION,1990年4月,UBSWTWTP,1,1,A,,,
093,荷蘭商安智銀行,另名ING銀行,ING BANK N.V.,1989年7月,INGBTWTP,1,1,A,,,
093,ING銀行,,,,,1,1,A,,,
094,加拿大商加拿大帝國商業銀行,,CANADIAN IMPERIAL BANK OF COMMERCE,1989年8月,,1,1,A,,,
095,美商美聯銀行,,Wachovia BANK,1992年1月,,1,1,A,,,
096,澳商澳盛銀行集團,,Australia and New Zealand Banking Group Limited,1992年4月,ANBATWTP,1,1,A,,,
097,美商富國銀行,,Wells Fargo & Company,1992年10月,PNBPTWTP,1,1,A,,,
098,日商三菱東京日聯銀行,,株式会社三菱東京UFJ銀行,1996年3月,BOTKTWTX,1,1,A,,,
099,比利時商比利時聯合銀行,,KBC Bank N.V,1994年10月,KREDTWTX,1,1,A,,,
320,法商佳信銀行,,CETELEM SA CETELEM BANK,2001年2月,,1,1,A,,,
321,日商三井住友銀行,,株式会社三井住友銀行,1998年4月,SMBCTWTP,1,1,A,,,
322,巴克萊銀行,,BARCLAYS BANK PLC,2005年4月,BARCTWTP,1,1,A,,,
325,香港商香港上海匯豐銀行,,The Hongkong and Shanghai Banking Corporation Limited,1983年12月,HSBCTW2P,1,1,A,,,
326,西班牙對外銀行,,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,2010年11月,BBVATWTP,1,1,A,,,
380,中國銀行,,Bank of China Limited,2012年6月,BKCHTWTP,1,1,A,,,
381,交通銀行,,Bank of Communications,,COMMTWTP,1,1,A,,,
,交通銀行,2006年8月與中國國際商業銀行合併,,1908年3月,BKCMTWTP,1,0,B,017,,
,臺北國際商業銀行,2005年8月與建華商業銀行合併,,1949年9月,TPBBTWTP,1,0,B,807,,
,臺灣新光商業銀行,原名聯信商業銀行；2005年12月與誠泰商業銀行合併，惟沿用其法人名稱,,2000年7月1日,無,1,0,B,103,,
,中國農民銀行,2006年8月與合作金庫商業銀行合併,,1933年1月,FBOCTWTP,1,0,B,006,,
,中央信託局,2007年7月由臺灣銀行吸收合併,,1948年,CTOCTWTP,1,0,B,004,,
,新竹國際商業銀行,2007年6月渣打國際商業銀行併購,,1950年4月,HCBATWTP,1,0,B,052,,
,高雄區中小企業銀行,2004年9月與玉山銀行合併,,1950年6月,無,1,0,B,808,,
,花蓮區中小企業銀行,2007年9月與中國信託商業銀行合併,,1953年10月,無,1,0,B,822,,
,臺東區中小企業銀行,2007年9月與荷蘭銀行合併,,1955年1月,無,1,0,B,039,,
,華僑商業銀行,2007年4月花旗商業銀行併購,,1961年3月,OCCBTWTP,1,0,B,021,,
,國泰商業銀行,2003年10月與世華聯合商業銀行合併,,1971年6月,無,1,0,B,013,,
,萬通商業銀行,2010年12月與中國信託商業銀行合併,,1991年,GCBKTWTP,1,0,B,822,,
,慶豐商業銀行,2010年3月起業務由多家銀行併購,,1971年7月,CFCBTWTP,1,0,B,N000,,
,中興商業銀行,2005年3月由聯邦商業銀行併購,,1992年2月,無,1,0,B,803,,
,中華商業銀行,2007年11月滙豐商業銀行併購,,1983年12月,NKAHTWTP,1,0,B,081,,
,大安商業銀行,2002年2月與台新銀行合併,,1991年,無,1,0,B,812,,
,寶華商業銀行,2008年2月由星展銀行接管,,1992年1月,PABKTWTP,1,0,B,810,,
,富邦商業銀行,2005年1月與台北銀行合併,,1992年3月,無,1,0,B,012,,
,高新商業銀行,2005年11月與陽信商業銀行合併,,1997年12月,無,1,0,B,108,,
,美商花旗銀行,2007年9月由花旗(台灣)商業銀行承接業務,,1964年9月,,1,1,B,021,,
,荷商荷蘭銀行,2010年4月售予澳盛銀行,,1980年9月,,1,1,B,039,,
,美商美聯銀行,2010年2月與富國銀行合併,,1992年1月,,1,1,B,097,,
,美商美國運通銀行,2008年9月與渣打國際商業銀行合併,,1985年11月,,1,1,B,052,,
,比利時商比利時聯合銀行,2008年1月20日撤銷登記,,1994年10月,,1,1,B,,,
,日商東海銀行,2002年1月15日併入日聯銀行,,1995年5月29日,,1,1,B,098,,
,日商三和銀行,2002年1月15日更名為日聯銀行；2006年1月1日併入三菱東京日聯銀行,,1997年5月19日,,1,1,B,,,
,比利時商富通銀行,2010年6月由法國巴黎銀行承接,,1997年8月,,1,1,B,082,,
,美商信孚銀行,不明,,不明,,1,1,B,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
