Bank_Code,Bank_Nm,Comment,地區,Bank_Type_Code,
1,*中央信託局,,台灣,1,
3,*交通銀行,,台灣,1,
5,臺灣土地銀行,,台灣,1,
7,第一商業銀行,,台灣,1,
9,彰化商業銀行,,台灣,1,
11,上海商業儲蓄銀行,,台灣,1,
13,國泰世華商業銀行,原世華聯合商業銀行,台灣,1,
16,高雄銀行,原高雄市銀行,台灣,1,
18,全國農業金庫,,台灣,1,
21,花旗（台灣）商業銀行,,台灣,1,
23,泰國盤谷銀行台北分行,,台灣,1,
25,菲律賓首都銀行台北分行,,台灣,1,
27,日商東海銀行,,台灣,1,
29,新加坡大華銀行台北分行,,台灣,1,
31,加拿大商多倫多道明銀行台北分行,,台灣,1,
34,美商波士頓第一銀行台北分行,,台灣,1,
36,英商建利銀行台北分行,,台灣,1,
38,法商百利銀行,,台灣,1,
40,中華開發工業銀行,,台灣,1,
50,台灣中小企業銀行,,台灣,1,
52,渣打國際商業銀行,"原新竹國際商業銀行
（再前身為新竹區中小企業銀行）",台灣,1,
54,京城商業銀行,原台南區中小企業銀行,台灣,1,
56,*花蓮區中小企業銀行,,台灣,1,
72,德商德意志銀行台北分行,,台灣,1,
74,美商信孚銀行,,台灣,1,
76,美商摩根大通銀行,,台灣,1,
78,新加坡商星展銀行台北分行,,台灣,1,
80,法國里昂信貸銀行,,台灣,1,
82,法國巴黎銀行,,台灣,1,
84,美商美國利寶銀行台北分行,,台灣,1,
86,法商東方匯理銀行,,台灣,1,
88,澳洲國民銀行,,台灣,1,
91,美商加州聯合銀行台北分行,,台灣,1,
93,荷商安智銀行台北分行,,台灣,1,
95,美商美聯銀行台北分行,,台灣,1,
97,美商富國銀行台北分行,,台灣,1,
99,比利時商比利時聯合銀行台北分行,,台灣,1,
102,華泰商業銀行,原台北市第二信用合作社,台灣,1,
108,陽信商業銀行,原陽明山信用合作社,台灣,1,
147,三信商業銀行,原台中市第三信用合作社,台灣,1,
151,*第七商業銀行,原台中市第七信用合作社,台灣,1,
320,法商佳信銀行台北分行,,台灣,1,
700,中華郵政股份有限公司,,台灣,1,
802,*大安商業銀行,,台灣,1,
804,*中華商業銀行,,台灣,1,
806,元大商業銀行,"原復華商業銀行
（再前身為亞太商業銀行）",台灣,1,
808,玉山商業銀行,,台灣,1,
810,星展銀行,"原寶華商業銀行
（再前身為泛亞商業銀行）",台灣,1,
812,台新國際商業銀行,,台灣,1,
814,大眾商業銀行,,台灣,1,
816,安泰商業銀行,,台灣,1,
825,*慶豐商業銀行,,台灣,1,
2,*中國農民銀行,,台灣,1,
4,臺灣銀行,,台灣,1,
6,合作金庫商業銀行,,台灣,1,
8,華南商業銀行,,台灣,1,
10,*華僑商業銀行,,台灣,1,
12,台北富邦商業銀行,"原台北銀行
（再前身為台北市銀行）",台灣,1,
15,中國輸出入銀行,,台灣,1,
17,兆豐國際商業銀行,原中國國際商業銀行,台灣,1,
20,日商瑞穗實業銀行,,台灣,1,
22,美國銀行,,台灣,1,
24,美國運通銀行台北分行,,台灣,1,
26,美國大通銀行台北分行,,台灣,1,
28,美國紐約銀行台北分行,,台灣,1,
30,美商道富銀行台北分行,,台灣,1,
32,新加坡商華聯銀行台北分行,,台灣,1,
35,美商夏威夷銀行台北分行,,台灣,1,
37,法國興業銀行,,台灣,1,
39,澳商澳盛銀行,原荷商荷蘭銀行,台灣,1,
48,台灣工業銀行,,台灣,1,
51,*台北國際商業銀行,原台北區中小企業銀行,台灣,1,
53,台中商業銀行,原台中區中小企業銀行,台灣,1,
55,*高雄區中小企業銀行,,台灣,1,
57,*台東區中小企業銀行,,台灣,1,
73,*日商日聯銀行台北分行,,台灣,1,
75,香港商東亞銀行台北分行,,台灣,1,
77,加拿大商加拿大皇家銀行,,台灣,1,
