年月,銀行,項目,數值
10108,總計,全部信用卡機構,流通卡數,33524024
10108,總計,全部信用卡機構,有效卡數,21061366
10108,總計,全部信用卡機構,本月發卡數,440603
10108,總計,全部信用卡機構,本月停卡數,292551
10108,總計,全部信用卡機構,循環信用餘額,133568000000
10108,總計,全部信用卡機構,本月簽帳金額,150125000000
10108,總計,全部信用卡機構,本月預借現金金額,2349000000
10108,總計,全部信用卡機構,預期帳款比率,0.29
10108,總計,全部信用卡機構,底被呆帳提足率,873.64
10108,總計,全部信用卡機構,本月轉銷呆帳金額,404000000
10108,總計,全部信用卡機構,循環信用利息收入,1703000000
10108,總計,全部信用卡機構,簽帳手續費收入,2110000000
10108,總計,全部信用卡機構,預借現金手續費,88000000
10108,總計,全部信用卡機構,收單特約商店家數,0
10108,小計,本國銀行,流通卡數,32513822
10108,小計,本國銀行,有效卡數,20504013
10108,小計,本國銀行,本月發卡數,430763
10108,小計,本國銀行,本月停卡數,286961
10108,小計,本國銀行,循環信用餘額,126844000000
10108,小計,本國銀行,本月簽帳金額,143599000000
10108,小計,本國銀行,本月預借現金金額,2332000000
10108,小計,本國銀行,預期帳款比率,0.29
10108,小計,本國銀行,底被呆帳提足率,718.25
10108,小計,本國銀行,本月轉銷呆帳金額,384000000
10108,小計,本國銀行,循環信用利息收入,1619000000
10108,小計,本國銀行,簽帳手續費收入,1976000000
10108,小計,本國銀行,預借現金手續費,88000000
10108,小計,本國銀行,收單特約商店家數,0
10108,　臺灣銀行,本國銀行,流通卡數,226938
10108,　臺灣銀行,本國銀行,有效卡數,111909
10108,　臺灣銀行,本國銀行,本月發卡數,702
10108,　臺灣銀行,本國銀行,本月停卡數,2245
10108,　臺灣銀行,本國銀行,循環信用餘額,299000000
10108,　臺灣銀行,本國銀行,本月簽帳金額,742000000
10108,　臺灣銀行,本國銀行,本月預借現金金額,2000000
10108,　臺灣銀行,本國銀行,預期帳款比率,0.4
10108,　臺灣銀行,本國銀行,底被呆帳提足率,310.59
10108,　臺灣銀行,本國銀行,本月轉銷呆帳金額,2000000
10108,　臺灣銀行,本國銀行,循環信用利息收入,3000000
10108,　臺灣銀行,本國銀行,簽帳手續費收入,15000000
10108,　臺灣銀行,本國銀行,預借現金手續費,0
10108,　臺灣銀行,本國銀行,收單特約商店家數,718
10108,　臺灣土地銀行,本國銀行,流通卡數,121800
10108,　臺灣土地銀行,本國銀行,有效卡數,54217
10108,　臺灣土地銀行,本國銀行,本月發卡數,259
10108,　臺灣土地銀行,本國銀行,本月停卡數,482
10108,　臺灣土地銀行,本國銀行,循環信用餘額,277000000
10108,　臺灣土地銀行,本國銀行,本月簽帳金額,368000000
10108,　臺灣土地銀行,本國銀行,本月預借現金金額,1000000
10108,　臺灣土地銀行,本國銀行,預期帳款比率,0.76
10108,　臺灣土地銀行,本國銀行,底被呆帳提足率,844.8
10108,　臺灣土地銀行,本國銀行,本月轉銷呆帳金額,1000000
10108,　臺灣土地銀行,本國銀行,循環信用利息收入,3000000
10108,　臺灣土地銀行,本國銀行,簽帳手續費收入,3000000
10108,　臺灣土地銀行,本國銀行,預借現金手續費,0
10108,　臺灣土地銀行,本國銀行,收單特約商店家數,2407
10108,　合作金庫銀行,本國銀行,流通卡數,425878
10108,　合作金庫銀行,本國銀行,有效卡數,209698
10108,　合作金庫銀行,本國銀行,本月發卡數,9826
10108,　合作金庫銀行,本國銀行,本月停卡數,4103
10108,　合作金庫銀行,本國銀行,循環信用餘額,749000000
10108,　合作金庫銀行,本國銀行,本月簽帳金額,1725000000
10108,　合作金庫銀行,本國銀行,本月預借現金金額,7000000
10108,　合作金庫銀行,本國銀行,預期帳款比率,0.52
10108,　合作金庫銀行,本國銀行,底被呆帳提足率,282.48
10108,　合作金庫銀行,本國銀行,本月轉銷呆帳金額,0
10108,　合作金庫銀行,本國銀行,循環信用利息收入,8000000
10108,　合作金庫銀行,本國銀行,簽帳手續費收入,24000000
10108,　合作金庫銀行,本國銀行,預借現金手續費,0
10108,　合作金庫銀行,本國銀行,收單特約商店家數,25574
10108,　第一商業銀行,本國銀行,流通卡數,611110
10108,　第一商業銀行,本國銀行,有效卡數,421782
10108,　第一商業銀行,本國銀行,本月發卡數,10180
10108,　第一商業銀行,本國銀行,本月停卡數,6416
10108,　第一商業銀行,本國銀行,循環信用餘額,1290000000
10108,　第一商業銀行,本國銀行,本月簽帳金額,2999000000
10108,　第一商業銀行,本國銀行,本月預借現金金額,18000000
10108,　第一商業銀行,本國銀行,預期帳款比率,0.12
10108,　第一商業銀行,本國銀行,底被呆帳提足率,3081.55
10108,　第一商業銀行,本國銀行,本月轉銷呆帳金額,5000000
10108,　第一商業銀行,本國銀行,循環信用利息收入,20000000
10108,　第一商業銀行,本國銀行,簽帳手續費收入,43000000
10108,　第一商業銀行,本國銀行,預借現金手續費,1000000
10108,　第一商業銀行,本國銀行,收單特約商店家數,0
10108,　華南商業銀行,本國銀行,流通卡數,567623
10108,　華南商業銀行,本國銀行,有效卡數,342085
10108,　華南商業銀行,本國銀行,本月發卡數,7104
10108,　華南商業銀行,本國銀行,本月停卡數,4374
10108,　華南商業銀行,本國銀行,循環信用餘額,636000000
10108,　華南商業銀行,本國銀行,本月簽帳金額,1906000000
10108,　華南商業銀行,本國銀行,本月預借現金金額,1000000
10108,　華南商業銀行,本國銀行,預期帳款比率,0.19
10108,　華南商業銀行,本國銀行,底被呆帳提足率,456.23
10108,　華南商業銀行,本國銀行,本月轉銷呆帳金額,0
10108,　華南商業銀行,本國銀行,循環信用利息收入,8000000
10108,　華南商業銀行,本國銀行,簽帳手續費收入,33000000
10108,　華南商業銀行,本國銀行,預借現金手續費,0
10108,　華南商業銀行,本國銀行,收單特約商店家數,4221
10108,　彰化商業銀行,本國銀行,流通卡數,209959
10108,　彰化商業銀行,本國銀行,有效卡數,105888
10108,　彰化商業銀行,本國銀行,本月發卡數,15740
10108,　彰化商業銀行,本國銀行,本月停卡數,2544
10108,　彰化商業銀行,本國銀行,循環信用餘額,130000000
10108,　彰化商業銀行,本國銀行,本月簽帳金額,754000000
10108,　彰化商業銀行,本國銀行,本月預借現金金額,1000000
10108,　彰化商業銀行,本國銀行,預期帳款比率,0.33
10108,　彰化商業銀行,本國銀行,底被呆帳提足率,555.64
10108,　彰化商業銀行,本國銀行,本月轉銷呆帳金額,1000000
10108,　彰化商業銀行,本國銀行,循環信用利息收入,1000000
10108,　彰化商業銀行,本國銀行,簽帳手續費收入,12000000
10108,　彰化商業銀行,本國銀行,預借現金手續費,0
10108,　彰化商業銀行,本國銀行,收單特約商店家數,271
10108,　上海商業儲蓄銀行,本國銀行,流通卡數,421049
10108,　上海商業儲蓄銀行,本國銀行,有效卡數,227319
10108,　上海商業儲蓄銀行,本國銀行,本月發卡數,8068
10108,　上海商業儲蓄銀行,本國銀行,本月停卡數,3355
10108,　上海商業儲蓄銀行,本國銀行,循環信用餘額,882000000
10108,　上海商業儲蓄銀行,本國銀行,本月簽帳金額,1447000000
10108,　上海商業儲蓄銀行,本國銀行,本月預借現金金額,10000000
10108,　上海商業儲蓄銀行,本國銀行,預期帳款比率,0.51
10108,　上海商業儲蓄銀行,本國銀行,底被呆帳提足率,1570.52
10108,　上海商業儲蓄銀行,本國銀行,本月轉銷呆帳金額,7000000
10108,　上海商業儲蓄銀行,本國銀行,循環信用利息收入,12000000
10108,　上海商業儲蓄銀行,本國銀行,簽帳手續費收入,23000000
10108,　上海商業儲蓄銀行,本國銀行,預借現金手續費,1000000
10108,　上海商業儲蓄銀行,本國銀行,收單特約商店家數,0
10108,　台北富邦銀行,本國銀行,流通卡數,2061758
10108,　台北富邦銀行,本國銀行,有效卡數,1400788
10108,　台北富邦銀行,本國銀行,本月發卡數,29585
10108,　台北富邦銀行,本國銀行,本月停卡數,24497
10108,　台北富邦銀行,本國銀行,循環信用餘額,7785000000
10108,　台北富邦銀行,本國銀行,本月簽帳金額,10544000000
10108,　台北富邦銀行,本國銀行,本月預借現金金額,97000000
10108,　台北富邦銀行,本國銀行,預期帳款比率,0.12
10108,　台北富邦銀行,本國銀行,底被呆帳提足率,1773.46
10108,　台北富邦銀行,本國銀行,本月轉銷呆帳金額,24000000
10108,　台北富邦銀行,本國銀行,循環信用利息收入,93000000
10108,　台北富邦銀行,本國銀行,簽帳手續費收入,154000000
