年月,銀行,銀行類別,項目,數值,英文欄位
9711,總計,全部信用卡機構,流通卡數,34240071,Cc_F_Card_Cnt
9711,總計,全部信用卡機構,有效卡數,19611051,Cc_Open_Card_Cnt
9711,總計,全部信用卡機構,本月發卡數,474763,Cc_Issue_Card_Cnt
9711,總計,全部信用卡機構,本月停卡數,911092,Cc_Stop_Card_Cnt
9711,總計,全部信用卡機構,循環信用餘額,258226000000,Cyc_Bal
9711,總計,全部信用卡機構,本月簽帳金額,102669000000,Cc_Txn_Bal
9711,總計,全部信用卡機構,本月預借現金金額,3807000000,Cc_Ln_Bal
9711,總計,全部信用卡機構,預期帳款比率,1.65,Cc_Payment_Rate
9711,總計,全部信用卡機構,底被呆帳提足率,339.23,Cc_BadDebit_Rate
9711,總計,全部信用卡機構,本月轉銷呆帳金額,2531000000,Cc_BadDebit_Bal
9711,總計,全部信用卡機構,循環信用利息收入,2814000000,Cyc_Income
9711,總計,全部信用卡機構,簽帳手續費收入,1385000000,Txn_Fee
9711,總計,全部信用卡機構,預借現金手續費,169000000,Cc_Ln_Fee
9711,總計,全部信用卡機構,收單特約商店家數,0,Auth_Store_Cnt
9711,小計,本國銀行,流通卡數,28252112,Cc_F_Card_Cnt
9711,小計,本國銀行,有效卡數,15870833,Cc_Open_Card_Cnt
9711,小計,本國銀行,本月發卡數,203915,Cc_Issue_Card_Cnt
9711,小計,本國銀行,本月停卡數,502080,Cc_Stop_Card_Cnt
9711,小計,本國銀行,循環信用餘額,153243000000,Cyc_Bal
9711,小計,本國銀行,本月簽帳金額,75161000000,Cc_Txn_Bal
9711,小計,本國銀行,本月預借現金金額,2199000000,Cc_Ln_Bal
9711,小計,本國銀行,預期帳款比率,1.73,Cc_Payment_Rate
9711,小計,本國銀行,底被呆帳提足率,281.79,Cc_BadDebit_Rate
9711,小計,本國銀行,本月轉銷呆帳金額,1630000000,Cc_BadDebit_Bal
9711,小計,本國銀行,循環信用利息收入,1696000000,Cyc_Income
9711,小計,本國銀行,簽帳手續費收入,1034000000,Txn_Fee
9711,小計,本國銀行,預借現金手續費,128000000,Cc_Ln_Fee
9711,小計,本國銀行,收單特約商店家數,0,Auth_Store_Cnt
9711,臺灣銀行,本國銀行,流通卡數,267566,Cc_F_Card_Cnt
