年月,銀行,銀行類別,項目,數值
9807,總計,全部信用卡機構,流通卡數,31671044
9807,總計,全部信用卡機構,有效卡數,18637265
9807,總計,全部信用卡機構,本月發卡數,245822
9807,總計,全部信用卡機構,本月停卡數,440009
9807,總計,全部信用卡機構,循環信用餘額,222731000000
9807,總計,全部信用卡機構,本月簽帳金額,118180000000
9807,總計,全部信用卡機構,本月預借現金金額,3082000000
9807,總計,全部信用卡機構,預期帳款比率,1.25
9807,總計,全部信用卡機構,底被呆帳提足率,440.39
9807,總計,全部信用卡機構,本月轉銷呆帳金額,1781000000
9807,總計,全部信用卡機構,循環信用利息收入,2225000000
9807,總計,全部信用卡機構,簽帳手續費收入,1577000000
9807,總計,全部信用卡機構,預借現金手續費,168000000
9807,總計,全部信用卡機構,收單特約商店家數,0
9807,小計,本國銀行,流通卡數,27731215
9807,小計,本國銀行,有效卡數,15867135
9807,小計,本國銀行,本月發卡數,202494
9807,小計,本國銀行,本月停卡數,369059
9807,小計,本國銀行,循環信用餘額,146832000000
9807,小計,本國銀行,本月簽帳金額,94656000000
9807,小計,本國銀行,本月預借現金金額,2206000000
9807,小計,本國銀行,預期帳款比率,1.3
9807,小計,本國銀行,底被呆帳提足率,364.84
9807,小計,本國銀行,本月轉銷呆帳金額,1126000000
9807,小計,本國銀行,循環信用利息收入,1633000000
9807,小計,本國銀行,簽帳手續費收入,1264000000
9807,小計,本國銀行,預借現金手續費,156000000
9807,小計,本國銀行,收單特約商店家數,0
9807,臺灣銀行,本國銀行,流通卡數,267062
9807,臺灣銀行,本國銀行,有效卡數,112475
9807,臺灣銀行,本國銀行,本月發卡數,1075
9807,臺灣銀行,本國銀行,本月停卡數,1481
9807,臺灣銀行,本國銀行,循環信用餘額,424000000
9807,臺灣銀行,本國銀行,本月簽帳金額,769000000
9807,臺灣銀行,本國銀行,本月預借現金金額,2000000
9807,臺灣銀行,本國銀行,預期帳款比率,0.77
9807,臺灣銀行,本國銀行,底被呆帳提足率,209.82
9807,臺灣銀行,本國銀行,本月轉銷呆帳金額,3000000
9807,臺灣銀行,本國銀行,循環信用利息收入,4000000
9807,臺灣銀行,本國銀行,簽帳手續費收入,14000000
9807,臺灣銀行,本國銀行,預借現金手續費,0
9807,臺灣銀行,本國銀行,收單特約商店家數,582
9807,臺灣土地銀行,本國銀行,流通卡數,171550
9807,臺灣土地銀行,本國銀行,有效卡數,58336
9807,臺灣土地銀行,本國銀行,本月發卡數,164
9807,臺灣土地銀行,本國銀行,本月停卡數,7953
9807,臺灣土地銀行,本國銀行,循環信用餘額,431000000
9807,臺灣土地銀行,本國銀行,本月簽帳金額,363000000
9807,臺灣土地銀行,本國銀行,本月預借現金金額,3000000
9807,臺灣土地銀行,本國銀行,預期帳款比率,1.13
9807,臺灣土地銀行,本國銀行,底被呆帳提足率,547.68
9807,臺灣土地銀行,本國銀行,本月轉銷呆帳金額,2000000
9807,臺灣土地銀行,本國銀行,循環信用利息收入,4000000
9807,臺灣土地銀行,本國銀行,簽帳手續費收入,4000000
9807,臺灣土地銀行,本國銀行,預借現金手續費,0
9807,臺灣土地銀行,本國銀行,收單特約商店家數,2228
9807,合作金庫銀行,本國銀行,流通卡數,471913
9807,合作金庫銀行,本國銀行,有效卡數,172838
9807,合作金庫銀行,本國銀行,本月發卡數,5974
9807,合作金庫銀行,本國銀行,本月停卡數,7705
9807,合作金庫銀行,本國銀行,循環信用餘額,1070000000
9807,合作金庫銀行,本國銀行,本月簽帳金額,1498000000
9807,合作金庫銀行,本國銀行,本月預借現金金額,17000000
9807,合作金庫銀行,本國銀行,預期帳款比率,1.3
9807,合作金庫銀行,本國銀行,底被呆帳提足率,174.44
9807,合作金庫銀行,本國銀行,本月轉銷呆帳金額,10000000
9807,合作金庫銀行,本國銀行,循環信用利息收入,14000000
9807,合作金庫銀行,本國銀行,簽帳手續費收入,18000000
9807,合作金庫銀行,本國銀行,預借現金手續費,1000000
9807,合作金庫銀行,本國銀行,收單特約商店家數,15132
9807,第一商業銀行,本國銀行,流通卡數,465854
9807,第一商業銀行,本國銀行,有效卡數,239047
9807,第一商業銀行,本國銀行,本月發卡數,20432
9807,第一商業銀行,本國銀行,本月停卡數,5024
9807,第一商業銀行,本國銀行,循環信用餘額,1480000000
9807,第一商業銀行,本國銀行,本月簽帳金額,1776000000
9807,第一商業銀行,本國銀行,本月預借現金金額,13000000
9807,第一商業銀行,本國銀行,預期帳款比率,0.13
9807,第一商業銀行,本國銀行,底被呆帳提足率,461.69
9807,第一商業銀行,本國銀行,本月轉銷呆帳金額,10000000
9807,第一商業銀行,本國銀行,循環信用利息收入,18000000
9807,第一商業銀行,本國銀行,簽帳手續費收入,25000000
9807,第一商業銀行,本國銀行,預借現金手續費,0
9807,第一商業銀行,本國銀行,收單特約商店家數,2
9807,華南商業銀行,本國銀行,流通卡數,450647
9807,華南商業銀行,本國銀行,有效卡數,189842
9807,華南商業銀行,本國銀行,本月發卡數,2562
9807,華南商業銀行,本國銀行,本月停卡數,2762
9807,華南商業銀行,本國銀行,循環信用餘額,777000000
9807,華南商業銀行,本國銀行,本月簽帳金額,932000000
9807,華南商業銀行,本國銀行,本月預借現金金額,0
9807,華南商業銀行,本國銀行,預期帳款比率,0.61
9807,華南商業銀行,本國銀行,底被呆帳提足率,185.49
9807,華南商業銀行,本國銀行,本月轉銷呆帳金額,9000000
9807,華南商業銀行,本國銀行,循環信用利息收入,12000000
9807,華南商業銀行,本國銀行,簽帳手續費收入,16000000
9807,華南商業銀行,本國銀行,預借現金手續費,0
9807,華南商業銀行,本國銀行,收單特約商店家數,3443
9807,彰化商業銀行,本國銀行,流通卡數,80703
9807,彰化商業銀行,本國銀行,有效卡數,51607
9807,彰化商業銀行,本國銀行,本月發卡數,211
9807,彰化商業銀行,本國銀行,本月停卡數,426
9807,彰化商業銀行,本國銀行,循環信用餘額,151000000
9807,彰化商業銀行,本國銀行,本月簽帳金額,438000000
9807,彰化商業銀行,本國銀行,本月預借現金金額,2000000
9807,彰化商業銀行,本國銀行,預期帳款比率,0.36
9807,彰化商業銀行,本國銀行,底被呆帳提足率,974.56
9807,彰化商業銀行,本國銀行,本月轉銷呆帳金額,1000000
9807,彰化商業銀行,本國銀行,循環信用利息收入,2000000
9807,彰化商業銀行,本國銀行,簽帳手續費收入,6000000
9807,彰化商業銀行,本國銀行,預借現金手續費,0
9807,彰化商業銀行,本國銀行,收單特約商店家數,249
9807,花旗,本國銀行,流通卡數,420236
9807,花旗,本國銀行,有效卡數,225779
9807,花旗,本國銀行,本月發卡數,0
9807,花旗,本國銀行,本月停卡數,2483
9807,花旗,本國銀行,循環信用餘額,2553000000
9807,花旗,本國銀行,本月簽帳金額,1224000000
9807,花旗,本國銀行,本月預借現金金額,28000000
9807,花旗,本國銀行,預期帳款比率,2.53
9807,花旗,本國銀行,底被呆帳提足率,313.57
9807,花旗,本國銀行,本月轉銷呆帳金額,26000000
9807,花旗,本國銀行,循環信用利息收入,27000000
