年月,銀行,銀行類別,項目,數值,英文欄位
10008,總計,本國銀行,公司支存戶數,1096338,C_Cd_Cnt
10008,總計,本國銀行,公司支存餘額,228857000000,C_Cd_Bal
10008,總計,本國銀行,個人支存戶數,2545821,P_Cd_Cnt
10008,總計,本國銀行,個人支存餘額,61867000000,P_Cd_Bal
10008,總計,本國銀行,其他支存戶數,43858,O_Cd_Cnt
10008,總計,本國銀行,其他支存餘額,38776000000,O_Cd_Bal
10008,臺灣銀行,本國銀行,公司支存戶數,33221,C_Cd_Cnt
10008,臺灣銀行,本國銀行,公司支存餘額,20395000000,C_Cd_Bal
10008,臺灣銀行,本國銀行,個人支存戶數,38730,P_Cd_Cnt
10008,臺灣銀行,本國銀行,個人支存餘額,2252000000,P_Cd_Bal
10008,臺灣銀行,本國銀行,其他支存戶數,1101,O_Cd_Cnt
10008,臺灣銀行,本國銀行,其他支存餘額,5932000000,O_Cd_Bal
10008,臺灣土地銀行,本國銀行,公司支存戶數,33182,C_Cd_Cnt
10008,臺灣土地銀行,本國銀行,公司支存餘額,9092000000,C_Cd_Bal
10008,臺灣土地銀行,本國銀行,個人支存戶數,88034,P_Cd_Cnt
10008,臺灣土地銀行,本國銀行,個人支存餘額,3810000000,P_Cd_Bal
10008,臺灣土地銀行,本國銀行,其他支存戶數,2794,O_Cd_Cnt
10008,臺灣土地銀行,本國銀行,其他支存餘額,7699000000,O_Cd_Bal
10008,合作金庫商業銀行,本國銀行,公司支存戶數,97529,C_Cd_Cnt
10008,合作金庫商業銀行,本國銀行,公司支存餘額,20416000000,C_Cd_Bal
10008,合作金庫商業銀行,本國銀行,個人支存戶數,258721,P_Cd_Cnt
10008,合作金庫商業銀行,本國銀行,個人支存餘額,6697000000,P_Cd_Bal
10008,合作金庫商業銀行,本國銀行,其他支存戶數,10691,O_Cd_Cnt
10008,合作金庫商業銀行,本國銀行,其他支存餘額,3625000000,O_Cd_Bal
10008,第一商業銀行,本國銀行,公司支存戶數,116619,C_Cd_Cnt
10008,第一商業銀行,本國銀行,公司支存餘額,23804000000,C_Cd_Bal
10008,第一商業銀行,本國銀行,個人支存戶數,191775,P_Cd_Cnt
10008,第一商業銀行,本國銀行,個人支存餘額,7119000000,P_Cd_Bal
10008,第一商業銀行,本國銀行,其他支存戶數,4036,O_Cd_Cnt
10008,第一商業銀行,本國銀行,其他支存餘額,1823000000,O_Cd_Bal
10008,華南商業銀行,本國銀行,公司支存戶數,103034,C_Cd_Cnt
10008,華南商業銀行,本國銀行,公司支存餘額,37203000000,C_Cd_Bal
10008,華南商業銀行,本國銀行,個人支存戶數,178290,P_Cd_Cnt
10008,華南商業銀行,本國銀行,個人支存餘額,6505000000,P_Cd_Bal
10008,華南商業銀行,本國銀行,其他支存戶數,1288,O_Cd_Cnt
10008,華南商業銀行,本國銀行,其他支存餘額,1461000000,O_Cd_Bal
10008,彰化商業銀行,本國銀行,公司支存戶數,78645,C_Cd_Cnt
10008,彰化商業銀行,本國銀行,公司支存餘額,20696000000,C_Cd_Bal
10008,彰化商業銀行,本國銀行,個人支存戶數,178880,P_Cd_Cnt
10008,彰化商業銀行,本國銀行,個人支存餘額,5379000000,P_Cd_Bal
10008,彰化商業銀行,本國銀行,其他支存戶數,10339,O_Cd_Cnt
10008,彰化商業銀行,本國銀行,其他支存餘額,1838000000,O_Cd_Bal
10008,上海商業儲蓄銀行,本國銀行,公司支存戶數,26557,C_Cd_Cnt
10008,上海商業儲蓄銀行,本國銀行,公司支存餘額,5197000000,C_Cd_Bal
10008,上海商業儲蓄銀行,本國銀行,個人支存戶數,42818,P_Cd_Cnt
10008,上海商業儲蓄銀行,本國銀行,個人支存餘額,1391000000,P_Cd_Bal
10008,上海商業儲蓄銀行,本國銀行,其他支存戶數,269,O_Cd_Cnt
10008,上海商業儲蓄銀行,本國銀行,其他支存餘額,135000000,O_Cd_Bal
10008,台北富邦銀行,本國銀行,公司支存戶數,45983,C_Cd_Cnt
10008,台北富邦銀行,本國銀行,公司支存餘額,6130000000,C_Cd_Bal
10008,台北富邦銀行,本國銀行,個人支存戶數,103210,P_Cd_Cnt
10008,台北富邦銀行,本國銀行,個人支存餘額,1950000000,P_Cd_Bal
10008,台北富邦銀行,本國銀行,其他支存戶數,1436,O_Cd_Cnt
10008,台北富邦銀行,本國銀行,其他支存餘額,1063000000,O_Cd_Bal
10008,國泰世華商業銀行,本國銀行,公司支存戶數,56221,C_Cd_Cnt
10008,國泰世華商業銀行,本國銀行,公司支存餘額,7800000000,C_Cd_Bal
10008,國泰世華商業銀行,本國銀行,個人支存戶數,153412,P_Cd_Cnt
10008,國泰世華商業銀行,本國銀行,個人支存餘額,2720000000,P_Cd_Bal
10008,國泰世華商業銀行,本國銀行,其他支存戶數,1481,O_Cd_Cnt
10008,國泰世華商業銀行,本國銀行,其他支存餘額,3209000000,O_Cd_Bal
10008,中國輸出入銀行,本國銀行,公司支存戶數,0,C_Cd_Cnt
10008,中國輸出入銀行,本國銀行,公司支存餘額,0,C_Cd_Bal
10008,中國輸出入銀行,本國銀行,個人支存戶數,0,P_Cd_Cnt
10008,中國輸出入銀行,本國銀行,個人支存餘額,0,P_Cd_Bal
10008,中國輸出入銀行,本國銀行,其他支存戶數,0,O_Cd_Cnt
10008,中國輸出入銀行,本國銀行,其他支存餘額,0,O_Cd_Bal
10008,高雄銀行,本國銀行,公司支存戶數,11211,C_Cd_Cnt
10008,高雄銀行,本國銀行,公司支存餘額,844000000,C_Cd_Bal
10008,高雄銀行,本國銀行,個人支存戶數,20647,P_Cd_Cnt
10008,高雄銀行,本國銀行,個人支存餘額,348000000,P_Cd_Bal
10008,高雄銀行,本國銀行,其他支存戶數,198,O_Cd_Cnt
10008,高雄銀行,本國銀行,其他支存餘額,130000000,O_Cd_Bal
10008,兆豐國際商業銀行,本國銀行,公司支存戶數,43635,C_Cd_Cnt
10008,兆豐國際商業銀行,本國銀行,公司支存餘額,14386000000,C_Cd_Bal
10008,兆豐國際商業銀行,本國銀行,個人支存戶數,49985,P_Cd_Cnt
10008,兆豐國際商業銀行,本國銀行,個人支存餘額,1565000000,P_Cd_Bal
10008,兆豐國際商業銀行,本國銀行,其他支存戶數,1159,O_Cd_Cnt
10008,兆豐國際商業銀行,本國銀行,其他支存餘額,1704000000,O_Cd_Bal
10008,花旗,本國銀行,公司支存戶數,20050,C_Cd_Cnt
10008,花旗,本國銀行,公司支存餘額,7657000000,C_Cd_Bal
10008,花旗,本國銀行,個人支存戶數,72742,P_Cd_Cnt
10008,花旗,本國銀行,個人支存餘額,1015000000,P_Cd_Bal
10008,花旗,本國銀行,其他支存戶數,176,O_Cd_Cnt
10008,花旗,本國銀行,其他支存餘額,1829000000,O_Cd_Bal
10008,中華開發工業銀行,本國銀行,公司支存戶數,213,C_Cd_Cnt
10008,中華開發工業銀行,本國銀行,公司支存餘額,74000000,C_Cd_Bal
10008,中華開發工業銀行,本國銀行,個人支存戶數,0,P_Cd_Cnt
10008,中華開發工業銀行,本國銀行,個人支存餘額,0,P_Cd_Bal
10008,中華開發工業銀行,本國銀行,其他支存戶數,0,O_Cd_Cnt
10008,中華開發工業銀行,本國銀行,其他支存餘額,0,O_Cd_Bal
10008,臺灣工業銀行,本國銀行,公司支存戶數,189,C_Cd_Cnt
10008,臺灣工業銀行,本國銀行,公司支存餘額,99000000,C_Cd_Bal
10008,臺灣工業銀行,本國銀行,個人支存戶數,0,P_Cd_Cnt
10008,臺灣工業銀行,本國銀行,個人支存餘額,0,P_Cd_Bal
10008,臺灣工業銀行,本國銀行,其他支存戶數,0,O_Cd_Cnt
10008,臺灣工業銀行,本國銀行,其他支存餘額,0,O_Cd_Bal
10008,匯豐,本國銀行,公司支存戶數,7331,C_Cd_Cnt
10008,匯豐,本國銀行,公司支存餘額,3661000000,C_Cd_Bal
10008,匯豐,本國銀行,個人支存戶數,7375,P_Cd_Cnt
10008,匯豐,本國銀行,個人支存餘額,147000000,P_Cd_Bal
10008,匯豐,本國銀行,其他支存戶數,30,O_Cd_Cnt
10008,匯豐,本國銀行,其他支存餘額,6000000,O_Cd_Bal
10008,大台北商業銀行,本國銀行,公司支存戶數,1634,C_Cd_Cnt
10008,大台北商業銀行,本國銀行,公司支存餘額,236000000,C_Cd_Bal
10008,大台北商業銀行,本國銀行,個人支存戶數,8955,P_Cd_Cnt
10008,大台北商業銀行,本國銀行,個人支存餘額,316000000,P_Cd_Bal
10008,大台北商業銀行,本國銀行,其他支存戶數,298,O_Cd_Cnt
10008,大台北商業銀行,本國銀行,其他支存餘額,30000000,O_Cd_Bal
10008,華泰商業銀行,本國銀行,公司支存戶數,6852,C_Cd_Cnt
10008,華泰商業銀行,本國銀行,公司支存餘額,545000000,C_Cd_Bal
10008,華泰商業銀行,本國銀行,個人支存戶數,25315,P_Cd_Cnt
10008,華泰商業銀行,本國銀行,個人支存餘額,628000000,P_Cd_Bal
10008,華泰商業銀行,本國銀行,其他支存戶數,54,O_Cd_Cnt
10008,華泰商業銀行,本國銀行,其他支存餘額,22000000,O_Cd_Bal
10008,臺灣新光商業銀行,本國銀行,公司支存戶數,19643,C_Cd_Cnt
10008,臺灣新光商業銀行,本國銀行,公司支存餘額,2409000000,C_Cd_Bal
10008,臺灣新光商業銀行,本國銀行,個人支存戶數,74754,P_Cd_Cnt
10008,臺灣新光商業銀行,本國銀行,個人支存餘額,1166000000,P_Cd_Bal
10008,臺灣新光商業銀行,本國銀行,其他支存戶數,1348,O_Cd_Cnt
10008,臺灣新光商業銀行,本國銀行,其他支存餘額,1156000000,O_Cd_Bal
10008,陽信商業銀行,本國銀行,公司支存戶數,14760,C_Cd_Cnt
10008,陽信商業銀行,本國銀行,公司支存餘額,1031000000,C_Cd_Bal
10008,陽信商業銀行,本國銀行,個人支存戶數,60673,P_Cd_Cnt
10008,陽信商業銀行,本國銀行,個人支存餘額,1136000000,P_Cd_Bal
10008,陽信商業銀行,本國銀行,其他支存戶數,249,O_Cd_Cnt
10008,陽信商業銀行,本國銀行,其他支存餘額,84000000,O_Cd_Bal
10008,板信商業銀行,本國銀行,公司支存戶數,7872,C_Cd_Cnt
10008,板信商業銀行,本國銀行,公司支存餘額,563000000,C_Cd_Bal
10008,板信商業銀行,本國銀行,個人支存戶數,28972,P_Cd_Cnt
10008,板信商業銀行,本國銀行,個人支存餘額,600000000,P_Cd_Bal
10008,板信商業銀行,本國銀行,其他支存戶數,193,O_Cd_Cnt
10008,板信商業銀行,本國銀行,其他支存餘額,54000000,O_Cd_Bal
10008,三信商業銀行,本國銀行,公司支存戶數,5567,C_Cd_Cnt
10008,三信商業銀行,本國銀行,公司支存餘額,695000000,C_Cd_Bal
10008,三信商業銀行,本國銀行,個人支存戶數,20839,P_Cd_Cnt
10008,三信商業銀行,本國銀行,個人支存餘額,935000000,P_Cd_Bal
10008,三信商業銀行,本國銀行,其他支存戶數,71,O_Cd_Cnt
10008,三信商業銀行,本國銀行,其他支存餘額,18000000,O_Cd_Bal
10008,聯邦商業銀行,本國銀行,公司支存戶數,21862,C_Cd_Cnt
10008,聯邦商業銀行,本國銀行,公司支存餘額,1708000000,C_Cd_Bal
10008,聯邦商業銀行,本國銀行,個人支存戶數,67376,P_Cd_Cnt
10008,聯邦商業銀行,本國銀行,個人支存餘額,972000000,P_Cd_Bal
10008,聯邦商業銀行,本國銀行,其他支存戶數,313,O_Cd_Cnt
10008,聯邦商業銀行,本國銀行,其他支存餘額,49000000,O_Cd_Bal
10008,遠東國際商業銀行,本國銀行,公司支存戶數,7230,C_Cd_Cnt
10008,遠東國際商業銀行,本國銀行,公司支存餘額,1876000000,C_Cd_Bal
10008,遠東國際商業銀行,本國銀行,個人支存戶數,21822,P_Cd_Cnt
10008,遠東國際商業銀行,本國銀行,個人支存餘額,212000000,P_Cd_Bal
10008,遠東國際商業銀行,本國銀行,其他支存戶數,173,O_Cd_Cnt
10008,遠東國際商業銀行,本國銀行,其他支存餘額,88000000,O_Cd_Bal
10008,元大商業銀行,本國銀行,公司支存戶數,18964,C_Cd_Cnt
10008,元大商業銀行,本國銀行,公司支存餘額,1917000000,C_Cd_Bal
10008,元大商業銀行,本國銀行,個人支存戶數,52669,P_Cd_Cnt
10008,元大商業銀行,本國銀行,個人支存餘額,540000000,P_Cd_Bal
10008,元大商業銀行,本國銀行,其他支存戶數,530,O_Cd_Cnt
10008,元大商業銀行,本國銀行,其他支存餘額,352000000,O_Cd_Bal
10008,永豐商業銀行,本國銀行,公司支存戶數,49471,C_Cd_Cnt
10008,永豐商業銀行,本國銀行,公司支存餘額,5952000000,C_Cd_Bal
10008,永豐商業銀行,本國銀行,個人支存戶數,124527,P_Cd_Cnt
10008,永豐商業銀行,本國銀行,個人支存餘額,1924000000,P_Cd_Bal
10008,永豐商業銀行,本國銀行,其他支存戶數,937,O_Cd_Cnt
10008,永豐商業銀行,本國銀行,其他支存餘額,570000000,O_Cd_Bal
10008,玉山商業銀行,本國銀行,公司支存戶數,45390,C_Cd_Cnt
10008,玉山商業銀行,本國銀行,公司支存餘額,6229000000,C_Cd_Bal
10008,玉山商業銀行,本國銀行,個人支存戶數,92681,P_Cd_Cnt
10008,玉山商業銀行,本國銀行,個人支存餘額,1712000000,P_Cd_Bal
10008,玉山商業銀行,本國銀行,其他支存戶數,913,O_Cd_Cnt
10008,玉山商業銀行,本國銀行,其他支存餘額,2076000000,O_Cd_Bal
10008,萬泰商業銀行,本國銀行,公司支存戶數,15803,C_Cd_Cnt
10008,萬泰商業銀行,本國銀行,公司支存餘額,445000000,C_Cd_Bal
10008,萬泰商業銀行,本國銀行,個人支存戶數,32662,P_Cd_Cnt
10008,萬泰商業銀行,本國銀行,個人支存餘額,284000000,P_Cd_Bal
10008,萬泰商業銀行,本國銀行,其他支存戶數,286,O_Cd_Cnt
10008,萬泰商業銀行,本國銀行,其他支存餘額,82000000,O_Cd_Bal
10008,台新國際商業銀行,本國銀行,公司支存戶數,18682,C_Cd_Cnt
10008,台新國際商業銀行,本國銀行,公司支存餘額,1845000000,C_Cd_Bal
10008,台新國際商業銀行,本國銀行,個人支存戶數,76627,P_Cd_Cnt
10008,台新國際商業銀行,本國銀行,個人支存餘額,581000000,P_Cd_Bal
10008,台新國際商業銀行,本國銀行,其他支存戶數,218,O_Cd_Cnt
10008,台新國際商業銀行,本國銀行,其他支存餘額,182000000,O_Cd_Bal
10008,大眾商業銀行,本國銀行,公司支存戶數,18018,C_Cd_Cnt
10008,大眾商業銀行,本國銀行,公司支存餘額,1007000000,C_Cd_Bal
10008,大眾商業銀行,本國銀行,個人支存戶數,70669,P_Cd_Cnt
10008,大眾商業銀行,本國銀行,個人支存餘額,424000000,P_Cd_Bal
10008,大眾商業銀行,本國銀行,其他支存戶數,114,O_Cd_Cnt
10008,大眾商業銀行,本國銀行,其他支存餘額,41000000,O_Cd_Bal
10008,日盛國際商業銀行,本國銀行,公司支存戶數,11680,C_Cd_Cnt
