年月,銀行,銀行類別,項目,數值,英文項目
10207,總計,本國銀行,戶數,8821942,CL_Cnt
10207,總計,本國銀行,餘額,6752143000000,CL_Bal
10207,臺灣銀行,本國銀行,戶數,4395250,CL_Cnt
10207,臺灣銀行,本國銀行,餘額,657322000000,CL_Bal
10207,臺灣土地銀行,本國銀行,戶數,390984,CL_Cnt
10207,臺灣土地銀行,本國銀行,餘額,672741000000,CL_Bal
10207,合作金庫商業銀行,本國銀行,戶數,263125,CL_Cnt
10207,合作金庫商業銀行,本國銀行,餘額,505247000000,CL_Bal
10207,第一商業銀行,本國銀行,戶數,127396,CL_Cnt
10207,第一商業銀行,本國銀行,餘額,340655000000,CL_Bal
10207,華南商業銀行,本國銀行,戶數,188161,CL_Cnt
10207,華南商業銀行,本國銀行,餘額,425615000000,CL_Bal
10207,彰化商業銀行,本國銀行,戶數,118075,CL_Cnt
10207,彰化商業銀行,本國銀行,餘額,294254000000,CL_Bal
10207,上海商業儲蓄銀行,本國銀行,戶數,35049,CL_Cnt
10207,上海商業儲蓄銀行,本國銀行,餘額,116645000000,CL_Bal
10207,台北富邦銀行,本國銀行,戶數,308468,CL_Cnt
10207,台北富邦銀行,本國銀行,餘額,324403000000,CL_Bal
10207,國泰世華商業銀行,本國銀行,戶數,131565,CL_Cnt
10207,國泰世華商業銀行,本國銀行,餘額,301717000000,CL_Bal
10207,中國輸出入銀行,本國銀行,戶數,0,CL_Cnt
10207,中國輸出入銀行,本國銀行,餘額,0,CL_Bal
10207,高雄銀行,本國銀行,戶數,75203,CL_Cnt
10207,高雄銀行,本國銀行,餘額,44232000000,CL_Bal
10207,兆豐國際商業銀行,本國銀行,戶數,61848,CL_Cnt
10207,兆豐國際商業銀行,本國銀行,餘額,191840000000,CL_Bal
10207,花旗,本國銀行,戶數,195561,CL_Cnt
10207,花旗,本國銀行,餘額,124129000000,CL_Bal
10207,澳盛,本國銀行,戶數,42152,CL_Cnt
10207,澳盛,本國銀行,餘額,37752000000,CL_Bal
10207,中華開發工業銀行,本國銀行,戶數,11,CL_Cnt
10207,中華開發工業銀行,本國銀行,餘額,4000000,CL_Bal
10207,臺灣工業銀行,本國銀行,戶數,1,CL_Cnt
10207,臺灣工業銀行,本國銀行,餘額,0,CL_Bal
10207,匯豐,本國銀行,戶數,54340,CL_Cnt
10207,匯豐,本國銀行,餘額,109949000000,CL_Bal
10207,大台北商業銀行,本國銀行,戶數,2848,CL_Cnt
10207,大台北商業銀行,本國銀行,餘額,10095000000,CL_Bal
10207,華泰商業銀行,本國銀行,戶數,6823,CL_Cnt
10207,華泰商業銀行,本國銀行,餘額,16175000000,CL_Bal
10207,臺灣新光商業銀行,本國銀行,戶數,101804,CL_Cnt
10207,臺灣新光商業銀行,本國銀行,餘額,133544000000,CL_Bal
10207,陽信商業銀行,本國銀行,戶數,27333,CL_Cnt
10207,陽信商業銀行,本國銀行,餘額,46755000000,CL_Bal
10207,板信商業銀行,本國銀行,戶數,19555,CL_Cnt
10207,板信商業銀行,本國銀行,餘額,26671000000,CL_Bal
10207,三信商業銀行,本國銀行,戶數,48806,CL_Cnt
