年月,銀行,銀行類別,項目,數值
10003,總計,本國銀行,購置住宅貸款戶數,2001360
10003,總計,本國銀行,購置住宅貸款餘額,5183374000000
10003,總計,本國銀行,房屋修繕貸款戶數,370444
10003,總計,本國銀行,房屋修繕貸款餘額,571162000000
10003,總計,本國銀行,購置汽車貸款戶數,206229
10003,總計,本國銀行,購置汽車貸款餘額,60746000000
10003,總計,本國銀行,機關團體職工福利貸款戶數,216499
10003,總計,本國銀行,機關團體職工福利貸款餘額,67199000000
10003,總計,本國銀行,其他個人消費貸款戶數,5922238
10003,總計,本國銀行,其他個人消費貸款餘額,700020000000
10003,臺灣銀行,本國銀行,購置住宅貸款戶數,145931
10003,臺灣銀行,本國銀行,購置住宅貸款餘額,355613000000
10003,臺灣銀行,本國銀行,房屋修繕貸款戶數,27041
10003,臺灣銀行,本國銀行,房屋修繕貸款餘額,34067000000
10003,臺灣銀行,本國銀行,購置汽車貸款戶數,0
10003,臺灣銀行,本國銀行,購置汽車貸款餘額,0
10003,臺灣銀行,本國銀行,機關團體職工福利貸款戶數,25244
10003,臺灣銀行,本國銀行,機關團體職工福利貸款餘額,5826000000
10003,臺灣銀行,本國銀行,其他個人消費貸款戶數,3861906
10003,臺灣銀行,本國銀行,其他個人消費貸款餘額,198131000000
10003,臺灣土地銀行,本國銀行,購置住宅貸款戶數,284717
10003,臺灣土地銀行,本國銀行,購置住宅貸款餘額,562874000000
10003,臺灣土地銀行,本國銀行,房屋修繕貸款戶數,46354
10003,臺灣土地銀行,本國銀行,房屋修繕貸款餘額,55814000000
10003,臺灣土地銀行,本國銀行,購置汽車貸款戶數,35
10003,臺灣土地銀行,本國銀行,購置汽車貸款餘額,7000000
10003,臺灣土地銀行,本國銀行,機關團體職工福利貸款戶數,82363
10003,臺灣土地銀行,本國銀行,機關團體職工福利貸款餘額,21755000000
10003,臺灣土地銀行,本國銀行,其他個人消費貸款戶數,18371
10003,臺灣土地銀行,本國銀行,其他個人消費貸款餘額,1008000000
10003,合作金庫商業銀行,本國銀行,購置住宅貸款戶數,181115
10003,合作金庫商業銀行,本國銀行,購置住宅貸款餘額,459451000000
10003,合作金庫商業銀行,本國銀行,房屋修繕貸款戶數,61328
10003,合作金庫商業銀行,本國銀行,房屋修繕貸款餘額,100153000000
10003,合作金庫商業銀行,本國銀行,購置汽車貸款戶數,0
10003,合作金庫商業銀行,本國銀行,購置汽車貸款餘額,0
10003,合作金庫商業銀行,本國銀行,機關團體職工福利貸款戶數,48232
10003,合作金庫商業銀行,本國銀行,機關團體職工福利貸款餘額,13008000000
10003,合作金庫商業銀行,本國銀行,其他個人消費貸款戶數,16918
10003,合作金庫商業銀行,本國銀行,其他個人消費貸款餘額,5072000000
10003,第一商業銀行,本國銀行,購置住宅貸款戶數,84111
10003,第一商業銀行,本國銀行,購置住宅貸款餘額,277986000000
10003,第一商業銀行,本國銀行,房屋修繕貸款戶數,33846
10003,第一商業銀行,本國銀行,房屋修繕貸款餘額,58938000000
10003,第一商業銀行,本國銀行,購置汽車貸款戶數,40
10003,第一商業銀行,本國銀行,購置汽車貸款餘額,2000000
10003,第一商業銀行,本國銀行,機關團體職工福利貸款戶數,3490
10003,第一商業銀行,本國銀行,機關團體職工福利貸款餘額,1238000000
10003,第一商業銀行,本國銀行,其他個人消費貸款戶數,17283
10003,第一商業銀行,本國銀行,其他個人消費貸款餘額,8067000000
10003,華南商業銀行,本國銀行,購置住宅貸款戶數,118946
10003,華南商業銀行,本國銀行,購置住宅貸款餘額,346735000000
10003,華南商業銀行,本國銀行,房屋修繕貸款戶數,12690
10003,華南商業銀行,本國銀行,房屋修繕貸款餘額,18245000000
10003,華南商業銀行,本國銀行,購置汽車貸款戶數,2650
10003,華南商業銀行,本國銀行,購置汽車貸款餘額,387000000
10003,華南商業銀行,本國銀行,機關團體職工福利貸款戶數,3024
10003,華南商業銀行,本國銀行,機關團體職工福利貸款餘額,1098000000
10003,華南商業銀行,本國銀行,其他個人消費貸款戶數,54535
10003,華南商業銀行,本國銀行,其他個人消費貸款餘額,7970000000
10003,彰化商業銀行,本國銀行,購置住宅貸款戶數,74793
10003,彰化商業銀行,本國銀行,購置住宅貸款餘額,208434000000
10003,彰化商業銀行,本國銀行,房屋修繕貸款戶數,42641
10003,彰化商業銀行,本國銀行,房屋修繕貸款餘額,83710000000
10003,彰化商業銀行,本國銀行,購置汽車貸款戶數,1
10003,彰化商業銀行,本國銀行,購置汽車貸款餘額,1000000
10003,彰化商業銀行,本國銀行,機關團體職工福利貸款戶數,2105
10003,彰化商業銀行,本國銀行,機關團體職工福利貸款餘額,705000000
10003,彰化商業銀行,本國銀行,其他個人消費貸款戶數,8292
10003,彰化商業銀行,本國銀行,其他個人消費貸款餘額,5488000000
10003,上海商業儲蓄銀行,本國銀行,購置住宅貸款戶數,29163
