年月,銀行,銀行類別,項目,數值,英文項目
9901,總計,本國銀行,購置住宅貸款戶數,1981322,Mortgage_Cnt
9901,總計,本國銀行,購置住宅貸款餘額,4851183000000,Mortgage_Bal
9901,總計,本國銀行,房屋修繕貸款戶數,467328,Decorator_Hse_Cnt
9901,總計,本國銀行,房屋修繕貸款餘額,784140000000,Decorator_Hse_Bal
9901,總計,本國銀行,購置汽車貸款戶數,200962,Ln_Car_Cnt
9901,總計,本國銀行,購置汽車貸款餘額,54439000000,Ln_Car_Bal
9901,總計,本國銀行,機關團體職工福利貸款戶數,295229,Ln_Worker_Cnt
9901,總計,本國銀行,機關團體職工福利貸款餘額,79971000000,Ln_Worker_Bal
9901,總計,本國銀行,其他個人消費貸款戶數,5805354,Other_CL_Cnt
9901,總計,本國銀行,其他個人消費貸款餘額,719154000000,Other_CL_Bal
9901,臺灣銀行,本國銀行,購置住宅貸款戶數,144252,Mortgage_Cnt
9901,臺灣銀行,本國銀行,購置住宅貸款餘額,344746000000,Mortgage_Bal
9901,臺灣銀行,本國銀行,房屋修繕貸款戶數,29186,Decorator_Hse_Cnt
9901,臺灣銀行,本國銀行,房屋修繕貸款餘額,39159000000,Decorator_Hse_Bal
9901,臺灣銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,臺灣銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,臺灣銀行,本國銀行,機關團體職工福利貸款戶數,34211,Ln_Worker_Cnt
9901,臺灣銀行,本國銀行,機關團體職工福利貸款餘額,8894000000,Ln_Worker_Bal
9901,臺灣銀行,本國銀行,其他個人消費貸款戶數,3654319,Other_CL_Cnt
9901,臺灣銀行,本國銀行,其他個人消費貸款餘額,191116000000,Other_CL_Bal
9901,臺灣土地銀行,本國銀行,購置住宅貸款戶數,292076,Mortgage_Cnt
9901,臺灣土地銀行,本國銀行,購置住宅貸款餘額,570856000000,Mortgage_Bal
9901,臺灣土地銀行,本國銀行,房屋修繕貸款戶數,53379,Decorator_Hse_Cnt
