年月,銀行,銀行類別,項目,數值
9712,總計,全體銀行機構,一般定期性存款,12342632000000
9712,總計,全體銀行機構,可轉讓定期存款,170387000000
9712,臺灣銀行,本國銀行,一般定期性存款,1752272000000
9712,臺灣銀行,本國銀行,可轉讓定期存款,1434000000
9712,臺灣土地銀行,本國銀行,一般定期性存款,1070671000000
9712,臺灣土地銀行,本國銀行,可轉讓定期存款,5830000000
9712,合作金庫商業銀行,本國銀行,一般定期性存款,1138050000000
9712,合作金庫商業銀行,本國銀行,可轉讓定期存款,4446000000
9712,第一商業銀行,本國銀行,一般定期性存款,543064000000
9712,第一商業銀行,本國銀行,可轉讓定期存款,12811000000
9712,華南商業銀行,本國銀行,一般定期性存款,544491000000
9712,華南商業銀行,本國銀行,可轉讓定期存款,6755000000
9712,彰化商業銀行,本國銀行,一般定期性存款,468611000000
9712,彰化商業銀行,本國銀行,可轉讓定期存款,7390000000
9712,花旗,本國銀行,一般定期性存款,64501000000
9712,花旗,本國銀行,可轉讓定期存款,897000000
9712,上海商業儲蓄銀行,本國銀行,一般定期性存款,201217000000
9712,上海商業儲蓄銀行,本國銀行,可轉讓定期存款,4596000000
9712,台北富邦銀行,本國銀行,一般定期性存款,449439000000
9712,台北富邦銀行,本國銀行,可轉讓定期存款,9438000000
9712,國泰世華商業銀行,本國銀行,一般定期性存款,531873000000
9712,國泰世華商業銀行,本國銀行,可轉讓定期存款,2659000000
9712,中國輸出入銀行,本國銀行,一般定期性存款,0
9712,中國輸出入銀行,本國銀行,可轉讓定期存款,0
9712,高雄銀行,本國銀行,一般定期性存款,96257000000
9712,高雄銀行,本國銀行,可轉讓定期存款,618000000
9712,兆豐國際商業銀行,本國銀行,一般定期性存款,451568000000
9712,兆豐國際商業銀行,本國銀行,可轉讓定期存款,2447000000
9712,中華開發工業銀行,本國銀行,一般定期性存款,10054000000
9712,中華開發工業銀行,本國銀行,可轉讓定期存款,0
9712,臺灣工業銀行,本國銀行,一般定期性存款,52020000000
9712,臺灣工業銀行,本國銀行,可轉讓定期存款,0
9712,稻江商業銀行,本國銀行,一般定期性存款,24489000000
9712,稻江商業銀行,本國銀行,可轉讓定期存款,0
9712,華泰商業銀行,本國銀行,一般定期性存款,67367000000
9712,華泰商業銀行,本國銀行,可轉讓定期存款,2534000000
9712,臺灣新光商業銀行,本國銀行,一般定期性存款,224620000000
9712,臺灣新光商業銀行,本國銀行,可轉讓定期存款,890000000
9712,陽信商業銀行,本國銀行,一般定期性存款,147081000000
9712,陽信商業銀行,本國銀行,可轉讓定期存款,1072000000
9712,板信商業銀行,本國銀行,一般定期性存款,99420000000
9712,板信商業銀行,本國銀行,可轉讓定期存款,3397000000
9712,三信商業銀行,本國銀行,一般定期性存款,65434000000
9712,三信商業銀行,本國銀行,可轉讓定期存款,324000000
9712,聯邦商業銀行,本國銀行,一般定期性存款,173373000000
9712,聯邦商業銀行,本國銀行,可轉讓定期存款,1950000000
9712,中華商業銀行,本國銀行,一般定期性存款,0
9712,中華商業銀行,本國銀行,可轉讓定期存款,0
9712,遠東國際商業銀行,本國銀行,一般定期性存款,177907000000
9712,遠東國際商業銀行,本國銀行,可轉讓定期存款,6978000000
9712,元大商業銀行,本國銀行,一般定期性存款,161531000000
9712,元大商業銀行,本國銀行,可轉讓定期存款,3024000000
9712,永豐商業銀行,本國銀行,一般定期性存款,406394000000
9712,永豐商業銀行,本國銀行,可轉讓定期存款,10591000000
9712,玉山商業銀行,本國銀行,一般定期性存款,360841000000
9712,玉山商業銀行,本國銀行,可轉讓定期存款,14407000000
9712,萬泰商業銀行,本國銀行,一般定期性存款,90968000000
9712,萬泰商業銀行,本國銀行,可轉讓定期存款,170000000
9712,寶華商業銀行,本國銀行,一般定期性存款,0
9712,寶華商業銀行,本國銀行,可轉讓定期存款,0
9712,台新國際商業銀行,本國銀行,一般定期性存款,360973000000
9712,台新國際商業銀行,本國銀行,可轉讓定期存款,13856000000
9712,大眾商業銀行,本國銀行,一般定期性存款,150393000000
9712,大眾商業銀行,本國銀行,可轉讓定期存款,2111000000
9712,日盛國際商業銀行,本國銀行,一般定期性存款,133093000000
9712,日盛國際商業銀行,本國銀行,可轉讓定期存款,1445000000
9712,安泰商業銀行,本國銀行,一般定期性存款,127805000000
9712,安泰商業銀行,本國銀行,可轉讓定期存款,10155000000
9712,中國信託商業銀行,本國銀行,一般定期性存款,487225000000
9712,中國信託商業銀行,本國銀行,可轉讓定期存款,5242000000
9712,慶豐商業銀行,本國銀行,一般定期性存款,36966000000
9712,慶豐商業銀行,本國銀行,可轉讓定期存款,23000000
9712,臺灣中小企業銀行,本國銀行,一般定期性存款,486485000000
9712,臺灣中小企業銀行,本國銀行,可轉讓定期存款,14034000000
9712,渣打國際商業銀行,本國銀行,一般定期性存款,231157000000
9712,渣打國際商業銀行,本國銀行,可轉讓定期存款,2272000000
9712,台中商業銀行,本國銀行,一般定期性存款,149556000000
9712,台中商業銀行,本國銀行,可轉讓定期存款,356000000
9712,京城商業銀行,本國銀行,一般定期性存款,85317000000
9712,京城商業銀行,本國銀行,可轉讓定期存款,392000000
9712,外國銀行在台分行,本國銀行,一般定期性存款,356397000000
9712,外國銀行在台分行,本國銀行,可轉讓定期存款,15845000000
9712,小計,信用合作社,一般定期性存款,363753000000
9712,小計,信用合作社,可轉讓定期存款,0
