年月,銀行,銀行類別,項目,數值
9607,總計,本國銀行,貼現透支,107500000000
9607,總計,本國銀行,短期放款,4263146000000
9607,總計,本國銀行,中長期放款,12857398000000
9607,總計,本國銀行,進出口押匯,61449000000
9607,中央信託局,本國銀行,貼現透支,0
9607,中央信託局,本國銀行,短期放款,0
9607,中央信託局,本國銀行,中長期放款,0
9607,中央信託局,本國銀行,進出口押匯,0
9607,臺灣銀行,本國銀行,貼現透支,49178000000
9607,臺灣銀行,本國銀行,短期放款,487289000000
9607,臺灣銀行,本國銀行,中長期放款,1272895000000
9607,臺灣銀行,本國銀行,進出口押匯,5759000000
9607,臺灣土地銀行,本國銀行,貼現透支,3268000000
9607,臺灣土地銀行,本國銀行,短期放款,172987000000
9607,臺灣土地銀行,本國銀行,中長期放款,1203723000000
9607,臺灣土地銀行,本國銀行,進出口押匯,724000000
9607,合作金庫商業銀行,本國銀行,貼現透支,8567000000
9607,合作金庫商業銀行,本國銀行,短期放款,299783000000
9607,合作金庫商業銀行,本國銀行,中長期放款,1425865000000
9607,合作金庫商業銀行,本國銀行,進出口押匯,941000000
9607,第一商業銀行,本國銀行,貼現透支,7371000000
9607,第一商業銀行,本國銀行,短期放款,319330000000
9607,第一商業銀行,本國銀行,中長期放款,686289000000
9607,第一商業銀行,本國銀行,進出口押匯,4347000000
9607,華南商業銀行,本國銀行,貼現透支,2173000000
9607,華南商業銀行,本國銀行,短期放款,410148000000
9607,華南商業銀行,本國銀行,中長期放款,613165000000
9607,華南商業銀行,本國銀行,進出口押匯,12192000000
9607,彰化商業銀行,本國銀行,貼現透支,5939000000
9607,彰化商業銀行,本國銀行,短期放款,255479000000
9607,彰化商業銀行,本國銀行,中長期放款,594525000000
9607,彰化商業銀行,本國銀行,進出口押匯,2651000000
9607,華僑商業銀行,本國銀行,貼現透支,84000000
9607,華僑商業銀行,本國銀行,短期放款,61538000000
9607,華僑商業銀行,本國銀行,中長期放款,104174000000
9607,華僑商業銀行,本國銀行,進出口押匯,1933000000
9607,上海商業儲蓄銀行,本國銀行,貼現透支,359000000
9607,上海商業儲蓄銀行,本國銀行,短期放款,72832000000
9607,上海商業儲蓄銀行,本國銀行,中長期放款,198192000000
9607,上海商業儲蓄銀行,本國銀行,進出口押匯,5725000000
9607,台北富邦銀行,本國銀行,貼現透支,4546000000
9607,台北富邦銀行,本國銀行,短期放款,151696000000
9607,台北富邦銀行,本國銀行,中長期放款,484603000000
9607,台北富邦銀行,本國銀行,進出口押匯,2607000000
9607,國泰世華商業銀行,本國銀行,貼現透支,538000000
9607,國泰世華商業銀行,本國銀行,短期放款,172339000000
9607,國泰世華商業銀行,本國銀行,中長期放款,558375000000
9607,國泰世華商業銀行,本國銀行,進出口押匯,329000000
9607,中國輸出入銀行,本國銀行,貼現透支,0
9607,中國輸出入銀行,本國銀行,短期放款,7374000000
9607,中國輸出入銀行,本國銀行,中長期放款,56546000000
9607,中國輸出入銀行,本國銀行,進出口押匯,0
9607,高雄銀行,本國銀行,貼現透支,40000000
9607,高雄銀行,本國銀行,短期放款,32092000000
9607,高雄銀行,本國銀行,中長期放款,78781000000
9607,高雄銀行,本國銀行,進出口押匯,17000000
9607,兆豐國際商業銀行,本國銀行,貼現透支,2038000000
9607,兆豐國際商業銀行,本國銀行,短期放款,313518000000
9607,兆豐國際商業銀行,本國銀行,中長期放款,817044000000
9607,兆豐國際商業銀行,本國銀行,進出口押匯,14686000000
9607,中華開發工業銀行,本國銀行,貼現透支,0
9607,中華開發工業銀行,本國銀行,短期放款,9655000000
9607,中華開發工業銀行,本國銀行,中長期放款,69357000000
9607,中華開發工業銀行,本國銀行,進出口押匯,0
9607,臺灣工業銀行,本國銀行,貼現透支,342000000
9607,臺灣工業銀行,本國銀行,短期放款,6187000000
9607,臺灣工業銀行,本國銀行,中長期放款,44978000000
9607,臺灣工業銀行,本國銀行,進出口押匯,112000000
9607,稻江商業銀行,本國銀行,貼現透支,561000000
9607,稻江商業銀行,本國銀行,短期放款,1639000000
9607,稻江商業銀行,本國銀行,中長期放款,22071000000
9607,稻江商業銀行,本國銀行,進出口押匯,0
9607,華泰商業銀行,本國銀行,貼現透支,48000000
9607,華泰商業銀行,本國銀行,短期放款,21929000000
9607,華泰商業銀行,本國銀行,中長期放款,60838000000
9607,華泰商業銀行,本國銀行,進出口押匯,0
9607,臺灣新光商業銀行,本國銀行,貼現透支,19000000
9607,臺灣新光商業銀行,本國銀行,短期放款,42124000000
9607,臺灣新光商業銀行,本國銀行,中長期放款,205890000000
9607,臺灣新光商業銀行,本國銀行,進出口押匯,107000000
9607,陽信商業銀行,本國銀行,貼現透支,3684000000
9607,陽信商業銀行,本國銀行,短期放款,33881000000
9607,陽信商業銀行,本國銀行,中長期放款,152693000000
9607,陽信商業銀行,本國銀行,進出口押匯,162000000
9607,板信商業銀行,本國銀行,貼現透支,15000000
9607,板信商業銀行,本國銀行,短期放款,35434000000
