年月,銀行,銀行類別,項目,數值,英文項目
9912,總計,本國銀行,貼現透支,120532000000,LN_DO
9912,總計,本國銀行,短期放款,4675609000000,LN_ST
9912,總計,本國銀行,中長期放款,14998209000000,LN_ML
9912,總計,本國銀行,進出口押匯,67121000000,LN_AO
9912,臺灣銀行,本國銀行,貼現透支,63031000000,LN_DO
9912,臺灣銀行,本國銀行,短期放款,338373000000,LN_ST
9912,臺灣銀行,本國銀行,中長期放款,1673734000000,LN_ML
9912,臺灣銀行,本國銀行,進出口押匯,3995000000,LN_AO
9912,臺灣土地銀行,本國銀行,貼現透支,2106000000,LN_DO
9912,臺灣土地銀行,本國銀行,短期放款,196677000000,LN_ST
9912,臺灣土地銀行,本國銀行,中長期放款,1501609000000,LN_ML
9912,臺灣土地銀行,本國銀行,進出口押匯,506000000,LN_AO
9912,合作金庫商業銀行,本國銀行,貼現透支,4698000000,LN_DO
9912,合作金庫商業銀行,本國銀行,短期放款,341937000000,LN_ST
9912,合作金庫商業銀行,本國銀行,中長期放款,1435846000000,LN_ML
9912,合作金庫商業銀行,本國銀行,進出口押匯,894000000,LN_AO
9912,第一商業銀行,本國銀行,貼現透支,8683000000,LN_DO
9912,第一商業銀行,本國銀行,短期放款,408425000000,LN_ST
9912,第一商業銀行,本國銀行,中長期放款,830788000000,LN_ML
9912,第一商業銀行,本國銀行,進出口押匯,2366000000,LN_AO
9912,華南商業銀行,本國銀行,貼現透支,256000000,LN_DO
9912,華南商業銀行,本國銀行,短期放款,425443000000,LN_ST
9912,華南商業銀行,本國銀行,中長期放款,811310000000,LN_ML
9912,華南商業銀行,本國銀行,進出口押匯,10165000000,LN_AO
9912,彰化商業銀行,本國銀行,貼現透支,5513000000,LN_DO
9912,彰化商業銀行,本國銀行,短期放款,323493000000,LN_ST
9912,彰化商業銀行,本國銀行,中長期放款,723606000000,LN_ML
9912,彰化商業銀行,本國銀行,進出口押匯,1765000000,LN_AO
9912,上海商業儲蓄銀行,本國銀行,貼現透支,288000000,LN_DO
9912,上海商業儲蓄銀行,本國銀行,短期放款,114640000000,LN_ST
9912,上海商業儲蓄銀行,本國銀行,中長期放款,270385000000,LN_ML
9912,上海商業儲蓄銀行,本國銀行,進出口押匯,6523000000,LN_AO
9912,台北富邦銀行,本國銀行,貼現透支,2063000000,LN_DO
9912,台北富邦銀行,本國銀行,短期放款,217917000000,LN_ST
9912,台北富邦銀行,本國銀行,中長期放款,641099000000,LN_ML
9912,台北富邦銀行,本國銀行,進出口押匯,2506000000,LN_AO
9912,國泰世華商業銀行,本國銀行,貼現透支,495000000,LN_DO
9912,國泰世華商業銀行,本國銀行,短期放款,216588000000,LN_ST
9912,國泰世華商業銀行,本國銀行,中長期放款,671805000000,LN_ML
9912,國泰世華商業銀行,本國銀行,進出口押匯,261000000,LN_AO
9912,中國輸出入銀行,本國銀行,貼現透支,0,LN_DO
9912,中國輸出入銀行,本國銀行,短期放款,7132000000,LN_ST
9912,中國輸出入銀行,本國銀行,中長期放款,74521000000,LN_ML
9912,中國輸出入銀行,本國銀行,進出口押匯,0,LN_AO
9912,高雄銀行,本國銀行,貼現透支,864000000,LN_DO
9912,高雄銀行,本國銀行,短期放款,71747000000,LN_ST
9912,高雄銀行,本國銀行,中長期放款,89056000000,LN_ML
9912,高雄銀行,本國銀行,進出口押匯,41000000,LN_AO
9912,兆豐國際商業銀行,本國銀行,貼現透支,1072000000,LN_DO
9912,兆豐國際商業銀行,本國銀行,短期放款,395398000000,LN_ST
9912,兆豐國際商業銀行,本國銀行,中長期放款,913430000000,LN_ML
9912,兆豐國際商業銀行,本國銀行,進出口押匯,18835000000,LN_AO
9912,花旗,本國銀行,貼現透支,10030000000,LN_DO
9912,花旗,本國銀行,短期放款,46798000000,LN_ST
9912,花旗,本國銀行,中長期放款,111635000000,LN_ML
9912,花旗,本國銀行,進出口押匯,2208000000,LN_AO
9912,中華開發工業銀行,本國銀行,貼現透支,0,LN_DO
9912,中華開發工業銀行,本國銀行,短期放款,5567000000,LN_ST
9912,中華開發工業銀行,本國銀行,中長期放款,66327000000,LN_ML
9912,中華開發工業銀行,本國銀行,進出口押匯,6000000,LN_AO
9912,臺灣工業銀行,本國銀行,貼現透支,0,LN_DO
9912,臺灣工業銀行,本國銀行,短期放款,6782000000,LN_ST
9912,臺灣工業銀行,本國銀行,中長期放款,59882000000,LN_ML
9912,臺灣工業銀行,本國銀行,進出口押匯,12000000,LN_AO
9912,匯豐,本國銀行,貼現透支,4561000000,LN_DO
9912,匯豐,本國銀行,短期放款,30660000000,LN_ST
9912,匯豐,本國銀行,中長期放款,98682000000,LN_ML
9912,匯豐,本國銀行,進出口押匯,6067000000,LN_AO
9912,大台北商業銀行,本國銀行,貼現透支,409000000,LN_DO
9912,大台北商業銀行,本國銀行,短期放款,2933000000,LN_ST
9912,大台北商業銀行,本國銀行,中長期放款,28192000000,LN_ML
9912,大台北商業銀行,本國銀行,進出口押匯,0,LN_AO
9912,華泰商業銀行,本國銀行,貼現透支,3000000,LN_DO
9912,華泰商業銀行,本國銀行,短期放款,35342000000,LN_ST
9912,華泰商業銀行,本國銀行,中長期放款,52585000000,LN_ML
9912,華泰商業銀行,本國銀行,進出口押匯,28000000,LN_AO
9912,臺灣新光商業銀行,本國銀行,貼現透支,14000000,LN_DO
9912,臺灣新光商業銀行,本國銀行,短期放款,70708000000,LN_ST
9912,臺灣新光商業銀行,本國銀行,中長期放款,255927000000,LN_ML
9912,臺灣新光商業銀行,本國銀行,進出口押匯,310000000,LN_AO
9912,陽信商業銀行,本國銀行,貼現透支,3777000000,LN_DO
9912,陽信商業銀行,本國銀行,短期放款,30409000000,LN_ST
9912,陽信商業銀行,本國銀行,中長期放款,137616000000,LN_ML
9912,陽信商業銀行,本國銀行,進出口押匯,28000000,LN_AO
9912,板信商業銀行,本國銀行,貼現透支,7000000,LN_DO
9912,板信商業銀行,本國銀行,短期放款,22368000000,LN_ST
9912,板信商業銀行,本國銀行,中長期放款,83232000000,LN_ML
9912,板信商業銀行,本國銀行,進出口押匯,101000000,LN_AO
9912,三信商業銀行,本國銀行,貼現透支,198000000,LN_DO
9912,三信商業銀行,本國銀行,短期放款,11213000000,LN_ST
9912,三信商業銀行,本國銀行,中長期放款,73624000000,LN_ML
9912,三信商業銀行,本國銀行,進出口押匯,19000000,LN_AO
9912,聯邦商業銀行,本國銀行,貼現透支,118000000,LN_DO
9912,聯邦商業銀行,本國銀行,短期放款,43180000000,LN_ST
9912,聯邦商業銀行,本國銀行,中長期放款,146488000000,LN_ML
9912,聯邦商業銀行,本國銀行,進出口押匯,88000000,LN_AO
9912,遠東國際商業銀行,本國銀行,貼現透支,88000000,LN_DO
9912,遠東國際商業銀行,本國銀行,短期放款,63956000000,LN_ST
9912,遠東國際商業銀行,本國銀行,中長期放款,175102000000,LN_ML
9912,遠東國際商業銀行,本國銀行,進出口押匯,180000000,LN_AO
