年月,銀行,銀行類別,項目,數值,英文項目
9507,總計,本國銀行,月均餘額,16930706000000,LN_Aum
9507,中央信託局,本國銀行,月均餘額,202636000000,LN_Aum
9507,中國農民銀行,本國銀行,月均餘額,0,LN_Aum
9507,交通銀行,本國銀行,月均餘額,384965000000,LN_Aum
9507,臺灣銀行,本國銀行,月均餘額,1447168000000,LN_Aum
9507,臺灣土地銀行,本國銀行,月均餘額,1315902000000,LN_Aum
9507,合作金庫商業銀行,本國銀行,月均餘額,1664081000000,LN_Aum
9507,第一商業銀行,本國銀行,月均餘額,904559000000,LN_Aum
9507,華南商業銀行,本國銀行,月均餘額,935359000000,LN_Aum
9507,彰化商業銀行,本國銀行,月均餘額,841349000000,LN_Aum
9507,華僑商業銀行,本國銀行,月均餘額,178098000000,LN_Aum
9507,上海商業儲蓄銀行,本國銀行,月均餘額,235245000000,LN_Aum
9507,台北富邦銀行,本國銀行,月均餘額,563238000000,LN_Aum
9507,國泰世華商業銀行,本國銀行,月均餘額,640069000000,LN_Aum
9507,中國輸出入銀行,本國銀行,月均餘額,62529000000,LN_Aum
9507,高雄銀行,本國銀行,月均餘額,101496000000,LN_Aum
9507,中國國際商業銀行,本國銀行,月均餘額,704901000000,LN_Aum
9507,中華開發工業銀行,本國銀行,月均餘額,64516000000,LN_Aum
9507,臺灣工業銀行,本國銀行,月均餘額,47459000000,LN_Aum
9507,華泰商業銀行,本國銀行,月均餘額,69264000000,LN_Aum
9507,臺灣新光商業銀行,本國銀行,月均餘額,204172000000,LN_Aum
9507,陽信商業銀行,本國銀行,月均餘額,171858000000,LN_Aum
9507,板信商業銀行,本國銀行,月均餘額,142445000000,LN_Aum
9507,三信商業銀行,本國銀行,月均餘額,75416000000,LN_Aum
9507,臺灣新光商業銀行,本國銀行,月均餘額,0,LN_Aum
9507,第七商業銀行,本國銀行,月均餘額,54668000000,LN_Aum
9507,高新商業銀行,本國銀行,月均餘額,0,LN_Aum
9507,聯邦商業銀行,本國銀行,月均餘額,184609000000,LN_Aum
9507,中華商業銀行,本國銀行,月均餘額,124796000000,LN_Aum
9507,遠東國際商業銀行,本國銀行,月均餘額,224141000000,LN_Aum
9507,復華商業銀行,本國銀行,月均餘額,224495000000,LN_Aum
9507,建華商業銀行,本國銀行,月均餘額,303000000000,LN_Aum
9507,玉山商業銀行,本國銀行,月均餘額,403034000000,LN_Aum
9507,萬泰商業銀行,本國銀行,月均餘額,150278000000,LN_Aum
9507,寶華商業銀行,本國銀行,月均餘額,104129000000,LN_Aum
9507,台新國際商業銀行,本國銀行,月均餘額,511697000000,LN_Aum
9507,大眾商業銀行,本國銀行,月均餘額,230358000000,LN_Aum
9507,日盛國際商業銀行,本國銀行,月均餘額,183038000000,LN_Aum
9507,安泰商業銀行,本國銀行,月均餘額,203218000000,LN_Aum
9507,中國信託商業銀行,本國銀行,月均餘額,811734000000,LN_Aum
9507,慶豐商業銀行,本國銀行,月均餘額,73889000000,LN_Aum
9507,臺灣中小企業銀行,本國銀行,月均餘額,716164000000,LN_Aum
9507,臺北國際商業銀行,本國銀行,月均餘額,288176000000,LN_Aum
9507,新竹國際商業銀行,本國銀行,月均餘額,297405000000,LN_Aum
9507,臺中商業銀行,本國銀行,月均餘額,185879000000,LN_Aum
9507,京城商業銀行,本國銀行,月均餘額,129115000000,LN_Aum
9507,花蓮區中小企業銀行,本國銀行,月均餘額,9338000000,LN_Aum
9507,臺東區中小企業銀行,本國銀行,月均餘額,31255000000,LN_Aum
9507,外國銀行在台分行,本國銀行,月均餘額,529563000000,LN_Aum
