年月,銀行,銀行類別,項目,數值
9904,總計,本國銀行,月均餘額,19086825000000
9904,臺灣銀行,本國銀行,月均餘額,2001058000000
9904,臺灣土地銀行,本國銀行,月均餘額,1588077000000
9904,合作金庫商業銀行,本國銀行,月均餘額,1738451000000
9904,第一商業銀行,本國銀行,月均餘額,1107500000000
9904,華南商業銀行,本國銀行,月均餘額,1092844000000
9904,彰化商業銀行,本國銀行,月均餘額,984304000000
9904,上海商業儲蓄銀行,本國銀行,月均餘額,347308000000
9904,台北富邦銀行,本國銀行,月均餘額,875815000000
9904,國泰世華商業銀行,本國銀行,月均餘額,785604000000
9904,中國輸出入銀行,本國銀行,月均餘額,84015000000
9904,高雄銀行,本國銀行,月均餘額,144838000000
9904,兆豐國際商業銀行,本國銀行,月均餘額,1210834000000
9904,花旗,本國銀行,月均餘額,134781000000
9904,中華開發工業銀行,本國銀行,月均餘額,65270000000
9904,臺灣工業銀行,本國銀行,月均餘額,59817000000
9904,大台北商業銀行,本國銀行,月均餘額,25775000000
9904,華泰商業銀行,本國銀行,月均餘額,82987000000
9904,臺灣新光商業銀行,本國銀行,月均餘額,288252000000
9904,陽信商業銀行,本國銀行,月均餘額,162688000000
9904,板信商業銀行,本國銀行,月均餘額,112358000000
9904,三信商業銀行,本國銀行,月均餘額,76903000000
9904,聯邦商業銀行,本國銀行,月均餘額,169383000000
9904,遠東國際商業銀行,本國銀行,月均餘額,217235000000
9904,元大商業銀行,本國銀行,月均餘額,260164000000
9904,永豐商業銀行,本國銀行,月均餘額,681388000000
9904,玉山商業銀行,本國銀行,月均餘額,574381000000
9904,萬泰商業銀行,本國銀行,月均餘額,68802000000
9904,台新國際商業銀行,本國銀行,月均餘額,512614000000
9904,大眾商業銀行,本國銀行,月均餘額,239120000000
9904,日盛國際商業銀行,本國銀行,月均餘額,120749000000
9904,安泰商業銀行,本國銀行,月均餘額,201165000000
9904,中國信託商業銀行,本國銀行,月均餘額,886964000000
9904,慶豐商業銀行,本國銀行,月均餘額,0
9904,臺灣中小企業銀行,本國銀行,月均餘額,878356000000
9904,渣打國際商業銀行,本國銀行,月均餘額,326285000000
9904,台中商業銀行,本國銀行,月均餘額,225656000000
9904,京城商業銀行,本國銀行,月均餘額,94323000000
9904,外國銀行在台分行,本國銀行,月均餘額,660759000000
