年月,銀行,銀行類別,項目,數值,英文項目
10206,總計,全體總和,公營企業,617209000000,LN_G
10206,總計,全體總和,民營企業,8554430000000,LN_P
10206,臺灣銀行,本國銀行,公營企業,166102000000,LN_G
10206,臺灣銀行,本國銀行,民營企業,685850000000,LN_P
10206,臺灣土地銀行,本國銀行,公營企業,40917000000,LN_G
10206,臺灣土地銀行,本國銀行,民營企業,537797000000,LN_P
10206,合作金庫商業銀行,本國銀行,公營企業,70335000000,LN_G
10206,合作金庫商業銀行,本國銀行,民營企業,762928000000,LN_P
10206,第一商業銀行,本國銀行,公營企業,580000000,LN_G
10206,第一商業銀行,本國銀行,民營企業,695510000000,LN_P
10206,華南商業銀行,本國銀行,公營企業,17753000000,LN_G
10206,華南商業銀行,本國銀行,民營企業,603729000000,LN_P
10206,彰化商業銀行,本國銀行,公營企業,60635000000,LN_G
10206,彰化商業銀行,本國銀行,民營企業,520296000000,LN_P
10206,上海商業儲蓄銀行,本國銀行,公營企業,53000000,LN_G
10206,上海商業儲蓄銀行,本國銀行,民營企業,178728000000,LN_P
10206,台北富邦銀行,本國銀行,公營企業,33250000000,LN_G
10206,台北富邦銀行,本國銀行,民營企業,273029000000,LN_P
10206,國泰世華商業銀行,本國銀行,公營企業,11492000000,LN_G
10206,國泰世華商業銀行,本國銀行,民營企業,225902000000,LN_P
10206,中國輸出入銀行,本國銀行,公營企業,21127000000,LN_G
10206,中國輸出入銀行,本國銀行,民營企業,26040000000,LN_P
10206,高雄銀行,本國銀行,公營企業,2159000000,LN_G
10206,高雄銀行,本國銀行,民營企業,57439000000,LN_P
10206,兆豐國際商業銀行,本國銀行,公營企業,17583000000,LN_G
10206,兆豐國際商業銀行,本國銀行,民營企業,656413000000,LN_P
10206,花旗,本國銀行,公營企業,0,LN_G
10206,花旗,本國銀行,民營企業,49172000000,LN_P
10206,澳盛,本國銀行,公營企業,0,LN_G
10206,澳盛,本國銀行,民營企業,52093000000,LN_P
10206,中華開發工業銀行,本國銀行,公營企業,325000000,LN_G
10206,中華開發工業銀行,本國銀行,民營企業,58410000000,LN_P
10206,臺灣工業銀行,本國銀行,公營企業,0,LN_G
10206,臺灣工業銀行,本國銀行,民營企業,65063000000,LN_P
10206,匯豐,本國銀行,公營企業,0,LN_G
10206,匯豐,本國銀行,民營企業,56946000000,LN_P
10206,大台北商業銀行,本國銀行,公營企業,500000000,LN_G
10206,大台北商業銀行,本國銀行,民營企業,8530000000,LN_P
10206,華泰商業銀行,本國銀行,公營企業,0,LN_G
10206,華泰商業銀行,本國銀行,民營企業,34945000000,LN_P
10206,臺灣新光商業銀行,本國銀行,公營企業,4906000000,LN_G
10206,臺灣新光商業銀行,本國銀行,民營企業,154873000000,LN_P
10206,陽信商業銀行,本國銀行,公營企業,0,LN_G
10206,陽信商業銀行,本國銀行,民營企業,82019000000,LN_P
10206,板信商業銀行,本國銀行,公營企業,0,LN_G
10206,板信商業銀行,本國銀行,民營企業,44072000000,LN_P
10206,三信商業銀行,本國銀行,公營企業,3860000000,LN_G
10206,三信商業銀行,本國銀行,民營企業,18012000000,LN_P
10206,聯邦商業銀行,本國銀行,公營企業,3537000000,LN_G
10206,聯邦商業銀行,本國銀行,民營企業,45617000000,LN_P
10206,遠東國際商業銀行,本國銀行,公營企業,14100000000,LN_G
10206,遠東國際商業銀行,本國銀行,民營企業,85489000000,LN_P
10206,元大商業銀行,本國銀行,公營企業,18466000000,LN_G
10206,元大商業銀行,本國銀行,民營企業,159168000000,LN_P
10206,永豐商業銀行,本國銀行,公營企業,27602000000,LN_G
10206,永豐商業銀行,本國銀行,民營企業,192213000000,LN_P
10206,玉山商業銀行,本國銀行,公營企業,5200000000,LN_G
10206,玉山商業銀行,本國銀行,民營企業,299555000000,LN_P
10206,萬泰商業銀行,本國銀行,公營企業,0,LN_G
10206,萬泰商業銀行,本國銀行,民營企業,22636000000,LN_P
10206,星展,本國銀行,公營企業,0,LN_G
10206,星展,本國銀行,民營企業,89253000000,LN_P
10206,台新國際商業銀行,本國銀行,公營企業,3017000000,LN_G
10206,台新國際商業銀行,本國銀行,民營企業,181137000000,LN_P
10206,大眾商業銀行,本國銀行,公營企業,0,LN_G
10206,大眾商業銀行,本國銀行,民營企業,82202000000,LN_P
10206,日盛國際商業銀行,本國銀行,公營企業,344000000,LN_G
10206,日盛國際商業銀行,本國銀行,民營企業,48969000000,LN_P
10206,安泰商業銀行,本國銀行,公營企業,2500000000,LN_G
10206,安泰商業銀行,本國銀行,民營企業,97388000000,LN_P
10206,中國信託商業銀行,本國銀行,公營企業,59883000000,LN_G
10206,中國信託商業銀行,本國銀行,民營企業,240716000000,LN_P
10206,臺灣中小企業銀行,本國銀行,公營企業,26982000000,LN_G
10206,臺灣中小企業銀行,本國銀行,民營企業,458084000000,LN_P
10206,渣打國際商業銀行,本國銀行,公營企業,0,LN_G
10206,渣打國際商業銀行,本國銀行,民營企業,41776000000,LN_P
10206,台中商業銀行,本國銀行,公營企業,0,LN_G
10206,台中商業銀行,本國銀行,民營企業,178193000000,LN_P
10206,京城商業銀行,本國銀行,公營企業,0,LN_G
10206,京城商業銀行,本國銀行,民營企業,56768000000,LN_P
10206,小計,外國銀行在台分行,公營企業,4000000000,LN_G
10206,小計,外國銀行在台分行,民營企業,424988000000,LN_P
10206,大陸地區銀行在臺分行,本國銀行,公營企業,0,LN_G
10206,大陸地區銀行在臺分行,本國銀行,民營企業,2484000000,LN_P
