年月,銀行,銀行類別,項目,數值
9810,總計,全體總和,公營企業,648395000000
9810,總計,全體總和,民營企業,6877708000000
9810,臺灣銀行,本國銀行,公營企業,165146000000
9810,臺灣銀行,本國銀行,民營企業,580784000000
9810,臺灣土地銀行,本國銀行,公營企業,40993000000
9810,臺灣土地銀行,本國銀行,民營企業,408650000000
9810,合作金庫商業銀行,本國銀行,公營企業,106289000000
9810,合作金庫商業銀行,本國銀行,民營企業,644736000000
9810,第一商業銀行,本國銀行,公營企業,45519000000
9810,第一商業銀行,本國銀行,民營企業,459242000000
9810,華南商業銀行,本國銀行,公營企業,35588000000
9810,華南商業銀行,本國銀行,民營企業,518824000000
9810,彰化商業銀行,本國銀行,公營企業,15708000000
9810,彰化商業銀行,本國銀行,民營企業,435413000000
9810,上海商業儲蓄銀行,本國銀行,公營企業,2000000
9810,上海商業儲蓄銀行,本國銀行,民營企業,135844000000
9810,台北富邦銀行,本國銀行,公營企業,25902000000
9810,台北富邦銀行,本國銀行,民營企業,269115000000
9810,國泰世華商業銀行,本國銀行,公營企業,22692000000
9810,國泰世華商業銀行,本國銀行,民營企業,229235000000
9810,中國輸出入銀行,本國銀行,公營企業,19573000000
9810,中國輸出入銀行,本國銀行,民營企業,18843000000
9810,高雄銀行,本國銀行,公營企業,3184000000
9810,高雄銀行,本國銀行,民營企業,51183000000
9810,兆豐國際商業銀行,本國銀行,公營企業,9344000000
9810,兆豐國際商業銀行,本國銀行,民營企業,609062000000
9810,花旗,本國銀行,公營企業,900000000
9810,花旗,本國銀行,民營企業,22024000000
9810,中華開發工業銀行,本國銀行,公營企業,593000000
9810,中華開發工業銀行,本國銀行,民營企業,61188000000
9810,臺灣工業銀行,本國銀行,公營企業,59000000
9810,臺灣工業銀行,本國銀行,民營企業,49953000000
9810,大台北商業銀行,本國銀行,公營企業,1001000000
9810,大台北商業銀行,本國銀行,民營企業,2317000000
9810,華泰商業銀行,本國銀行,公營企業,1925000000
9810,華泰商業銀行,本國銀行,民營企業,37330000000
9810,臺灣新光商業銀行,本國銀行,公營企業,6532000000
9810,臺灣新光商業銀行,本國銀行,民營企業,104422000000
9810,陽信商業銀行,本國銀行,公營企業,0
9810,陽信商業銀行,本國銀行,民營企業,39099000000
9810,板信商業銀行,本國銀行,公營企業,200000000
9810,板信商業銀行,本國銀行,民營企業,37665000000
9810,三信商業銀行,本國銀行,公營企業,3628000000
9810,三信商業銀行,本國銀行,民營企業,13353000000
9810,聯邦商業銀行,本國銀行,公營企業,625000000
9810,聯邦商業銀行,本國銀行,民營企業,36465000000
9810,遠東國際商業銀行,本國銀行,公營企業,5700000000
9810,遠東國際商業銀行,本國銀行,民營企業,61411000000
9810,元大商業銀行,本國銀行,公營企業,8537000000
9810,元大商業銀行,本國銀行,民營企業,111820000000
9810,永豐商業銀行,本國銀行,公營企業,8870000000
9810,永豐商業銀行,本國銀行,民營企業,158041000000
9810,玉山商業銀行,本國銀行,公營企業,3000000000
9810,玉山商業銀行,本國銀行,民營企業,194670000000
9810,萬泰商業銀行,本國銀行,公營企業,0
9810,萬泰商業銀行,本國銀行,民營企業,32433000000
9810,台新國際商業銀行,本國銀行,公營企業,2757000000
9810,台新國際商業銀行,本國銀行,民營企業,154085000000
9810,大眾商業銀行,本國銀行,公營企業,582000000
9810,大眾商業銀行,本國銀行,民營企業,89986000000
9810,日盛國際商業銀行,本國銀行,公營企業,4400000000
9810,日盛國際商業銀行,本國銀行,民營企業,35818000000
9810,安泰商業銀行,本國銀行,公營企業,0
9810,安泰商業銀行,本國銀行,民營企業,88274000000
9810,中國信託商業銀行,本國銀行,公營企業,54006000000
9810,中國信託商業銀行,本國銀行,民營企業,224061000000
9810,慶豐商業銀行,本國銀行,公營企業,700000000
9810,慶豐商業銀行,本國銀行,民營企業,7926000000
9810,臺灣中小企業銀行,本國銀行,公營企業,51421000000
9810,臺灣中小企業銀行,本國銀行,民營企業,394805000000
9810,渣打國際商業銀行,本國銀行,公營企業,0
9810,渣打國際商業銀行,本國銀行,民營企業,70689000000
9810,台中商業銀行,本國銀行,公營企業,3000000000
9810,台中商業銀行,本國銀行,民營企業,100617000000
9810,京城商業銀行,本國銀行,公營企業,0
9810,京城商業銀行,本國銀行,民營企業,41083000000
9810,外國銀行在台分行,本國銀行,公營企業,20000000
9810,外國銀行在台分行,本國銀行,民營企業,347239000000
