年月,銀行,銀行類別,項目,數值,欄位名稱
10104,總計,全體總和,對中小企業,4153556000000,LN_SME
10104,總計,全體總和,佔放款%,20.84,LN_SME_RATE
10104,總計,全體總和,市佔率,100.0,MARKET_RATE
10104,臺灣銀行,本國銀行,對中小企業,265582000000,LN_SME
10104,臺灣銀行,本國銀行,佔放款%,12.63,LN_SME_RATE
10104,臺灣銀行,本國銀行,市佔率,6.39,MARKET_RATE
10104,臺灣土地銀行,本國銀行,對中小企業,308289000000,LN_SME
10104,臺灣土地銀行,本國銀行,佔放款%,17.49,LN_SME_RATE
10104,臺灣土地銀行,本國銀行,市佔率,7.42,MARKET_RATE
10104,合作金庫商業銀行,本國銀行,對中小企業,476562000000,LN_SME
10104,合作金庫商業銀行,本國銀行,佔放款%,26.36,LN_SME_RATE
10104,合作金庫商業銀行,本國銀行,市佔率,11.47,MARKET_RATE
10104,第一商業銀行,本國銀行,對中小企業,488775000000,LN_SME
10104,第一商業銀行,本國銀行,佔放款%,41.06,LN_SME_RATE
10104,第一商業銀行,本國銀行,市佔率,11.77,MARKET_RATE
10104,華南商業銀行,本國銀行,對中小企業,349610000000,LN_SME
10104,華南商業銀行,本國銀行,佔放款%,28.62,LN_SME_RATE
10104,華南商業銀行,本國銀行,市佔率,8.42,MARKET_RATE
10104,彰化商業銀行,本國銀行,對中小企業,291515000000,LN_SME
10104,彰化商業銀行,本國銀行,佔放款%,28.25,LN_SME_RATE
10104,彰化商業銀行,本國銀行,市佔率,7.02,MARKET_RATE
10104,上海商業儲蓄銀行,本國銀行,對中小企業,125765000000,LN_SME
10104,上海商業儲蓄銀行,本國銀行,佔放款%,37.41,LN_SME_RATE
10104,上海商業儲蓄銀行,本國銀行,市佔率,3.03,MARKET_RATE
10104,台北富邦銀行,本國銀行,對中小企業,79662000000,LN_SME
10104,台北富邦銀行,本國銀行,佔放款%,8.89,LN_SME_RATE
10104,台北富邦銀行,本國銀行,市佔率,1.92,MARKET_RATE
10104,國泰世華商業銀行,本國銀行,對中小企業,112014000000,LN_SME
10104,國泰世華商業銀行,本國銀行,佔放款%,12.83,LN_SME_RATE
10104,國泰世華商業銀行,本國銀行,市佔率,2.7,MARKET_RATE
10104,中國輸出入銀行,本國銀行,對中小企業,5608000000,LN_SME
10104,中國輸出入銀行,本國銀行,佔放款%,11.31,LN_SME_RATE
10104,中國輸出入銀行,本國銀行,市佔率,0.14,MARKET_RATE
10104,高雄銀行,本國銀行,對中小企業,39811000000,LN_SME
10104,高雄銀行,本國銀行,佔放款%,25.83,LN_SME_RATE
10104,高雄銀行,本國銀行,市佔率,0.96,MARKET_RATE
10104,兆豐國際商業銀行,本國銀行,對中小企業,269206000000,LN_SME
10104,兆豐國際商業銀行,本國銀行,佔放款%,25.91,LN_SME_RATE
10104,兆豐國際商業銀行,本國銀行,市佔率,6.48,MARKET_RATE
10104,花旗,本國銀行,對中小企業,7091000000,LN_SME
10104,花旗,本國銀行,佔放款%,4.27,LN_SME_RATE
10104,花旗,本國銀行,市佔率,0.17,MARKET_RATE
10104,中華開發工業銀行,本國銀行,對中小企業,195000000,LN_SME
10104,中華開發工業銀行,本國銀行,佔放款%,0.32,LN_SME_RATE
10104,中華開發工業銀行,本國銀行,市佔率,0.0,MARKET_RATE
10104,臺灣工業銀行,本國銀行,對中小企業,3243000000,LN_SME
10104,臺灣工業銀行,本國銀行,佔放款%,5.34,LN_SME_RATE
10104,臺灣工業銀行,本國銀行,市佔率,0.08,MARKET_RATE
10104,匯豐,本國銀行,對中小企業,2769000000,LN_SME
10104,匯豐,本國銀行,佔放款%,1.98,LN_SME_RATE
10104,匯豐,本國銀行,市佔率,0.07,MARKET_RATE
10104,大台北商業銀行,本國銀行,對中小企業,3284000000,LN_SME
10104,大台北商業銀行,本國銀行,佔放款%,9.34,LN_SME_RATE
10104,大台北商業銀行,本國銀行,市佔率,0.08,MARKET_RATE
10104,華泰商業銀行,本國銀行,對中小企業,29163000000,LN_SME
10104,華泰商業銀行,本國銀行,佔放款%,32.5,LN_SME_RATE
10104,華泰商業銀行,本國銀行,市佔率,0.7,MARKET_RATE
10104,臺灣新光商業銀行,本國銀行,對中小企業,87126000000,LN_SME
10104,臺灣新光商業銀行,本國銀行,佔放款%,24.13,LN_SME_RATE
10104,臺灣新光商業銀行,本國銀行,市佔率,2.1,MARKET_RATE
10104,陽信商業銀行,本國銀行,對中小企業,41655000000,LN_SME
10104,陽信商業銀行,本國銀行,佔放款%,23.62,LN_SME_RATE
10104,陽信商業銀行,本國銀行,市佔率,1.0,MARKET_RATE
10104,板信商業銀行,本國銀行,對中小企業,21063000000,LN_SME
10104,板信商業銀行,本國銀行,佔放款%,20.66,LN_SME_RATE
10104,板信商業銀行,本國銀行,市佔率,0.51,MARKET_RATE
10104,三信商業銀行,本國銀行,對中小企業,14047000000,LN_SME
10104,三信商業銀行,本國銀行,佔放款%,16.11,LN_SME_RATE
10104,三信商業銀行,本國銀行,市佔率,0.34,MARKET_RATE
10104,聯邦商業銀行,本國銀行,對中小企業,28781000000,LN_SME
10104,聯邦商業銀行,本國銀行,佔放款%,14.73,LN_SME_RATE
10104,聯邦商業銀行,本國銀行,市佔率,0.69,MARKET_RATE
10104,遠東國際商業銀行,本國銀行,對中小企業,11195000000,LN_SME
10104,遠東國際商業銀行,本國銀行,佔放款%,4.42,LN_SME_RATE
10104,遠東國際商業銀行,本國銀行,市佔率,0.27,MARKET_RATE
10104,元大商業銀行,本國銀行,對中小企業,78632000000,LN_SME
10104,元大商業銀行,本國銀行,佔放款%,23.56,LN_SME_RATE
10104,元大商業銀行,本國銀行,市佔率,1.89,MARKET_RATE
10104,永豐商業銀行,本國銀行,對中小企業,92883000000,LN_SME
10104,永豐商業銀行,本國銀行,佔放款%,15.54,LN_SME_RATE
10104,永豐商業銀行,本國銀行,市佔率,2.24,MARKET_RATE
10104,玉山商業銀行,本國銀行,對中小企業,170101000000,LN_SME
10104,玉山商業銀行,本國銀行,佔放款%,27.99,LN_SME_RATE
10104,玉山商業銀行,本國銀行,市佔率,4.1,MARKET_RATE
10104,萬泰商業銀行,本國銀行,對中小企業,14249000000,LN_SME
10104,萬泰商業銀行,本國銀行,佔放款%,17.21,LN_SME_RATE
10104,萬泰商業銀行,本國銀行,市佔率,0.34,MARKET_RATE
10104,星展,本國銀行,對中小企業,21261000000,LN_SME
10104,星展,本國銀行,佔放款%,15.48,LN_SME_RATE
10104,星展,本國銀行,市佔率,0.51,MARKET_RATE
10104,台新國際商業銀行,本國銀行,對中小企業,57902000000,LN_SME
10104,台新國際商業銀行,本國銀行,佔放款%,10.41,LN_SME_RATE
10104,台新國際商業銀行,本國銀行,市佔率,1.39,MARKET_RATE
10104,大眾商業銀行,本國銀行,對中小企業,8106000000,LN_SME
10104,大眾商業銀行,本國銀行,佔放款%,3.42,LN_SME_RATE
10104,大眾商業銀行,本國銀行,市佔率,0.2,MARKET_RATE
10104,日盛國際商業銀行,本國銀行,對中小企業,14575000000,LN_SME
10104,日盛國際商業銀行,本國銀行,佔放款%,12.3,LN_SME_RATE
10104,日盛國際商業銀行,本國銀行,市佔率,0.35,MARKET_RATE
10104,安泰商業銀行,本國銀行,對中小企業,51134000000,LN_SME
10104,安泰商業銀行,本國銀行,佔放款%,27.42,LN_SME_RATE
10104,安泰商業銀行,本國銀行,市佔率,1.23,MARKET_RATE
10104,中國信託商業銀行,本國銀行,對中小企業,70978000000,LN_SME
10104,中國信託商業銀行,本國銀行,佔放款%,8.62,LN_SME_RATE
10104,中國信託商業銀行,本國銀行,市佔率,1.71,MARKET_RATE
10104,臺灣中小企業銀行,本國銀行,對中小企業,346750000000,LN_SME
10104,臺灣中小企業銀行,本國銀行,佔放款%,39.66,LN_SME_RATE
10104,臺灣中小企業銀行,本國銀行,市佔率,8.35,MARKET_RATE
10104,渣打國際商業銀行,本國銀行,對中小企業,21074000000,LN_SME
10104,渣打國際商業銀行,本國銀行,佔放款%,6.64,LN_SME_RATE
10104,渣打國際商業銀行,本國銀行,市佔率,0.51,MARKET_RATE
