年月,銀行,銀行類別,項目,數值
9611,總計,全體總和,對中小企業,3043324000000
9611,總計,全體總和,佔放款%,18.06
9611,總計,全體總和,市佔率,100.0
9611,中央信託局,本國銀行,對中小企業,0
9611,中央信託局,本國銀行,佔放款%,0.0
9611,中央信託局,本國銀行,市佔率,0.0
9611,臺灣銀行,本國銀行,對中小企業,181175000000
9611,臺灣銀行,本國銀行,佔放款%,10.42
9611,臺灣銀行,本國銀行,市佔率,5.95
9611,臺灣土地銀行,本國銀行,對中小企業,171297000000
9611,臺灣土地銀行,本國銀行,佔放款%,12.27
9611,臺灣土地銀行,本國銀行,市佔率,5.63
9611,合作金庫商業銀行,本國銀行,對中小企業,338876000000
9611,合作金庫商業銀行,本國銀行,佔放款%,19.85
9611,合作金庫商業銀行,本國銀行,市佔率,11.14
9611,第一商業銀行,本國銀行,對中小企業,317850000000
9611,第一商業銀行,本國銀行,佔放款%,34.97
9611,第一商業銀行,本國銀行,市佔率,10.44
9611,華南商業銀行,本國銀行,對中小企業,272558000000
9611,華南商業銀行,本國銀行,佔放款%,27.37
9611,華南商業銀行,本國銀行,市佔率,8.96
9611,彰化商業銀行,本國銀行,對中小企業,213936000000
9611,彰化商業銀行,本國銀行,佔放款%,25.76
9611,彰化商業銀行,本國銀行,市佔率,7.03
9611,華僑商業銀行,本國銀行,對中小企業,30043000000
9611,華僑商業銀行,本國銀行,佔放款%,22.52
9611,華僑商業銀行,本國銀行,市佔率,0.99
9611,上海商業儲蓄銀行,本國銀行,對中小企業,65119000000
9611,上海商業儲蓄銀行,本國銀行,佔放款%,27.4
9611,上海商業儲蓄銀行,本國銀行,市佔率,2.14
9611,台北富邦銀行,本國銀行,對中小企業,82541000000
9611,台北富邦銀行,本國銀行,佔放款%,13.74
9611,台北富邦銀行,本國銀行,市佔率,2.71
9611,國泰世華商業銀行,本國銀行,對中小企業,75683000000
9611,國泰世華商業銀行,本國銀行,佔放款%,10.93
9611,國泰世華商業銀行,本國銀行,市佔率,2.49
9611,中國輸出入銀行,本國銀行,對中小企業,4446000000
9611,中國輸出入銀行,本國銀行,佔放款%,16.5
9611,中國輸出入銀行,本國銀行,市佔率,0.15
9611,高雄銀行,本國銀行,對中小企業,20504000000
9611,高雄銀行,本國銀行,佔放款%,19.97
9611,高雄銀行,本國銀行,市佔率,0.67
9611,兆豐國際商業銀行,本國銀行,對中小企業,187262000000
9611,兆豐國際商業銀行,本國銀行,佔放款%,21.32
9611,兆豐國際商業銀行,本國銀行,市佔率,6.15
9611,中華開發工業銀行,本國銀行,對中小企業,3754000000
9611,中華開發工業銀行,本國銀行,佔放款%,5.07
9611,中華開發工業銀行,本國銀行,市佔率,0.12
9611,臺灣工業銀行,本國銀行,對中小企業,3657000000
9611,臺灣工業銀行,本國銀行,佔放款%,7.04
9611,臺灣工業銀行,本國銀行,市佔率,0.12
9611,稻江商業銀行,本國銀行,對中小企業,2087000000
9611,稻江商業銀行,本國銀行,佔放款%,8.13
9611,稻江商業銀行,本國銀行,市佔率,0.07
9611,華泰商業銀行,本國銀行,對中小企業,14026000000
9611,華泰商業銀行,本國銀行,佔放款%,16.55
9611,華泰商業銀行,本國銀行,市佔率,0.46
9611,臺灣新光商業銀行,本國銀行,對中小企業,24633000000
9611,臺灣新光商業銀行,本國銀行,佔放款%,9.43
9611,臺灣新光商業銀行,本國銀行,市佔率,0.81
9611,陽信商業銀行,本國銀行,對中小企業,25362000000
9611,陽信商業銀行,本國銀行,佔放款%,14.53
9611,陽信商業銀行,本國銀行,市佔率,0.83
9611,板信商業銀行,本國銀行,對中小企業,17059000000
9611,板信商業銀行,本國銀行,佔放款%,12.63
9611,板信商業銀行,本國銀行,市佔率,0.56
9611,三信商業銀行,本國銀行,對中小企業,8884000000
9611,三信商業銀行,本國銀行,佔放款%,11.09
9611,三信商業銀行,本國銀行,市佔率,0.29
9611,第七商業銀行,本國銀行,對中小企業,0
9611,第七商業銀行,本國銀行,佔放款%,0.0
9611,第七商業銀行,本國銀行,市佔率,0.0
9611,聯邦商業銀行,本國銀行,對中小企業,31758000000
9611,聯邦商業銀行,本國銀行,佔放款%,15.46
9611,聯邦商業銀行,本國銀行,市佔率,1.04
9611,中華商業銀行,本國銀行,對中小企業,11838000000
9611,中華商業銀行,本國銀行,佔放款%,16.1
9611,中華商業銀行,本國銀行,市佔率,0.39
9611,遠東國際商業銀行,本國銀行,對中小企業,11698000000
9611,遠東國際商業銀行,本國銀行,佔放款%,5.43
9611,遠東國際商業銀行,本國銀行,市佔率,0.38
9611,元大商業銀行,本國銀行,對中小企業,39257000000
9611,元大商業銀行,本國銀行,佔放款%,17.1
9611,元大商業銀行,本國銀行,市佔率,1.29
9611,永豐商業銀行,本國銀行,對中小企業,73343000000
9611,永豐商業銀行,本國銀行,佔放款%,13.66
9611,永豐商業銀行,本國銀行,市佔率,2.41
9611,玉山商業銀行,本國銀行,對中小企業,108571000000
9611,玉山商業銀行,本國銀行,佔放款%,22.73
9611,玉山商業銀行,本國銀行,市佔率,3.57
9611,萬泰商業銀行,本國銀行,對中小企業,29302000000
9611,萬泰商業銀行,本國銀行,佔放款%,24.21
9611,萬泰商業銀行,本國銀行,市佔率,0.96
9611,寶華商業銀行,本國銀行,對中小企業,16451000000
9611,寶華商業銀行,本國銀行,佔放款%,22.86
9611,寶華商業銀行,本國銀行,市佔率,0.54
9611,台新國際商業銀行,本國銀行,對中小企業,20588000000
9611,台新國際商業銀行,本國銀行,佔放款%,3.92
9611,台新國際商業銀行,本國銀行,市佔率,0.68
9611,大眾商業銀行,本國銀行,對中小企業,8883000000
9611,大眾商業銀行,本國銀行,佔放款%,4.41
9611,大眾商業銀行,本國銀行,市佔率,0.29
9611,日盛國際商業銀行,本國銀行,對中小企業,14605000000
9611,日盛國際商業銀行,本國銀行,佔放款%,8.89
9611,日盛國際商業銀行,本國銀行,市佔率,0.48
9611,安泰商業銀行,本國銀行,對中小企業,61506000000
9611,安泰商業銀行,本國銀行,佔放款%,31.64
9611,安泰商業銀行,本國銀行,市佔率,2.02
9611,中國信託商業銀行,本國銀行,對中小企業,61421000000
9611,中國信託商業銀行,本國銀行,佔放款%,8.66
9611,中國信託商業銀行,本國銀行,市佔率,2.02
9611,慶豐商業銀行,本國銀行,對中小企業,11573000000
9611,慶豐商業銀行,本國銀行,佔放款%,21.1
9611,慶豐商業銀行,本國銀行,市佔率,0.38
9611,臺灣中小企業銀行,本國銀行,對中小企業,266784000000
9611,臺灣中小企業銀行,本國銀行,佔放款%,34.45
9611,臺灣中小企業銀行,本國銀行,市佔率,8.77
9611,臺北國際商業銀行,本國銀行,對中小企業,0
9611,臺北國際商業銀行,本國銀行,佔放款%,0.0
9611,臺北國際商業銀行,本國銀行,市佔率,0.0
9611,渣打國際商業銀行,本國銀行,對中小企業,31655000000
9611,渣打國際商業銀行,本國銀行,佔放款%,10.94
9611,渣打國際商業銀行,本國銀行,市佔率,1.04
9611,台中商業銀行,本國銀行,對中小企業,65449000000
9611,台中商業銀行,本國銀行,佔放款%,33.7
9611,台中商業銀行,本國銀行,市佔率,2.15
9611,京城商業銀行,本國銀行,對中小企業,80542000000
9611,京城商業銀行,本國銀行,佔放款%,61.07
9611,京城商業銀行,本國銀行,市佔率,2.65
9611,花蓮區中小企業銀行,本國銀行,對中小企業,0
9611,花蓮區中小企業銀行,本國銀行,佔放款%,0.0
9611,花蓮區中小企業銀行,本國銀行,市佔率,0.0
9611,臺東區中小企業銀行,本國銀行,對中小企業,0
9611,臺東區中小企業銀行,本國銀行,佔放款%,0.0
9611,臺東區中小企業銀行,本國銀行,市佔率,0.0
9611,外國銀行在台分行,本國銀行,對中小企業,37346000000
9611,外國銀行在台分行,本國銀行,佔放款%,6.92
9611,外國銀行在台分行,本國銀行,市佔率,1.23
