年月,銀行,銀行類別,項目,數值,英文項目
10212,總計,全體本國銀行機構,活儲月平均餘額,30767602000000,MD_AUM
10212,臺灣銀行,本國銀行,活儲月平均餘額,3434097000000,MD_AUM
10212,臺灣土地銀行,本國銀行,活儲月平均餘額,1965839000000,MD_AUM
10212,合作金庫商業銀行,本國銀行,活儲月平均餘額,2323963000000,MD_AUM
10212,第一商業銀行,本國銀行,活儲月平均餘額,1703692000000,MD_AUM
10212,華南商業銀行,本國銀行,活儲月平均餘額,1729278000000,MD_AUM
10212,彰化商業銀行,本國銀行,活儲月平均餘額,1362807000000,MD_AUM
10212,上海商業儲蓄銀行,本國銀行,活儲月平均餘額,743631000000,MD_AUM
10212,台北富邦銀行,本國銀行,活儲月平均餘額,1350881000000,MD_AUM
10212,國泰世華商業銀行,本國銀行,活儲月平均餘額,1582181000000,MD_AUM
10212,中國輸出入銀行,本國銀行,活儲月平均餘額,0,MD_AUM
10212,高雄銀行,本國銀行,活儲月平均餘額,198308000000,MD_AUM
10212,兆豐國際商業銀行,本國銀行,活儲月平均餘額,1895531000000,MD_AUM
10212,花旗,本國銀行,活儲月平均餘額,544461000000,MD_AUM
10212,澳盛,本國銀行,活儲月平均餘額,140472000000,MD_AUM
10212,中華開發工業銀行,本國銀行,活儲月平均餘額,134761000000,MD_AUM
10212,臺灣工業銀行,本國銀行,活儲月平均餘額,102362000000,MD_AUM
10212,匯豐,本國銀行,活儲月平均餘額,379169000000,MD_AUM
10212,瑞興商業銀行,本國銀行,活儲月平均餘額,52491000000,MD_AUM
10212,華泰商業銀行,本國銀行,活儲月平均餘額,105023000000,MD_AUM
10212,臺灣新光商業銀行,本國銀行,活儲月平均餘額,607255000000,MD_AUM
10212,陽信商業銀行,本國銀行,活儲月平均餘額,252644000000,MD_AUM
10212,板信商業銀行,本國銀行,活儲月平均餘額,145821000000,MD_AUM
10212,三信商業銀行,本國銀行,活儲月平均餘額,119789000000,MD_AUM
10212,聯邦商業銀行,本國銀行,活儲月平均餘額,362366000000,MD_AUM
10212,遠東國際商業銀行,本國銀行,活儲月平均餘額,381702000000,MD_AUM
10212,元大商業銀行,本國銀行,活儲月平均餘額,495138000000,MD_AUM
10212,永豐商業銀行,本國銀行,活儲月平均餘額,1066215000000,MD_AUM
10212,玉山商業銀行,本國銀行,活儲月平均餘額,1132885000000,MD_AUM
10212,萬泰商業銀行,本國銀行,活儲月平均餘額,143673000000,MD_AUM
10212,星展,本國銀行,活儲月平均餘額,211872000000,MD_AUM
10212,台新國際商業銀行,本國銀行,活儲月平均餘額,874329000000,MD_AUM
10212,大眾商業銀行,本國銀行,活儲月平均餘額,334942000000,MD_AUM
10212,日盛國際商業銀行,本國銀行,活儲月平均餘額,169392000000,MD_AUM
10212,安泰商業銀行,本國銀行,活儲月平均餘額,279502000000,MD_AUM
10212,中國信託商業銀行,本國銀行,活儲月平均餘額,1672402000000,MD_AUM
10212,臺灣中小企業銀行,本國銀行,活儲月平均餘額,1086381000000,MD_AUM
10212,渣打國際商業銀行,本國銀行,活儲月平均餘額,563047000000,MD_AUM
10212,台中商業銀行,本國銀行,活儲月平均餘額,425975000000,MD_AUM
10212,京城商業銀行,本國銀行,活儲月平均餘額,145959000000,MD_AUM
10212,小計,外國銀行在台分行,活儲月平均餘額,445622000000,MD_AUM
10212,小計,大陸地區銀行在臺分行,活儲月平均餘額,101745000000,MD_AUM
