年月,銀行,銀行類別,項目,數值
9501,總計,全體本國銀行機構,活儲月平均餘額,19923726000000
9501,中央信託局,本國銀行,活儲月平均餘額,166350000000
9501,中國農民銀行,本國銀行,活儲月平均餘額,456258000000
9501,交通銀行,本國銀行,活儲月平均餘額,247089000000
9501,臺灣銀行,本國銀行,活儲月平均餘額,2046440000000
9501,臺灣土地銀行,本國銀行,活儲月平均餘額,1032048000000
9501,合作金庫銀行,本國銀行,活儲月平均餘額,1516627000000
9501,第一商業銀行,本國銀行,活儲月平均餘額,1130023000000
9501,華南商業銀行,本國銀行,活儲月平均餘額,1230115000000
9501,彰化商業銀行,本國銀行,活儲月平均餘額,987773000000
9501,華僑商業銀行,本國銀行,活儲月平均餘額,217200000000
9501,上海商業儲蓄銀行,本國銀行,活儲月平均餘額,327349000000
9501,台北富邦銀行,本國銀行,活儲月平均餘額,735154000000
9501,國泰世華商業銀行,本國銀行,活儲月平均餘額,804744000000
9501,中國輸出入銀行,本國銀行,活儲月平均餘額,0
9501,高雄銀行,本國銀行,活儲月平均餘額,116063000000
9501,中國國際商業銀行,本國銀行,活儲月平均餘額,788775000000
9501,中華開發工業銀行,本國銀行,活儲月平均餘額,11389000000
9501,臺灣工業銀行,本國銀行,活儲月平均餘額,47498000000
9501,華泰商業銀行,本國銀行,活儲月平均餘額,73300000000
9501,臺灣新光商業銀行,本國銀行,活儲月平均餘額,283157000000
9501,陽信商業銀行,本國銀行,活儲月平均餘額,202455000000
9501,板信商業銀行,本國銀行,活儲月平均餘額,145801000000
9501,三信商業銀行,本國銀行,活儲月平均餘額,88682000000
9501,臺灣新光商業銀行,本國銀行,活儲月平均餘額,0
9501,第七商業銀行,本國銀行,活儲月平均餘額,0
9501,高新商業銀行,本國銀行,活儲月平均餘額,0
9501,聯邦商業銀行,本國銀行,活儲月平均餘額,251352000000
9501,中華商業銀行,本國銀行,活儲月平均餘額,154539000000
9501,遠東國際商業銀行,本國銀行,活儲月平均餘額,210270000000
9501,復華商業銀行,本國銀行,活儲月平均餘額,238480000000
9501,建華商業銀行,本國銀行,活儲月平均餘額,391137000000
9501,玉山商業銀行,本國銀行,活儲月平均餘額,422900000000
9501,萬泰商業銀行,本國銀行,活儲月平均餘額,201078000000
9501,寶華商業銀行,本國銀行,活儲月平均餘額,161648000000
9501,中興商業銀行,本國銀行,活儲月平均餘額,0
9501,台新國際商業銀行,本國銀行,活儲月平均餘額,628385000000
9501,大眾商業銀行,本國銀行,活儲月平均餘額,242499000000
9501,日盛國際商業銀行,本國銀行,活儲月平均餘額,213205000000
9501,安泰商業銀行,本國銀行,活儲月平均餘額,234354000000
9501,中國信託商業銀行,本國銀行,活儲月平均餘額,1140031000000
9501,慶豐商業銀行,本國銀行,活儲月平均餘額,109606000000
9501,臺灣中小企業銀行,本國銀行,活儲月平均餘額,743041000000
9501,臺北國際商業銀行,本國銀行,活儲月平均餘額,324862000000
9501,新竹國際商業銀行,本國銀行,活儲月平均餘額,317270000000
9501,臺中商業銀行,本國銀行,活儲月平均餘額,234102000000
9501,臺南區中小企業銀行,本國銀行,活儲月平均餘額,-10000000
9501,花蓮區中小企業銀行,本國銀行,活儲月平均餘額,0
9501,臺東區中小企業銀行,本國銀行,活儲月平均餘額,55836000000
9501,外國銀行在台分行,本國銀行,活儲月平均餘額,994851000000
