年月,銀行,項目,數值
10005,總計,國內銀行,活期存款,9737713000000
10005,總計,國內銀行,定期存款,11909225000000
10005,總計,國內銀行,外匯存款,3846574000000
10005,總計,國內銀行,公股存款與其他,534533000000
10005,臺灣銀行,國內銀行,活期存款,774806000000
10005,臺灣銀行,國內銀行,定期存款,1792410000000
10005,臺灣銀行,國內銀行,外匯總存款,321205000000
10005,臺灣銀行,國內銀行,公股存款與其他,211680000000
10005,臺灣土地銀行,國內銀行,活期存款,488637000000
10005,臺灣土地銀行,國內銀行,定期存款,1137023000000
10005,臺灣土地銀行,國內銀行,外匯總存款,76676000000
10005,臺灣土地銀行,國內銀行,公股存款與其他,158191000000
10005,合作金庫商業銀行,國內銀行,活期存款,866559000000
10005,合作金庫商業銀行,國內銀行,定期存款,1036976000000
10005,合作金庫商業銀行,國內銀行,外匯總存款,174370000000
10005,合作金庫商業銀行,國內銀行,公股存款與其他,67540000000
10005,第一商業銀行,國內銀行,活期存款,740662000000
10005,第一商業銀行,國內銀行,定期存款,518629000000
10005,第一商業銀行,國內銀行,外匯總存款,279255000000
10005,第一商業銀行,國內銀行,公股存款與其他,12761000000
10005,華南商業銀行,國內銀行,活期存款,799331000000
10005,華南商業銀行,國內銀行,定期存款,494666000000
10005,華南商業銀行,國內銀行,外匯總存款,241302000000
10005,華南商業銀行,國內銀行,公股存款與其他,6479000000
10005,彰化商業銀行,國內銀行,活期存款,589485000000
10005,彰化商業銀行,國內銀行,定期存款,462720000000
10005,彰化商業銀行,國內銀行,外匯總存款,182309000000
10005,彰化商業銀行,國內銀行,公股存款與其他,2420000000
10005,上海商業儲蓄銀行,國內銀行,活期存款,160507000000
10005,上海商業儲蓄銀行,國內銀行,定期存款,227112000000
10005,上海商業儲蓄銀行,國內銀行,外匯總存款,157993000000
10005,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10005,台北富邦銀行,國內銀行,活期存款,463531000000
10005,台北富邦銀行,國內銀行,定期存款,493997000000
10005,台北富邦銀行,國內銀行,外匯總存款,161742000000
10005,台北富邦銀行,國內銀行,公股存款與其他,24378000000
10005,國泰世華商業銀行,國內銀行,活期存款,709565000000
10005,國泰世華商業銀行,國內銀行,定期存款,515943000000
10005,國泰世華商業銀行,國內銀行,外匯總存款,155647000000
10005,國泰世華商業銀行,國內銀行,公股存款與其他,0
10005,中國輸出入銀行,國內銀行,活期存款,0
10005,中國輸出入銀行,國內銀行,定期存款,0
10005,中國輸出入銀行,國內銀行,外匯總存款,0
10005,中國輸出入銀行,國內銀行,公股存款與其他,0
10005,高雄銀行,國內銀行,活期存款,56796000000
10005,高雄銀行,國內銀行,定期存款,107099000000
10005,高雄銀行,國內銀行,外匯總存款,7648000000
10005,高雄銀行,國內銀行,公股存款與其他,11904000000
10005,兆豐國際商業銀行,國內銀行,活期存款,469315000000
10005,兆豐國際商業銀行,國內銀行,定期存款,464198000000
10005,兆豐國際商業銀行,國內銀行,外匯總存款,531838000000
10005,兆豐國際商業銀行,國內銀行,公股存款與其他,4288000000
10005,花旗,國內銀行,活期存款,167615000000
10005,花旗,國內銀行,定期存款,83041000000
10005,花旗,國內銀行,外匯總存款,285146000000
10005,花旗,國內銀行,公股存款與其他,0
10005,中華開發工業銀行,國內銀行,活期存款,3385000000
10005,中華開發工業銀行,國內銀行,定期存款,28235000000
10005,中華開發工業銀行,國內銀行,外匯總存款,24748000000
10005,中華開發工業銀行,國內銀行,公股存款與其他,0
10005,臺灣工業銀行,國內銀行,活期存款,1945000000
10005,臺灣工業銀行,國內銀行,定期存款,60604000000
10005,臺灣工業銀行,國內銀行,外匯總存款,14309000000
10005,臺灣工業銀行,國內銀行,公股存款與其他,0
10005,匯豐,國內銀行,活期存款,165148000000
10005,匯豐,國內銀行,定期存款,79666000000
10005,匯豐,國內銀行,外匯總存款,107561000000
10005,匯豐,國內銀行,公股存款與其他,0
10005,大台北商業銀行,國內銀行,活期存款,14455000000
10005,大台北商業銀行,國內銀行,定期存款,27563000000
10005,大台北商業銀行,國內銀行,外匯總存款,312000000
10005,大台北商業銀行,國內銀行,公股存款與其他,0
10005,華泰商業銀行,國內銀行,活期存款,33015000000
10005,華泰商業銀行,國內銀行,定期存款,70984000000
10005,華泰商業銀行,國內銀行,外匯總存款,2743000000
10005,華泰商業銀行,國內銀行,公股存款與其他,0
10005,臺灣新光商業銀行,國內銀行,活期存款,157710000000
10005,臺灣新光商業銀行,國內銀行,定期存款,225742000000
10005,臺灣新光商業銀行,國內銀行,外匯總存款,36363000000
10005,臺灣新光商業銀行,國內銀行,公股存款與其他,72000000
10005,陽信商業銀行,國內銀行,活期存款,76343000000
10005,陽信商業銀行,國內銀行,定期存款,126401000000
10005,陽信商業銀行,國內銀行,外匯總存款,6708000000
10005,陽信商業銀行,國內銀行,公股存款與其他,226000000
10005,板信商業銀行,國內銀行,活期存款,49468000000
10005,板信商業銀行,國內銀行,定期存款,84628000000
10005,板信商業銀行,國內銀行,外匯總存款,6717000000
10005,板信商業銀行,國內銀行,公股存款與其他,0
10005,三信商業銀行,國內銀行,活期存款,40674000000
10005,三信商業銀行,國內銀行,定期存款,66718000000
10005,三信商業銀行,國內銀行,外匯總存款,1469000000
10005,三信商業銀行,國內銀行,公股存款與其他,0
10005,聯邦商業銀行,國內銀行,活期存款,119252000000
10005,聯邦商業銀行,國內銀行,定期存款,151271000000
10005,聯邦商業銀行,國內銀行,外匯總存款,27435000000
10005,聯邦商業銀行,國內銀行,公股存款與其他,0
10005,遠東國際商業銀行,國內銀行,活期存款,67544000000
10005,遠東國際商業銀行,國內銀行,定期存款,228184000000
10005,遠東國際商業銀行,國內銀行,外匯總存款,39149000000
10005,遠東國際商業銀行,國內銀行,公股存款與其他,0
10005,元大商業銀行,國內銀行,活期存款,188851000000
10005,元大商業銀行,國內銀行,定期存款,163758000000
10005,元大商業銀行,國內銀行,外匯總存款,44645000000
10005,元大商業銀行,國內銀行,公股存款與其他,0
10005,永豐商業銀行,國內銀行,活期存款,314702000000
10005,永豐商業銀行,國內銀行,定期存款,463824000000
10005,永豐商業銀行,國內銀行,外匯總存款,138160000000
