年月,銀行,銀行類別,項目,數值
None,總,國內銀行,活期存款,6433197000000
None,總,國內銀行,定期存款,10505110000000
None,總,國內銀行,外匯總存款,2382557000000
None,總,國內銀行,公股存款與其他,560304000000
None,中央信託局,國內銀行,活期存款,67916000000
None,中央信託局,國內銀行,定期存款,92534000000
None,中央信託局,國內銀行,外匯總存款,16991000000
None,中央信託局,國內銀行,公股存款與其他,0
None,臺灣銀行,國內銀行,活期存款,414430000000
None,臺灣銀行,國內銀行,定期存款,1297147000000
None,臺灣銀行,國內銀行,外匯總存款,161922000000
None,臺灣銀行,國內銀行,公股存款與其他,245542000000
None,臺灣土地銀行,國內銀行,活期存款,308827000000
None,臺灣土地銀行,國內銀行,定期存款,939725000000
None,臺灣土地銀行,國內銀行,外匯總存款,54349000000
None,臺灣土地銀行,國內銀行,公股存款與其他,137596000000
None,合作金庫商業銀行,國內銀行,活期存款,564262000000
None,合作金庫商業銀行,國內銀行,定期存款,1066147000000
None,合作金庫商業銀行,國內銀行,外匯總存款,113739000000
None,合作金庫商業銀行,國內銀行,公股存款與其他,67485000000
None,第一商業銀行,國內銀行,活期存款,512454000000
None,第一商業銀行,國內銀行,定期存款,472496000000
None,第一商業銀行,國內銀行,外匯總存款,166732000000
None,第一商業銀行,國內銀行,公股存款與其他,18723000000
None,華南商業銀行,國內銀行,活期存款,573946000000
None,華南商業銀行,國內銀行,定期存款,476754000000
None,華南商業銀行,國內銀行,外匯總存款,188128000000
None,華南商業銀行,國內銀行,公股存款與其他,5708000000
None,彰化商業銀行,國內銀行,活期存款,453645000000
None,彰化商業銀行,國內銀行,定期存款,420224000000
None,彰化商業銀行,國內銀行,外匯總存款,132922000000
None,彰化商業銀行,國內銀行,公股存款與其他,2856000000
None,華僑商業銀行,國內銀行,活期存款,71577000000
None,華僑商業銀行,國內銀行,定期存款,108700000000
None,華僑商業銀行,國內銀行,外匯總存款,50101000000
None,華僑商業銀行,國內銀行,公股存款與其他,0
None,上海商業儲蓄銀行,國內銀行,活期存款,110813000000
None,上海商業儲蓄銀行,國內銀行,定期存款,122956000000
None,上海商業儲蓄銀行,國內銀行,外匯總存款,106753000000
None,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
None,台北富邦銀行,國內銀行,活期存款,309895000000
None,台北富邦銀行,國內銀行,定期存款,339985000000
None,台北富邦銀行,國內銀行,外匯總存款,85918000000
None,台北富邦銀行,國內銀行,公股存款與其他,33989000000
None,國泰世華商業銀行,國內銀行,活期存款,407093000000
None,國泰世華商業銀行,國內銀行,定期存款,389158000000
