年月,銀行,銀行類別,項目,數值,英文項目
9608,總計,國內銀行,活期存款,6881631000000,MD
9608,總計,國內銀行,定期存款,10256569000000,FD
9608,總計,國內銀行,外匯存款,2762818000000,DP_Y
9608,總計,國內銀行,公股存款與其他,516651000000,DP_OTHER
9608,臺灣銀行,國內銀行,活期存款,543741000000,MD
9608,臺灣銀行,國內銀行,定期存款,1436643000000,FD
9608,臺灣銀行,國內銀行,外匯總存款,236851000000,DP_Y
9608,臺灣銀行,國內銀行,公股存款與其他,218624000000,DP_OTHER
9608,臺灣土地銀行,國內銀行,活期存款,322335000000,MD
9608,臺灣土地銀行,國內銀行,定期存款,952890000000,FD
9608,臺灣土地銀行,國內銀行,外匯總存款,57525000000,DP_Y
9608,臺灣土地銀行,國內銀行,公股存款與其他,133872000000,DP_OTHER
9608,合作金庫商業銀行,國內銀行,活期存款,591913000000,MD
9608,合作金庫商業銀行,國內銀行,定期存款,1059182000000,FD
9608,合作金庫商業銀行,國內銀行,外匯總存款,106006000000,DP_Y
9608,合作金庫商業銀行,國內銀行,公股存款與其他,55130000000,DP_OTHER
9608,第一商業銀行,國內銀行,活期存款,559360000000,MD
9608,第一商業銀行,國內銀行,定期存款,483492000000,FD
9608,第一商業銀行,國內銀行,外匯總存款,181497000000,DP_Y
9608,第一商業銀行,國內銀行,公股存款與其他,16694000000,DP_OTHER
9608,華南商業銀行,國內銀行,活期存款,609366000000,MD
9608,華南商業銀行,國內銀行,定期存款,473728000000,FD
9608,華南商業銀行,國內銀行,外匯總存款,206209000000,DP_Y
9608,華南商業銀行,國內銀行,公股存款與其他,5420000000,DP_OTHER
9608,彰化商業銀行,國內銀行,活期存款,466568000000,MD
9608,彰化商業銀行,國內銀行,定期存款,410317000000,FD
9608,彰化商業銀行,國內銀行,外匯總存款,138833000000,DP_Y
9608,彰化商業銀行,國內銀行,公股存款與其他,1823000000,DP_OTHER
9608,華僑商業銀行,國內銀行,活期存款,71702000000,MD
9608,華僑商業銀行,國內銀行,定期存款,96763000000,FD
9608,華僑商業銀行,國內銀行,外匯總存款,49544000000,DP_Y
