年月,銀行,銀行類別,項目,數值,英文欄位
10001,總計,全體總和,餘額,229416000000,NC_Bal
10001,總計,全體總和,本行,4285233000000,NC_M
10001,總計,全體總和,他行,4132000000,NC_O
10001,臺灣銀行,本國銀行,餘額,853000000,NC_Bal
10001,臺灣銀行,本國銀行,本行,573407000000,NC_M
10001,臺灣銀行,本國銀行,他行,0,NC_O
10001,臺灣土地銀行,本國銀行,餘額,3912000000,NC_Bal
10001,臺灣土地銀行,本國銀行,本行,147968000000,NC_M
10001,臺灣土地銀行,本國銀行,他行,66000000,NC_O
10001,合作金庫商業銀行,本國銀行,餘額,3249000000,NC_Bal
10001,合作金庫商業銀行,本國銀行,本行,403800000000,NC_M
10001,合作金庫商業銀行,本國銀行,他行,0,NC_O
10001,第一商業銀行,本國銀行,餘額,11430000000,NC_Bal
10001,第一商業銀行,本國銀行,本行,287000000,NC_M
10001,第一商業銀行,本國銀行,他行,450000000,NC_O
10001,華南商業銀行,本國銀行,餘額,4778000000,NC_Bal
10001,華南商業銀行,本國銀行,本行,245983000000,NC_M
10001,華南商業銀行,本國銀行,他行,2000000,NC_O
10001,彰化商業銀行,本國銀行,餘額,7254000000,NC_Bal
10001,彰化商業銀行,本國銀行,本行,159299000000,NC_M
10001,彰化商業銀行,本國銀行,他行,79000000,NC_O
10001,上海商業儲蓄銀行,本國銀行,餘額,1152000000,NC_Bal
10001,上海商業儲蓄銀行,本國銀行,本行,125938000000,NC_M
10001,上海商業儲蓄銀行,本國銀行,他行,12000000,NC_O
10001,台北富邦銀行,本國銀行,餘額,2818000000,NC_Bal
10001,台北富邦銀行,本國銀行,本行,291397000000,NC_M
10001,台北富邦銀行,本國銀行,他行,64000000,NC_O
10001,國泰世華商業銀行,本國銀行,餘額,1209000000,NC_Bal
10001,國泰世華商業銀行,本國銀行,本行,353452000000,NC_M
10001,國泰世華商業銀行,本國銀行,他行,3000000,NC_O
10001,中國輸出入銀行,本國銀行,餘額,0,NC_Bal
10001,中國輸出入銀行,本國銀行,本行,2600000000,NC_M
10001,中國輸出入銀行,本國銀行,他行,0,NC_O
10001,高雄銀行,本國銀行,餘額,6149000000,NC_Bal
10001,高雄銀行,本國銀行,本行,500000000,NC_M
10001,高雄銀行,本國銀行,他行,0,NC_O
10001,兆豐國際商業銀行,本國銀行,餘額,1805000000,NC_Bal
10001,兆豐國際商業銀行,本國銀行,本行,191226000000,NC_M
10001,兆豐國際商業銀行,本國銀行,他行,583000000,NC_O
10001,花旗,本國銀行,餘額,461000000,NC_Bal
10001,花旗,本國銀行,本行,114193000000,NC_M
10001,花旗,本國銀行,他行,0,NC_O
10001,中華開發工業銀行,本國銀行,餘額,0,NC_Bal
10001,中華開發工業銀行,本國銀行,本行,0,NC_M
10001,中華開發工業銀行,本國銀行,他行,0,NC_O
10001,臺灣工業銀行,本國銀行,餘額,0,NC_Bal
10001,臺灣工業銀行,本國銀行,本行,7646000000,NC_M
10001,臺灣工業銀行,本國銀行,他行,0,NC_O
10001,匯豐,本國銀行,餘額,155000000,NC_Bal
10001,匯豐,本國銀行,本行,101419000000,NC_M
10001,匯豐,本國銀行,他行,0,NC_O
10001,大台北商業銀行,本國銀行,餘額,0,NC_Bal
10001,大台北商業銀行,本國銀行,本行,0,NC_M
10001,大台北商業銀行,本國銀行,他行,0,NC_O
10001,華泰商業銀行,本國銀行,餘額,1426000000,NC_Bal
10001,華泰商業銀行,本國銀行,本行,0,NC_M
10001,華泰商業銀行,本國銀行,他行,0,NC_O
10001,臺灣新光商業銀行,本國銀行,餘額,645000000,NC_Bal
10001,臺灣新光商業銀行,本國銀行,本行,0,NC_M
10001,臺灣新光商業銀行,本國銀行,他行,0,NC_O
10001,陽信商業銀行,本國銀行,餘額,806000000,NC_Bal
10001,陽信商業銀行,本國銀行,本行,0,NC_M
10001,陽信商業銀行,本國銀行,他行,15000000,NC_O
10001,板信商業銀行,本國銀行,餘額,3239000000,NC_Bal
10001,板信商業銀行,本國銀行,本行,0,NC_M
10001,板信商業銀行,本國銀行,他行,0,NC_O
10001,三信商業銀行,本國銀行,餘額,388000000,NC_Bal
10001,三信商業銀行,本國銀行,本行,0,NC_M
10001,三信商業銀行,本國銀行,他行,0,NC_O
10001,聯邦商業銀行,本國銀行,餘額,722000000,NC_Bal
10001,聯邦商業銀行,本國銀行,本行,0,NC_M
10001,聯邦商業銀行,本國銀行,他行,0,NC_O
10001,遠東國際商業銀行,本國銀行,餘額,17637000000,NC_Bal
10001,遠東國際商業銀行,本國銀行,本行,0,NC_M
10001,遠東國際商業銀行,本國銀行,他行,145000000,NC_O
10001,元大商業銀行,本國銀行,餘額,21935000000,NC_Bal
10001,元大商業銀行,本國銀行,本行,0,NC_M
10001,元大商業銀行,本國銀行,他行,0,NC_O
10001,永豐商業銀行,本國銀行,餘額,23503000000,NC_Bal
10001,永豐商業銀行,本國銀行,本行,211566000000,NC_M
10001,永豐商業銀行,本國銀行,他行,147000000,NC_O
10001,玉山商業銀行,本國銀行,餘額,23260000000,NC_Bal
10001,玉山商業銀行,本國銀行,本行,246970000000,NC_M
10001,玉山商業銀行,本國銀行,他行,0,NC_O
10001,萬泰商業銀行,本國銀行,餘額,9000000,NC_Bal
10001,萬泰商業銀行,本國銀行,本行,9150000000,NC_M
10001,萬泰商業銀行,本國銀行,他行,0,NC_O
10001,台新國際商業銀行,本國銀行,餘額,6952000000,NC_Bal
10001,台新國際商業銀行,本國銀行,本行,136717000000,NC_M
10001,台新國際商業銀行,本國銀行,他行,2115000000,NC_O
10001,大眾商業銀行,本國銀行,餘額,10931000000,NC_Bal
10001,大眾商業銀行,本國銀行,本行,80708000000,NC_M
10001,大眾商業銀行,本國銀行,他行,0,NC_O
10001,日盛國際商業銀行,本國銀行,餘額,5074000000,NC_Bal
10001,日盛國際商業銀行,本國銀行,本行,0,NC_M
10001,日盛國際商業銀行,本國銀行,他行,0,NC_O
10001,安泰商業銀行,本國銀行,餘額,11352000000,NC_Bal
10001,安泰商業銀行,本國銀行,本行,0,NC_M
10001,安泰商業銀行,本國銀行,他行,0,NC_O
10001,中國信託商業銀行,本國銀行,餘額,1432000000,NC_Bal
10001,中國信託商業銀行,本國銀行,本行,300260000000,NC_M
10001,中國信託商業銀行,本國銀行,他行,391000000,NC_O
10001,慶豐商業銀行,本國銀行,餘額,0,NC_Bal
10001,慶豐商業銀行,本國銀行,本行,0,NC_M
10001,慶豐商業銀行,本國銀行,他行,0,NC_O
10001,臺灣中小企業銀行,本國銀行,餘額,24456000000,NC_Bal
10001,臺灣中小企業銀行,本國銀行,本行,121900000000,NC_M
10001,臺灣中小企業銀行,本國銀行,他行,61000000,NC_O
10001,渣打國際商業銀行,本國銀行,餘額,8086000000,NC_Bal
10001,渣打國際商業銀行,本國銀行,本行,161304000000,NC_M
10001,渣打國際商業銀行,本國銀行,他行,0,NC_O
10001,台中商業銀行,本國銀行,餘額,15717000000,NC_Bal
10001,台中商業銀行,本國銀行,本行,0,NC_M
10001,台中商業銀行,本國銀行,他行,0,NC_O
10001,京城商業銀行,本國銀行,餘額,127000000,NC_Bal
10001,京城商業銀行,本國銀行,本行,0,NC_M
10001,京城商業銀行,本國銀行,他行,0,NC_O
10001,小計,外國銀行在台分行,餘額,6496000000,NC_Bal
10001,小計,外國銀行在台分行,本行,297541000000,NC_M
10001,小計,外國銀行在台分行,他行,0,NC_O
