年月,銀行,銀行類別,項目,數值
9503,總計,全體總和,餘額,124169000000
9503,總計,全體總和,本行,418752000000
9503,總計,全體總和,他行,1538748000000
9503,中央信託局,本國銀行,餘額,0
9503,中央信託局,本國銀行,本行,120000000
9503,中央信託局,本國銀行,他行,15250000000
9503,中國農民銀行,本國銀行,餘額,2965000000
9503,中國農民銀行,本國銀行,本行,2965000000
9503,中國農民銀行,本國銀行,他行,0
9503,交通銀行,本國銀行,餘額,159000000
9503,交通銀行,本國銀行,本行,19072000000
9503,交通銀行,本國銀行,他行,22600000000
9503,臺灣銀行,本國銀行,餘額,210000000
9503,臺灣銀行,本國銀行,本行,6744000000
9503,臺灣銀行,本國銀行,他行,70494000000
9503,臺灣土地銀行,本國銀行,餘額,767000000
9503,臺灣土地銀行,本國銀行,本行,5651000000
9503,臺灣土地銀行,本國銀行,他行,122135000000
9503,合作金庫銀行,本國銀行,餘額,287000000
9503,合作金庫銀行,本國銀行,本行,1849000000
9503,合作金庫銀行,本國銀行,他行,0
9503,第一商業銀行,本國銀行,餘額,1543000000
9503,第一商業銀行,本國銀行,本行,10305000000
9503,第一商業銀行,本國銀行,他行,0
9503,華南商業銀行,本國銀行,餘額,1237000000
9503,華南商業銀行,本國銀行,本行,6836000000
9503,華南商業銀行,本國銀行,他行,118870000000
9503,彰化商業銀行,本國銀行,餘額,2325000000
9503,彰化商業銀行,本國銀行,本行,7372000000
9503,彰化商業銀行,本國銀行,他行,297000000
9503,華僑商業銀行,本國銀行,餘額,458000000
9503,華僑商業銀行,本國銀行,本行,3334000000
9503,華僑商業銀行,本國銀行,他行,0
9503,上海商業儲蓄銀行,本國銀行,餘額,937000000
9503,上海商業儲蓄銀行,本國銀行,本行,2869000000
9503,上海商業儲蓄銀行,本國銀行,他行,17900000000
9503,台北富邦銀行,本國銀行,餘額,55000000
9503,台北富邦銀行,本國銀行,本行,1185000000
9503,台北富邦銀行,本國銀行,他行,132541000000
9503,國泰世華商業銀行,本國銀行,餘額,1588000000
9503,國泰世華商業銀行,本國銀行,本行,21105000000
9503,國泰世華商業銀行,本國銀行,他行,157365000000
9503,中國輸出入銀行,本國銀行,餘額,0
9503,中國輸出入銀行,本國銀行,本行,0
9503,中國輸出入銀行,本國銀行,他行,6319000000
9503,高雄銀行,本國銀行,餘額,68000000
9503,高雄銀行,本國銀行,本行,565000000
9503,高雄銀行,本國銀行,他行,6900000000
9503,中國國際商業銀行,本國銀行,餘額,189000000
9503,中國國際商業銀行,本國銀行,本行,1130000000
9503,中國國際商業銀行,本國銀行,他行,174843000000
9503,中華開發工業銀行,本國銀行,餘額,0
9503,中華開發工業銀行,本國銀行,本行,0
9503,中華開發工業銀行,本國銀行,他行,0
9503,臺灣工業銀行,本國銀行,餘額,0
9503,臺灣工業銀行,本國銀行,本行,0
9503,臺灣工業銀行,本國銀行,他行,0
9503,華泰商業銀行,本國銀行,餘額,326000000
9503,華泰商業銀行,本國銀行,本行,2697000000
9503,華泰商業銀行,本國銀行,他行,0
9503,臺灣新光商業銀行,本國銀行,餘額,1148000000
9503,臺灣新光商業銀行,本國銀行,本行,9777000000
9503,臺灣新光商業銀行,本國銀行,他行,49215000000
9503,陽信商業銀行,本國銀行,餘額,774000000
9503,陽信商業銀行,本國銀行,本行,10403000000
9503,陽信商業銀行,本國銀行,他行,14849000000
9503,板信商業銀行,本國銀行,餘額,3481000000
9503,板信商業銀行,本國銀行,本行,18236000000
9503,板信商業銀行,本國銀行,他行,0
9503,三信商業銀行,本國銀行,餘額,364000000
9503,三信商業銀行,本國銀行,本行,4974000000
9503,三信商業銀行,本國銀行,他行,0
9503,臺灣新光商業銀行,本國銀行,餘額,0
9503,臺灣新光商業銀行,本國銀行,本行,0
9503,臺灣新光商業銀行,本國銀行,他行,0
9503,第七商業銀行,本國銀行,餘額,1172000000
9503,第七商業銀行,本國銀行,本行,1172000000
9503,第七商業銀行,本國銀行,他行,1100000000
9503,高新商業銀行,本國銀行,餘額,0
9503,高新商業銀行,本國銀行,本行,0
9503,高新商業銀行,本國銀行,他行,0
9503,聯邦商業銀行,本國銀行,餘額,235000000
9503,聯邦商業銀行,本國銀行,本行,5731000000
9503,聯邦商業銀行,本國銀行,他行,3500000000
9503,中華商業銀行,本國銀行,餘額,1396000000
9503,中華商業銀行,本國銀行,本行,6137000000
9503,中華商業銀行,本國銀行,他行,0
9503,遠東國際商業銀行,本國銀行,餘額,184000000
9503,遠東國際商業銀行,本國銀行,本行,6230000000
9503,遠東國際商業銀行,本國銀行,他行,24850000000
9503,復華商業銀行,本國銀行,餘額,542000000
9503,復華商業銀行,本國銀行,本行,19276000000
9503,復華商業銀行,本國銀行,他行,0
9503,建華商業銀行,本國銀行,餘額,5444000000
9503,建華商業銀行,本國銀行,本行,21544000000
9503,建華商業銀行,本國銀行,他行,104002000000
9503,玉山商業銀行,本國銀行,餘額,1805000000
9503,玉山商業銀行,本國銀行,本行,19225000000
9503,玉山商業銀行,本國銀行,他行,0
9503,萬泰商業銀行,本國銀行,餘額,68000000
9503,萬泰商業銀行,本國銀行,本行,266000000
9503,萬泰商業銀行,本國銀行,他行,13525000000
9503,寶華商業銀行,本國銀行,餘額,150000000
9503,寶華商業銀行,本國銀行,本行,0
9503,寶華商業銀行,本國銀行,他行,8055000000
9503,台新國際商業銀行,本國銀行,餘額,39017000000
9503,台新國際商業銀行,本國銀行,本行,39017000000
9503,台新國際商業銀行,本國銀行,他行,93240000000
9503,大眾商業銀行,本國銀行,餘額,1124000000
9503,大眾商業銀行,本國銀行,本行,11117000000
9503,大眾商業銀行,本國銀行,他行,0
9503,日盛國際商業銀行,本國銀行,餘額,1900000000
9503,日盛國際商業銀行,本國銀行,本行,9405000000
9503,日盛國際商業銀行,本國銀行,他行,0
9503,安泰商業銀行,本國銀行,餘額,2229000000
9503,安泰商業銀行,本國銀行,本行,10790000000
9503,安泰商業銀行,本國銀行,他行,0
9503,中國信託商業銀行,本國銀行,餘額,921000000
9503,中國信託商業銀行,本國銀行,本行,42367000000
9503,中國信託商業銀行,本國銀行,他行,114790000000
9503,慶豐商業銀行,本國銀行,餘額,109000000
9503,慶豐商業銀行,本國銀行,本行,2949000000
9503,慶豐商業銀行,本國銀行,他行,0
9503,臺灣中小企業銀行,本國銀行,餘額,4037000000
9503,臺灣中小企業銀行,本國銀行,本行,11788000000
9503,臺灣中小企業銀行,本國銀行,他行,75016000000
9503,臺北國際商業銀行,本國銀行,餘額,5754000000
9503,臺北國際商業銀行,本國銀行,本行,31378000000
9503,臺北國際商業銀行,本國銀行,他行,33273000000
9503,新竹國際商業銀行,本國銀行,餘額,245000000
9503,新竹國際商業銀行,本國銀行,本行,2708000000
9503,新竹國際商業銀行,本國銀行,他行,26000000000
9503,臺中商業銀行,本國銀行,餘額,43000000
9503,臺中商業銀行,本國銀行,本行,251000000
9503,臺中商業銀行,本國銀行,他行,0
9503,臺南區中小企業銀行,本國銀行,餘額,953000000
9503,臺南區中小企業銀行,本國銀行,本行,0
9503,臺南區中小企業銀行,本國銀行,他行,0
9503,花蓮區中小企業銀行,本國銀行,餘額,12000000
9503,花蓮區中小企業銀行,本國銀行,本行,36000000
9503,花蓮區中小企業銀行,本國銀行,他行,0
9503,臺東區中小企業銀行,本國銀行,餘額,0
9503,臺東區中小企業銀行,本國銀行,本行,18000000
9503,臺東區中小企業銀行,本國銀行,他行,0
9503,外國銀行在台分行,本國銀行,餘額,37949000000
9503,外國銀行在台分行,本國銀行,本行,40162000000
9503,外國銀行在台分行,本國銀行,他行,131821000000
