年月,項目,數值,欄位名
10107,M1B,11922069000000,M1B
10107,金融機構存款餘額,32148932000000,F_Ins_Dp
10107,金融機構放款餘額,22496189000000,F_Ins_Ln
10107,貨幣機構存款餘額,32148932000000,C_Ins_Dp
10107,貨幣機構放款餘額,21271863000000,C_Ins_Ln
10107,一般銀行國內總分行對中小企業放款,4309457000000,Country_SME
10107,一般銀行國內總分行及信用合作社消費者貸款餘額,1172405000000,Country_C_CL
10107,一般銀行國內總分行消費者貸款餘額,6681466000000,Country_CL
10107,票券公司票債券交易金額(本月),3758788000000,Bund_Txn_Amt
10107,票券公司票債券交易金額(本年）,25191907000000,Bund_Txn_Amt_TY
10107,股價指數,7270.49,Stock_Index
10107,WPI,98.23,WPI
10107,CPI,102.53,CPI
10107,匯率,30.01,Exchange_Rate
10107,央行重貼現率,1.875,Rediscount_Rate
10107,基準利率,2.927,B_Ins_Rate
10107,經濟成長率,0.98,GDP
10107,外匯存底,391108000000,Y_DP
