年月,銀行,銀行類別,項目,數值,英文項目
9507,總計,全行外匯活期存款,總外匯活期存款,933261000000,My_TOT
9507,總計,全行外匯定期存款,總外匯定期存款,1778268000000,FY_TOT
9507,中央信託局,全行外匯活期存款,總外匯活期存款,1331000000,My_TOT
9507,中央信託局,全行外匯定期存款,總外匯定期存款,11973000000,FY_TOT
9507,中國農民銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9507,中國農民銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9507,交通銀行,全行外匯活期存款,總外匯活期存款,8827000000,My_TOT
9507,交通銀行,全行外匯定期存款,總外匯定期存款,28529000000,FY_TOT
9507,臺灣銀行,全行外匯活期存款,總外匯活期存款,31504000000,My_TOT
9507,臺灣銀行,全行外匯定期存款,總外匯定期存款,113344000000,FY_TOT
9507,臺灣土地銀行,全行外匯活期存款,總外匯活期存款,10409000000,My_TOT
9507,臺灣土地銀行,全行外匯定期存款,總外匯定期存款,41925000000,FY_TOT
9507,合作金庫商業銀行,全行外匯活期存款,總外匯活期存款,26609000000,My_TOT
9507,合作金庫商業銀行,全行外匯定期存款,總外匯定期存款,74984000000,FY_TOT
9507,第一商業銀行,全行外匯活期存款,總外匯活期存款,57316000000,My_TOT
9507,第一商業銀行,全行外匯定期存款,總外匯定期存款,101202000000,FY_TOT
9507,華南商業銀行,全行外匯活期存款,總外匯活期存款,66159000000,My_TOT
9507,華南商業銀行,全行外匯定期存款,總外匯定期存款,122316000000,FY_TOT
9507,彰化商業銀行,全行外匯活期存款,總外匯活期存款,47703000000,My_TOT
9507,彰化商業銀行,全行外匯定期存款,總外匯定期存款,72154000000,FY_TOT
9507,華僑商業銀行,全行外匯活期存款,總外匯活期存款,21181000000,My_TOT
9507,華僑商業銀行,全行外匯定期存款,總外匯定期存款,27589000000,FY_TOT
9507,上海商業儲蓄銀行,全行外匯活期存款,總外匯活期存款,43192000000,My_TOT
9507,上海商業儲蓄銀行,全行外匯定期存款,總外匯定期存款,57462000000,FY_TOT
9507,台北富邦銀行,全行外匯活期存款,總外匯活期存款,22232000000,My_TOT
9507,台北富邦銀行,全行外匯定期存款,總外匯定期存款,54179000000,FY_TOT
