年月,銀行,項目,數值
9602,總計,全行外匯活期存款,1019376000000
9602,總計,全行外匯定期存款,1941789000000
9602,總計,全行外匯總存款,2961165000000
9602,中央信託局,全行外匯活期存款,3344000000
9602,中央信託局,全行外匯定期存款,13295000000
9602,中央信託局,全行外匯總存款,16640000000
9602,中國農民銀行,全行外匯活期存款,0
9602,中國農民銀行,全行外匯定期存款,0
9602,中國農民銀行,全行外匯總存款,0
9602,交通銀行,全行外匯活期存款,0
9602,交通銀行,全行外匯定期存款,0
9602,交通銀行,全行外匯總存款,0
9602,臺灣銀行,全行外匯活期存款,34224000000
9602,臺灣銀行,全行外匯定期存款,134656000000
9602,臺灣銀行,全行外匯總存款,168880000000
9602,臺灣土地銀行,全行外匯活期存款,9492000000
9602,臺灣土地銀行,全行外匯定期存款,39045000000
9602,臺灣土地銀行,全行外匯總存款,48538000000
9602,合作金庫商業銀行,全行外匯活期存款,28656000000
9602,合作金庫商業銀行,全行外匯定期存款,89125000000
9602,合作金庫商業銀行,全行外匯總存款,117782000000
9602,第一商業銀行,全行外匯活期存款,54725000000
9602,第一商業銀行,全行外匯定期存款,109325000000
9602,第一商業銀行,全行外匯總存款,164050000000
9602,華南商業銀行,全行外匯活期存款,73474000000
9602,華南商業銀行,全行外匯定期存款,132433000000
9602,華南商業銀行,全行外匯總存款,205907000000
9602,彰化商業銀行,全行外匯活期存款,49483000000
9602,彰化商業銀行,全行外匯定期存款,78005000000
9602,彰化商業銀行,全行外匯總存款,127488000000
9602,華僑商業銀行,全行外匯活期存款,22576000000
9602,華僑商業銀行,全行外匯定期存款,29528000000
9602,華僑商業銀行,全行外匯總存款,52105000000
9602,上海商業儲蓄銀行,全行外匯活期存款,46973000000
9602,上海商業儲蓄銀行,全行外匯定期存款,65338000000
9602,上海商業儲蓄銀行,全行外匯總存款,112311000000
9602,台北富邦銀行,全行外匯活期存款,25816000000
9602,台北富邦銀行,全行外匯定期存款,57654000000
9602,台北富邦銀行,全行外匯總存款,83470000000
9602,國泰世華商業銀行,全行外匯活期存款,20168000000
9602,國泰世華商業銀行,全行外匯定期存款,48789000000
9602,國泰世華商業銀行,全行外匯總存款,68957000000
9602,中國輸出入銀行,全行外匯活期存款,0
9602,中國輸出入銀行,全行外匯定期存款,0
9602,中國輸出入銀行,全行外匯總存款,0
9602,高雄銀行,全行外匯活期存款,1832000000
9602,高雄銀行,全行外匯定期存款,3911000000
9602,高雄銀行,全行外匯總存款,5743000000
9602,兆豐國際商業銀行,全行外匯活期存款,143066000000
9602,兆豐國際商業銀行,全行外匯定期存款,287374000000
9602,兆豐國際商業銀行,全行外匯總存款,430441000000
9602,中華開發工業銀行,全行外匯活期存款,2153000000
9602,中華開發工業銀行,全行外匯定期存款,9982000000
9602,中華開發工業銀行,全行外匯總存款,12135000000
9602,臺灣工業銀行,全行外匯活期存款,496000000
9602,臺灣工業銀行,全行外匯定期存款,8021000000
9602,臺灣工業銀行,全行外匯總存款,8517000000
9602,華泰商業銀行,全行外匯活期存款,248000000
9602,華泰商業銀行,全行外匯定期存款,792000000
9602,華泰商業銀行,全行外匯總存款,1040000000
9602,臺灣新光商業銀行,全行外匯活期存款,1979000000
9602,臺灣新光商業銀行,全行外匯定期存款,9260000000
9602,臺灣新光商業銀行,全行外匯總存款,11239000000
9602,陽信商業銀行,全行外匯活期存款,1133000000
9602,陽信商業銀行,全行外匯定期存款,3218000000
9602,陽信商業銀行,全行外匯總存款,4351000000
9602,板信商業銀行,全行外匯活期存款,1034000000
9602,板信商業銀行,全行外匯定期存款,3128000000
9602,板信商業銀行,全行外匯總存款,4162000000
9602,三信商業銀行,全行外匯活期存款,147000000
9602,三信商業銀行,全行外匯定期存款,796000000
9602,三信商業銀行,全行外匯總存款,943000000
9602,第七商業銀行,全行外匯活期存款,0
9602,第七商業銀行,全行外匯定期存款,0
9602,第七商業銀行,全行外匯總存款,0
9602,聯邦商業銀行,全行外匯活期存款,3903000000
9602,聯邦商業銀行,全行外匯定期存款,17158000000
9602,聯邦商業銀行,全行外匯總存款,21061000000
9602,中華商業銀行,全行外匯活期存款,555000000
9602,中華商業銀行,全行外匯定期存款,1748000000
9602,中華商業銀行,全行外匯總存款,2303000000
9602,遠東國際商業銀行,全行外匯活期存款,6554000000
9602,遠東國際商業銀行,全行外匯定期存款,32576000000
9602,遠東國際商業銀行,全行外匯總存款,39130000000
9602,復華商業銀行,全行外匯活期存款,5579000000
9602,復華商業銀行,全行外匯定期存款,14474000000
9602,復華商業銀行,全行外匯總存款,20053000000
9602,永豐商業銀行,全行外匯活期存款,56237000000
9602,永豐商業銀行,全行外匯定期存款,81240000000
9602,永豐商業銀行,全行外匯總存款,137476000000
9602,玉山商業銀行,全行外匯活期存款,16257000000
9602,玉山商業銀行,全行外匯定期存款,46926000000
9602,玉山商業銀行,全行外匯總存款,63183000000
9602,萬泰商業銀行,全行外匯活期存款,2037000000
9602,萬泰商業銀行,全行外匯定期存款,3354000000
9602,萬泰商業銀行,全行外匯總存款,5390000000
9602,寶華商業銀行,全行外匯活期存款,1738000000
