date,玉山,台新,中信,國泰,花旗,富邦
2010-04-01,1585738,1772009,3465524,1932762,1881233,1407493
2010-05-01,1597645,1791487,3468784,1934320,1891578,1396633
2010-06-01,1613558,1788785,3474042,1939727,1897453,1396597
2010-07-01,1615026,1787564,3472005,1950186,1907219,1424907
2010-08-01,1619009,1794309,3479941,1966674,1919077,1455453
2010-09-01,1620194,1788142,3490490,1974155,1929069,1484681
2010-10-01,1621512,1790305,3500046,1990325,1938140,1531080
2010-11-01,1622896,1802093,3512022,2032400,1951133,1550759
2010-12-01,1638228,1819643,3525062,2055552,1967871,1578521
2011-01-01,1641041,1827332,3545504,2063190,1976417,1570060
2011-02-01,1657239,1819827,3555272,2067352,1975454,1572755
2011-03-01,1660814,1826240,3552625,2093027,1985922,1557768
2011-04-01,1671907,1823169,3562580,2130312,1992102,1561325
2011-05-01,1683628,1824788,3567969,2150745,2002801,1549869
2011-06-01,1697390,1820452,3580379,2162322,2017132,1555422
2011-07-01,1719471,1822640,3584564,2182332,2033139,1601813
2011-08-01,1734249,1848331,3532529,2206541,2057247,1374920
2011-09-01,1745164,1858446,3583471,2211444,2066264,1400377
2011-10-01,1757938,1877943,3610246,2218837,2080893,1406161
2011-11-01,1761727,1891435,3651711,2248291,2093666,1414990
2011-12-01,1772391,1904510,3679229,2250354,2100104,1431196
2012-01-01,1845205,1914425,3696908,2245327,2105708,1421627
2012-02-01,1891379,1898666,3701782,2249273,2104066,1397448
2012-03-01,1943728,1895471,3686163,2269418,2116060,1405940
2012-04-01,1974157,1889305,3679958,2278768,2119252,1395211
2012-05-01,2000432,1904889,3669457,2279551,2130770,1386940
2012-06-01,2020605,1919039,3643693,2289711,2137754,1391572
2012-07-01,2041741,1941610,3633823,2304591,2150634,1389553
2012-08-01,2071007,1943411,3631115,2330284,2165184,1400788
2012-09-01,2093262,1930020,3653125,2344564,2168759,1402347
2012-10-01,2097823,1955567,3663958,2364678,2249227,1415974
2012-11-01,2100008,1977855,3676123,2387011,2257872,1426101
2012-12-01,2106291,2000967,3610775,2391378,2271777,1437501
2013-01-01,2128792,2022133,3695789,2397552,2296850,1460153
2013-02-01,2153209,2022516,3709770,2395060,2302707,1460070
2013-03-01,2172487,2042117,3707932,2397339,2305396,1463516
2013-04-01,2200676,2059532,3717812,2404373,2317117,1466560
2013-05-01,2229740,2068833,3728949,2405839,2341552,1487656
2013-06-01,2250142,2057901,3743959,2414885,2356063,1503512
2013-07-01,2269504,2060879,3747744,2416642,2364823,1524783
2013-08-01,2287708,2074965,3781692,2454471,2375283,1539201
2013-09-01,2308547,2087736,3870968,2590856,2378073,1541866
2013-10-01,2321586,2114688,3947532,2767435,2392868,1547146
2013-11-01,2335105,2132852,4034295,2845910,2394660,1545797
2013-12-01,2350835,2162241,3296334,2942089,2402793,1545651
2014-01-01,2421118,2173934,3463663,3043576,2405569,1545090
2014-02-01,2440126,2176618,3589385,3099006,2405097,1533722
