date,玉山,台新,中信,國泰,花旗,富邦
2010-04-01,8837000000.0,10415000000.0,20945000000.0,14216000000.0,14134000000.0,8415000000.0
2010-05-01,8958000000.0,10657000000.0,21727000000.0,15475000000.0,14723000000.0,8321000000.0
2010-06-01,11220000000.0,12862000000.0,26836000000.0,15419000000.0,16475000000.0,9482000000.0
2010-07-01,9481000000.0,11375000000.0,22812000000.0,14128000000.0,16462000000.0,10339000000.0
2010-08-01,10148000000.0,12016000000.0,24706000000.0,14938000000.0,16621000000.0,11404000000.0
2010-09-01,8917000000.0,11151000000.0,22256000000.0,14832000000.0,15583000000.0,12044000000.0
2010-10-01,9224000000.0,12650000000.0,22061000000.0,13733000000.0,16614000000.0,12949000000.0
2010-11-01,9471000000.0,12505000000.0,24058000000.0,15726000000.0,16694000000.0,12762000000.0
2010-12-01,10256000000.0,12976000000.0,26439000000.0,18117000000.0,17790000000.0,12919000000.0
2011-01-01,12074000000.0,12936000000.0,25839000000.0,16093000000.0,18460000000.0,11902000000.0
2011-02-01,8899000000.0,10435000000.0,20044000000.0,12153000000.0,15241000000.0,9034000000.0
2011-03-01,9839000000.0,11733000000.0,24442000000.0,18780000000.0,15753000000.0,10940000000.0
2011-04-01,9793000000.0,10716000000.0,20968000000.0,15155000000.0,15522000000.0,9371000000.0
2011-05-01,10431000000.0,11518000000.0,23889000000.0,17447000000.0,16979000000.0,10183000000.0
2011-06-01,13668000000.0,14424000000.0,28532000000.0,17958000000.0,19140000000.0,11179000000.0
2011-07-01,11157000000.0,11501000000.0,23877000000.0,14900000000.0,17786000000.0,10594000000.0
2011-08-01,12396000000.0,13544000000.0,26383000000.0,17271000000.0,17828000000.0,11267000000.0
2011-09-01,10913000000.0,11994000000.0,23457000000.0,15821000000.0,16621000000.0,9644000000.0
2011-10-01,12099000000.0,13399000000.0,24172000000.0,13689000000.0,17342000000.0,10932000000.0
2011-11-01,11166000000.0,12589000000.0,24790000000.0,19607000000.0,17366000000.0,11510000000.0
2011-12-01,12602000000.0,12814000000.0,26752000000.0,18497000000.0,18899000000.0,11718000000.0
2012-01-01,14386000000.0,13192000000.0,26362000000.0,15188000000.0,19445000000.0,11097000000.0
2012-02-01,12005000000.0,11490000000.0,23180000000.0,14547000000.0,16719000000.0,9029000000.0
2012-03-01,12247000000.0,11127000000.0,22459000000.0,19644000000.0,16372000000.0,10284000000.0
2012-04-01,12707000000.0,11720000000.0,23044000000.0,14126000000.0,16216000000.0,8870000000.0
2012-05-01,13498000000.0,12486000000.0,25732000000.0,21546000000.0,18040000000.0,9978000000.0
2012-06-01,17278000000.0,14873000000.0,32531000000.0,17628000000.0,19753000000.0,10870000000.0
2012-07-01,14843000000.0,13794000000.0,25910000000.0,18465000000.0,18824000000.0,10669000000.0
2012-08-01,14491000000.0,12953000000.0,26168000000.0,17661000000.0,18004000000.0,10544000000.0
2012-09-01,13469000000.0,11063000000.0,23428000000.0,14555000000.0,16733000000.0,9401000000.0
2012-10-01,14056000000.0,15083000000.0,27462000000.0,18857000000.0,17815000000.0,12336000000.0
2012-11-01,13434000000.0,12533000000.0,24999000000.0,17630000000.0,16718000000.0,11060000000.0
2012-12-01,15127000000.0,12386000000.0,25880000000.0,15059000000.0,18743000000.0,10613000000.0
2013-01-01,16581000000.0,15005000000.0,29638000000.0,22309000000.0,20148000000.0,13376000000.0
2013-02-01,14085000000.0,12063000000.0,24509000000.0,13958000000.0,16865000000.0,9307000000.0
2013-03-01,13710000000.0,11553000000.0,23567000000.0,16513000000.0,17078000000.0,9973000000.0
2013-04-01,14342000000.0,12773000000.0,25193000000.0,19902000000.0,17210000000.0,9955000000.0
2013-05-01,15227000000.0,13408000000.0,26525000000.0,20036000000.0,18924000000.0,11282000000.0
2013-06-01,21160000000.0,16350000000.0,34277000000.0,19174000000.0,20870000000.0,13113000000.0
2013-07-01,16301000000.0,14118000000.0,28319000000.0,20046000000.0,18684000000.0,12501000000.0
2013-08-01,16050000000.0,13552000000.0,26473000000.0,18359000000.0,18788000000.0,11601000000.0
2013-09-01,15526000000.0,13423000000.0,25463000000.0,17174000000.0,17593000000.0,11429000000.0
2013-10-01,16181000000.0,15767000000.0,27767000000.0,22639000000.0,20049000000.0,13672000000.0
2013-11-01,15082000000.0,13476000000.0,25002000000.0,19556000000.0,18468000000.0,11392000000.0
2013-12-01,16928000000.0,14704000000.0,29337000000.0,25764000000.0,20384000000.0,13116000000.0
2014-01-01,18242000000.0,14549000000.0,26866000000.0,23833000000.0,21416000000.0,12179000000.0
2014-02-01,14821000000.0,12682000000.0,24456000000.0,21369000000.0,17313000000.0,10599000000.0
