etl_dt,bank_code,data_dt,bank_nm,cc_f_card_cnt,cc_open_card_cnt,cc_issue_card_cnt,cc_stop_card_cnt,cyc_bal,cc_txn_bal,cc_ln_bal,cc_payment_rate,cc_baddebit_rate,cc_baddebit_bal,cyc_income,txn_fee,cc_ln_fee,auth_store_cnt
2013-11-26 22:33:10.925403,523       ,2006-01-01 00:00:00,"",45111733,24298627,354976,714576,493402000000,125472000000,10799000000.0,110.91,9.03,19914780000.0,7415000000.0,6858000000.0,1510000000.0,401
2013-11-26 22:33:10.923045,618       ,2006-01-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:10.915258,N030      ,2006-01-01 00:00:00,小計,45111733,24298627,354976,714576,493401000000,125471000000,10797000000.0,12.77,0.44,829290000.0,7417000000.0,6860000000.0,1514000000.0,403
2013-11-26 22:33:10.920563,N031      ,2006-01-01 00:00:00,總,45111733,24298627,354976,714576,493401000000,125471000000,10796000000.0,2.75,0.09,155090000.0,7418000000.0,6860000000.0,1516000000.0,404
2013-11-26 22:33:10.950849,523       ,2006-02-01 00:00:00,"",44477304,23907984,226632,838057,483991000000,103491000000,8175000000.0,125.84,7.47,10180869999.0,11137000000.0,6382000000.0,1168000000.0,307
2013-11-26 22:33:10.948589,618       ,2006-02-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:10.943359,N030      ,2006-02-01 00:00:00,小計,44477304,23907984,226632,838057,483996000000,103491000000,8175000000.0,14.65,0.14,646370000.0,11136000000.0,6385000000.0,1166000000.0,309
2013-11-26 22:33:10.946281,N031      ,2006-02-01 00:00:00,總,44477304,23907984,226632,838057,483996000000,103492000000,8175000000.0,2.97,0.05,140590000.0,11136000000.0,6385000000.0,1167000000.0,309
2013-11-26 22:33:10.97574,523       ,2006-03-01 00:00:00,"",43675331,23358557,299844,1054552,460395000000,111724000000,9827000000.0,130.08,10.75,12092319999.0,14090000000.0,6036000000.0,1321000000.0,326
2013-11-26 22:33:10.973427,618       ,2006-03-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:10.968102,N030      ,2006-03-01 00:00:00,小計,43675331,23358557,299844,1054552,460392000000,111724000000,9828000000.0,15.12,0.17,840730000.0,14090000000.0,6039000000.0,1319000000.0,329
2013-11-26 22:33:10.971133,N031      ,2006-03-01 00:00:00,總,43675331,23358557,299844,1054552,460393000000,111725000000,9827000000.0,3.16,0.08,174940000.0,14090000000.0,6039000000.0,1320000000.0,330
2013-11-26 22:33:11.001448,523       ,2006-04-01 00:00:00,"",42796896,22464131,548426,1402702,447301000000,99529000000.0,7739000000.0,145.14,10.79,11852309999.0,14748000000.0,5631000000.0,1158000000.0,241
2013-11-26 22:33:10.999187,618       ,2006-04-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:10.994076,N030      ,2006-04-01 00:00:00,小計,42796896,22464131,548426,1402702,447304000000,99527000000.0,7738000000.0,16.25,0.22,756780000.0,14752000000.0,5634000000.0,1156000000.0,241
2013-11-26 22:33:10.996801,N031      ,2006-04-01 00:00:00,總,42796896,22464131,548426,1402702,447304000000,99527000000.0,7738000000.0,3.37,0.12,159940000.0,14752000000.0,5634000000.0,1156000000.0,241
2013-11-26 22:33:11.02667,523       ,2006-05-01 00:00:00,"",41950651,21909793,311305,1098571,429616000000,115405000000,7808000000.0,134.72,16.03,12418759998.0,11915000000.0,5424000000.0,1291000000.0,245
2013-11-26 22:33:11.024527,618       ,2006-05-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:11.018972,N030      ,2006-05-01 00:00:00,小計,41950651,21909995,311305,1098571,429620000000,115407000000,7810000000.0,16.04,0.93,1060270000.0,11917000000.0,5425000000.0,1291000000.0,245
2013-11-26 22:33:11.022218,N031      ,2006-05-01 00:00:00,總,41950651,21909995,311305,1098571,429620000000,115406000000,7810000000.0,3.33,0.16,194720000.0,11917000000.0,5425000000.0,1290000000.0,245
2013-11-26 22:33:11.051253,523       ,2006-06-01 00:00:00,"",41115838,21423640,252580,962576,415517000000,140463000000,7682000000.0,130.79,13.08,12801190000.0,8123000000.0,4771000000.0,1364000000.0,240
2013-11-26 22:33:11.049308,618       ,2006-06-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:11.044052,N030      ,2006-06-01 00:00:00,小計,41115838,21423640,252580,962576,415513000000,140464000000,7683000000.0,13.84,0.82,1518040000.0,8125000000.0,4771000000.0,1366000000.0,242
2013-11-26 22:33:11.047673,N031      ,2006-06-01 00:00:00,總,41115838,21423640,252580,962576,415514000000,140463000000,7683000000.0,3.03,0.16,217760000.0,8125000000.0,4771000000.0,1366000000.0,242
2013-11-26 22:33:11.074878,523       ,2006-07-01 00:00:00,"",40335745,21035586,206918,969310,407380000000,113719000000,6493000000.0,122.03,13.72,13948850000.0,7668000000.0,4253000000.0,1345000000.0,213
2013-11-26 22:33:11.073178,618       ,2006-07-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:11.068325,N030      ,2006-07-01 00:00:00,小計,40335745,21035586,206918,969310,407376000000,113719000000,6493000000.0,11.3,0.55,2079830000.0,7671000000.0,4252000000.0,1345000000.0,217
2013-11-26 22:33:11.071235,N031      ,2006-07-01 00:00:00,總,40335745,21035586,206918,969310,407376000000,113720000000,6493000000.0,2.92,0.19,260810000.0,7670000000.0,4252000000.0,1345000000.0,217
2013-11-26 22:33:11.099873,523       ,2006-08-01 00:00:00,"",39919353,21061857,467989,877026,391707000000,117660000000,6481000000.0,115.29,11.76,14456710000.0,8267000000.0,4101000000.0,1408000000.0,214
2013-11-26 22:33:11.097618,618       ,2006-08-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:11.091086,N030      ,2006-08-01 00:00:00,小計,39919353,21061857,467989,877026,391707000000,117656000000,6479000000.0,10.78,0.26,1966400000.0,8267000000.0,4100000000.0,1406000000.0,212
2013-11-26 22:33:11.095669,N031      ,2006-08-01 00:00:00,總,39919353,21061857,467989,877026,391707000000,117656000000,6479000000.0,2.79,0.09,288370000.0,8267000000.0,4100000000.0,1406000000.0,212
2013-11-26 22:33:11.12337,523       ,2006-09-01 00:00:00,"",39469984,20880296,315576,738008,379088000000,105502000000,5731000000.0,105.18,13.98,15365260000.0,9316000000.0,3980000000.0,1230000000.0,184
2013-11-26 22:33:11.1215,618       ,2006-09-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:11.116644,N030      ,2006-09-01 00:00:00,小計,39469984,20880296,315576,738008,379089000000,105500000000,5729000000.0,9.24,0.48,2188740000.0,9316000000.0,3980000000.0,1230000000.0,186
2013-11-26 22:33:11.119491,N031      ,2006-09-01 00:00:00,總,39469984,20880296,315576,738008,379089000000,105500000000,5728000000.0,2.47,0.19,297550000.0,9316000000.0,3980000000.0,1230000000.0,186
2013-11-26 22:33:11.147863,523       ,2006-10-01 00:00:00,"",38995960,20697587,276891,742200,367782000000,115250000000,5762000000.0,102.56,16.63,15399070000.0,9655000000.0,3905000000.0,1334000000.0,169
2013-11-26 22:33:11.146007,618       ,2006-10-01 00:00:00,六,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2013-11-26 22:33:11.141015,N030      ,2006-10-01 00:00:00,小計,38995960,20697587,276891,742200,367780000000,115246000000,5762000000.0,9.85,0.48,1860710000.0,9652000000.0,3904000000.0,1335000000.0,169
2013-11-26 22:33:11.143965,N031      ,2006-10-01 00:00:00,總,38995960,20697587,276891,742200,367780000000,115247000000,5762000000.0,2.34,0.18,304500000.0,9652000000.0,3904000000.0,1335000000.0,168
