etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
2013-11-26,147       ,2006-01-01,三信商業銀行,5388,15515000000,2001,4782000000,9206,3926000000,0,0,19555,10806000000
2013-11-26,011       ,2006-01-01,上海商業儲蓄銀行,33615,77429000000,98,72000000,7,4000000,0,0,3940,881000000
2013-11-26,822       ,2006-01-01,中國信託商業銀行,187474,308367000000,15208,17148000000,45526,14248000000,0,0,792502,118619000000
2013-11-26,N002      ,2006-01-01,中國國際商業銀行,34149,80623000000,11289,18899000000,44,2000000,9040,5313000000,9668,30965000000
2013-11-26,015       ,2006-01-01,中國輸出入銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,040       ,2006-01-01,中華開發工業銀行,10,26000000,0,0,0,0,0,0,79,32000000
2013-11-26,381       ,2006-01-01,交通銀行,21624,50406000000,4053,11952000000,2832,1148000000,157,44000000,6453,6116000000
2013-11-26,090       ,2006-01-01,加拿大商豐業銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,146       ,2006-01-01,台中市第二信用合作社,11167,18949000000,118,97000000,11,0,0,0,1027,399000000
2013-11-26,012       ,2006-01-01,台北富邦銀行,113624,192637000000,5684,7953000000,5263,2150000000,257,59000000,358831,51487000000
2013-11-26,101       ,2006-01-01,台北市第一信用合作社,3628,8887000000,3540,3813000000,0,0,0,0,2801,898000000
2013-11-26,106       ,2006-01-01,台北市第九信用合作社,0,0,0,0,0,0,0,0,508,108000000
2013-11-26,104       ,2006-01-01,台北市第五信用合作社,1324,3023000000,13,1000000,0,0,0,0,1646,399000000
2013-11-26,N008      ,2006-01-01,台北縣淡水信用合作社,1709,3824000000,751,1135000000,0,0,0,0,313,840000000
2013-11-26,N000      ,2006-01-01,台北縣淡水第一信用合作社,9924,16873000000,173,183000000,2,1000000,953,372000000,1101,309000000
2013-11-26,188       ,2006-01-01,台南第三信用合作社,2918,5107000000,101,80000000,0,0,0,0,5502,147000000
2013-11-26,N018      ,2006-01-01,台南第六信用合作社,0,0,0,0,0,0,0,0,0,0
2013-11-26,812       ,2006-01-01,台新國際商業銀行,90042,186412000000,256,62000000,74794,23341000000,1,0,670400,124874000000
2013-11-26,N009      ,2006-01-01,合作金庫銀行,167057,270545000000,55477,74689000000,36,7000000,123132,46978000000,24414,10174000000
2013-11-26,N016      ,2006-01-01,嘉義巿第四信用合作社,95,312000000,8,4000000,0,0,0,0,0,0
2013-11-26,178       ,2006-01-01,嘉義市第三信用合作社,947,1279000000,697,1728000000,0,0,0,0,932,484000000
2013-11-26,013       ,2006-01-01,國泰世華商業銀行,134869,241431000000,7173,10471000000,42086,3845000000,0,0,362681,32099000000
2013-11-26,114       ,2006-01-01,基隆市第一信用合作社,5351,7501000000,1192,881000000,0,0,0,0,5281,2681000000
2013-11-26,115       ,2006-01-01,基隆市第二信用合作社,1551,3773000000,336,470000000,178,47000000,0,0,2295,515000000
2013-11-26,814       ,2006-01-01,大眾商業銀行,23424,57225000000,375,374000000,0,0,0,0,299942,22912000000
2013-11-26,816       ,2006-01-01,安泰商業銀行,21553,47331000000,9544,20016000000,16690,4704000000,381,48000000,69563,33422000000
2013-11-26,N017      ,2006-01-01,宜蘭信用合社,699,1139000000,311,392000000,0,0,0,0,448,38000000
2013-11-26,-01       ,2006-01-01,寶華商業銀行,14893,19104000000,14487,17016000000,12381,3642000000,8,9000000,115033,11932000000
2013-11-26,807       ,2006-01-01,建華商業銀行,78800,164911000000,15449,21172000000,9719,3983000000,0,0,25570,13777000000
2013-11-26,009       ,2006-01-01,彰化商業銀行,67320,123891000000,39512,72282000000,0,0,1612,599000000,19160,9165000000
2013-11-26,158       ,2006-01-01,彰化第一信用合作社,1030,1744000000,241,244000000,0,0,0,0,7,2000000
2013-11-26,161       ,2006-01-01,彰化第五信用合作社,531,858000000,11,15000000,0,0,0,0,17,6000000
2013-11-26,162       ,2006-01-01,彰化第六信用合作社,2579,3666000000,955,927000000,0,0,0,0,5336,498000000
2013-11-26,163       ,2006-01-01,彰化第十信用合作社,834,1116000000,5,3000000,0,0,0,0,14,2000000
2013-11-26,165       ,2006-01-01,彰化縣鹿港信用合作社,1066,1569000000,690,935000000,0,0,0,0,1081,263000000
2013-11-26,072       ,2006-01-01,德商德意志銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,087       ,2006-01-01,斐商標準銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,085       ,2006-01-01,新加坡商新加坡華僑銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,078       ,2006-01-01,新加坡商星展銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,029       ,2006-01-01,新加坡大華銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,052       ,2006-01-01,新竹國際商業銀行,37839,74865000000,11254,16440000000,406,109000000,2,1000000,220777,58937000000
2013-11-26,N004      ,2006-01-01,新竹市第一信用合作社,3441,8076000000,11,33000000,0,0,0,0,176,85000000
2013-11-26,N014      ,2006-01-01,新竹市第三信用合作社,2684,5406000000,349,277000000,0,0,0,0,1972,629000000
2013-11-26,321       ,2006-01-01,日商三井住友銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,098       ,2006-01-01,日商三菱東京日聯銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,020       ,2006-01-01,日商瑞穗實業銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,815       ,2006-01-01,日盛國際商業銀行,30939,49123000000,6129,12236000000,57793,22525000000,0,0,143195,23654000000
2013-11-26,118       ,2006-01-01,板信商業銀行,26425,47583000000,435,626000000,299,83000000,0,0,91776,12770000000
2013-11-26,127       ,2006-01-01,桃園信用合作社,0,0,0,0,0,0,0,0,481,235000000
2013-11-26,079       ,2006-01-01,比利時商富通銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,099       ,2006-01-01,比利時商比利時聯合銀行,11,34000000,0,0,0,0,0,0,0,0
2013-11-26,320       ,2006-01-01,法商佳信銀行,0,0,0,0,0,0,0,0,254976,1620000000
2013-11-26,082       ,2006-01-01,法商法國巴黎銀行,21,90000000,0,0,0,0,0,0,19,6000000
2013-11-26,N012      ,2006-01-01,法國東方匯理銀行,10,41000000,0,0,0,0,0,0,0,0
2013-11-26,037       ,2006-01-01,法國興業銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,023       ,2006-01-01,泰國盤谷銀行,3,2000000,0,0,0,0,0,0,0,0
2013-11-26,222       ,2006-01-01,澎湖縣第一信用合作社,62,144000000,22,39000000,0,0,0,0,172,79000000
2013-11-26,N011      ,2006-01-01,澎湖縣第二信用合作社,565,885000000,84,75000000,12,9000000,0,0,953,372000000
2013-11-26,N006      ,2006-01-01,澳商澳洲紐西蘭銀行,3,8000000,0,0,0,0,0,0,0,0
2013-11-26,808       ,2006-01-01,玉山商業銀行,38904,121260000000,38811,81510000000,0,0,24,2000000,211364,22793000000
2013-11-26,092       ,2006-01-01,瑞士商瑞士銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,007       ,2006-01-01,第一商業銀行,72442,185167000000,31548,54030000000,14893,3510000000,20568,7809000000,33858,10231000000
2013-11-26,151       ,2006-01-01,第七商業銀行,5781,10932000000,1956,2507000000,15,8000000,0,0,221,5000000
2013-11-26,0         ,2006-01-01,總計,2203509,4127617000000,512616,776224000000,464712,143191000000,412848,176116000000,10034298,1167446000000
2013-11-26,091       ,2006-01-01,美商加州聯合銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,097       ,2006-01-01,美商富國銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,076       ,2006-01-01,美商摩根大通銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,N010      ,2006-01-01,美商美國紐約銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,022       ,2006-01-01,美商美國銀行,1,9000000,0,0,0,0,19,3000000,0,0
2013-11-26,095       ,2006-01-01,美商美聯銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,030       ,2006-01-01,美商道富銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,024       ,2006-01-01,美國運通銀行,0,0,1,1000000,0,0,0,0,45739,7842000000
2013-11-26,803       ,2006-01-01,聯邦商業銀行,35924,64191000000,11682,21458000000,49817,15844000000,277,61000000,377762,13496000000
2013-11-26,N015      ,2006-01-01,臺中商業銀行,28494,50196000000,1120,505000000,10,9000000,4179,3167000000,174478,12089000000
2013-11-26,N003      ,2006-01-01,臺南區中小企業銀行,15664,25684000000,7655,10447000000,5,1000000,2,1000000,11020,4958000000
2013-11-26,050       ,2006-01-01,臺灣中小企業銀行,78176,123931000000,7783,13836000000,0,0,16401,8756000000,49134,30423000000
2013-11-26,005       ,2006-01-01,臺灣土地銀行,296778,436877000000,55380,60249000000,280,216000000,128337,58846000000,73248,6897000000
2013-11-26,048       ,2006-01-01,臺灣工業銀行,5,13000000,0,0,0,0,0,0,0,0
2013-11-26,103       ,2006-01-01,臺灣新光商業銀行,15476,40966000000,568,930000000,25440,6819000000,0,0,247876,37096000000
2013-11-26,004       ,2006-01-01,臺灣銀行,95642,173705000000,23184,30750000000,0,0,18956,8777000000,2404058,127122000000
2013-11-26,215       ,2006-01-01,花蓮第一信用合作社,2538,4367000000,1465,2112000000,0,0,201,84000000,2343,727000000
2013-11-26,216       ,2006-01-01,花蓮第二信用合作社,4009,6787000000,6424,10821000000,0,0,2248,1034000000,104,8000000
