etl_dt,bank_code,data_dt,bank_nm,my_tot,fy_tot,my_country,fy_country,my_os,fy_os
2014-05-22,0         ,2006-01-01,總計,941129000000,1532720000000,595202000000,948703000000,345927000000,584017000000
2014-05-22,004       ,2006-01-01,臺灣銀行,31613000000.0,92164000000.0,22806000000.0,80074000000.0,8807000000.0,12090000000.0
2014-05-22,005       ,2006-01-01,臺灣土地銀行,9147000000.0,25070000000.0,8217000000.0,19643000000.0,930000000.0,5427000000.0
2014-05-22,007       ,2006-01-01,第一商業銀行,62760000000.0,78953000000.0,40580000000.0,53331000000.0,22180000000.0,25622000000.0
2014-05-22,008       ,2006-01-01,華南商業銀行,68123000000.0,101461000000,45666000000.0,73658000000.0,22457000000.0,27803000000.0
2014-05-22,009       ,2006-01-01,彰化商業銀行,52517000000.0,63772000000.0,35357000000.0,43854000000.0,17160000000.0,19918000000.0
2014-05-22,-01       ,2006-01-01,臺東區中小企業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,011       ,2006-01-01,上海商業儲蓄銀行,46060000000.0,50664000000.0,18587000000.0,19754000000.0,27473000000.0,30910000000.0
2014-05-22,012       ,2006-01-01,台北富邦銀行,23295000000.0,43020000000.0,20841000000.0,38562000000.0,2454000000.0,4458000000.0
2014-05-22,013       ,2006-01-01,國泰世華商業銀行,20359000000.0,32319000000.0,14574000000.0,23292000000.0,5785000000.0,9027000000.0
2014-05-22,015       ,2006-01-01,中國輸出入銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,016       ,2006-01-01,高雄銀行,1591000000.0,2720000000.0,1370000000.0,2566000000.0,221000000.0,154000000.0
2014-05-22,040       ,2006-01-01,中華開發工業銀行,3986000000.0,4266000000.0,524000000.0,863000000.0,3462000000.0,3403000000.0
2014-05-22,048       ,2006-01-01,臺灣工業銀行,332000000.0,10537000000.0,285000000.0,5598000000.0,47000000.0,4939000000.0
2014-05-22,050       ,2006-01-01,臺灣中小企業銀行,30595000000.0,34575000000.0,20278000000.0,25420000000.0,10317000000.0,9155000000.0
2014-05-22,052       ,2006-01-01,新竹國際商業銀行,5563000000.0,8376000000.0,4912000000.0,7536000000.0,651000000.0,840000000.0
2014-05-22,102       ,2006-01-01,華泰商業銀行,331000000.0,783000000.0,323000000.0,762000000.0,8000000.0,21000000.0
2014-05-22,103       ,2006-01-01,臺灣新光商業銀行,1038000000.0,3377000000.0,826000000.0,3083000000.0,-826000000.0,-3083000000.0
2014-05-22,108       ,2006-01-01,陽信商業銀行,658000000.0,1799000000.0,604000000.0,1666000000.0,54000000.0,133000000.0
2014-05-22,118       ,2006-01-01,板信商業銀行,1122000000.0,2737000000.0,1009000000.0,1900000000.0,113000000.0,837000000.0
2014-05-22,147       ,2006-01-01,三信商業銀行,70000000.0,252000000.0,70000000.0,252000000.0,0.0,0.0
2014-05-22,151       ,2006-01-01,第七商業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,381       ,2006-01-01,交通銀行,9481000000.0,29957000000.0,8627000000.0,19259000000.0,854000000.0,10698000000.0
2014-05-22,803       ,2006-01-01,聯邦商業銀行,4210000000.0,11527000000.0,2892000000.0,6921000000.0,1318000000.0,4606000000.0
2014-05-22,805       ,2006-01-01,遠東國際商業銀行,6478000000.0,18947000000.0,4913000000.0,9340000000.0,1565000000.0,9607000000.0
2014-05-22,807       ,2006-01-01,建華商業銀行,32955000000.0,55684000000.0,15814000000.0,27936000000.0,17141000000.0,27748000000.0
2014-05-22,808       ,2006-01-01,玉山商業銀行,13771000000.0,24196000000.0,8074000000.0,11477000000.0,5697000000.0,12719000000.0
2014-05-22,809       ,2006-01-01,萬泰商業銀行,1523000000.0,2438000000.0,1275000000.0,1974000000.0,248000000.0,464000000.0
2014-05-22,812       ,2006-01-01,台新國際商業銀行,28274000000.0,86712000000.0,21063000000.0,55790000000.0,7211000000.0,30922000000.0
2014-05-22,814       ,2006-01-01,大眾商業銀行,8495000000.0,21154000000.0,6569000000.0,13460000000.0,1926000000.0,7694000000.0
2014-05-22,815       ,2006-01-01,日盛國際商業銀行,3327000000.0,6306000000.0,2878000000.0,5128000000.0,449000000.0,1178000000.0
2014-05-22,816       ,2006-01-01,安泰商業銀行,1983000000.0,4939000000.0,1701000000.0,4553000000.0,282000000.0,386000000.0
2014-05-22,822       ,2006-01-01,中國信託商業銀行,60785000000.0,133234000000,36255000000.0,68898000000.0,24530000000.0,64336000000.0
2014-05-22,N002      ,2006-01-01,中國國際商業銀行,124558000000,216256000000,57581000000.0,104817000000,66977000000.0,111439000000
2014-05-22,N003      ,2006-01-01,臺南區中小企業銀行,801000000.0,1140000000.0,762000000.0,1093000000.0,39000000.0,47000000.0
2014-05-22,N009      ,2006-01-01,合作金庫銀行,18600000000.0,48286000000.0,15163000000.0,43223000000.0,3437000000.0,5063000000.0
2014-05-22,N015      ,2006-01-01,臺中商業銀行,2381000000.0,2886000000.0,1727000000.0,2317000000.0,654000000.0,569000000.0
2014-05-22,N028      ,2006-01-01,外國銀行在台分行,205594000000,224721000000,136130000000,113749000000,69464000000.0,110972000000
2014-05-22,0         ,2006-02-01,總計,963019000000,1545662000000,611895000000,946466000000,351124000000,599196000000
2014-05-22,004       ,2006-02-01,臺灣銀行,34813000000.0,94795000000.0,26646000000.0,80942000000.0,8167000000.0,13853000000.0
2014-05-22,005       ,2006-02-01,臺灣土地銀行,9234000000.0,27415000000.0,8114000000.0,21494000000.0,1120000000.0,5921000000.0
2014-05-22,007       ,2006-02-01,第一商業銀行,64736000000.0,80496000000.0,41235000000.0,54402000000.0,23501000000.0,26094000000.0
2014-05-22,008       ,2006-02-01,華南商業銀行,72027000000.0,101384000000,48528000000.0,72566000000.0,23499000000.0,28818000000.0
2014-05-22,009       ,2006-02-01,彰化商業銀行,52031000000.0,60235000000.0,35108000000.0,40955000000.0,16923000000.0,19280000000.0
2014-05-22,-01       ,2006-02-01,臺東區中小企業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,011       ,2006-02-01,上海商業儲蓄銀行,46107000000.0,50067000000.0,19255000000.0,19723000000.0,26852000000.0,30344000000.0
2014-05-22,012       ,2006-02-01,台北富邦銀行,24326000000.0,45565000000.0,21790000000.0,40896000000.0,2536000000.0,4669000000.0
2014-05-22,013       ,2006-02-01,國泰世華商業銀行,21132000000.0,32338000000.0,15368000000.0,23340000000.0,5764000000.0,8998000000.0
2014-05-22,015       ,2006-02-01,中國輸出入銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,016       ,2006-02-01,高雄銀行,1801000000.0,2985000000.0,1450000000.0,2731000000.0,351000000.0,254000000.0
2014-05-22,040       ,2006-02-01,中華開發工業銀行,4164000000.0,4149000000.0,408000000.0,972000000.0,3756000000.0,3177000000.0
2014-05-22,048       ,2006-02-01,臺灣工業銀行,430000000.0,7828000000.0,380000000.0,4060000000.0,50000000.0,3768000000.0
2014-05-22,050       ,2006-02-01,臺灣中小企業銀行,31160000000.0,34633000000.0,20750000000.0,25093000000.0,10410000000.0,9540000000.0
2014-05-22,052       ,2006-02-01,新竹國際商業銀行,5711000000.0,7985000000.0,5044000000.0,7157000000.0,667000000.0,828000000.0
2014-05-22,102       ,2006-02-01,華泰商業銀行,246000000.0,783000000.0,227000000.0,770000000.0,19000000.0,13000000.0
2014-05-22,103       ,2006-02-01,臺灣新光商業銀行,1178000000.0,2942000000.0,949000000.0,2638000000.0,-949000000.0,-2638000000.0
2014-05-22,108       ,2006-02-01,陽信商業銀行,737000000.0,1937000000.0,671000000.0,1780000000.0,66000000.0,157000000.0
2014-05-22,118       ,2006-02-01,板信商業銀行,771000000.0,2770000000.0,670000000.0,1903000000.0,101000000.0,867000000.0
2014-05-22,147       ,2006-02-01,三信商業銀行,67000000.0,321000000.0,67000000.0,321000000.0,0.0,0.0
2014-05-22,151       ,2006-02-01,第七商業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,381       ,2006-02-01,交通銀行,9938000000.0,30960000000.0,9056000000.0,20643000000.0,882000000.0,10317000000.0
